trade_date,prefix,close
20260224,IF,4707.544
20260213,IF,4660.4056
20260212,IF,4719.578
20260211,IF,4713.8185
20260210,IF,4724.2956
20260209,IF,4719.0559
20260206,IF,4643.5959
20260205,IF,4670.4188
20260204,IF,4698.6832
20260203,IF,4660.1074
20260202,IF,4605.9799
20260130,IF,4706.3401
20260129,IF,4753.8697
20260128,IF,4717.9914
20260127,IF,4705.6918
20260126,IF,4706.964
20260123,IF,4702.4966
20260122,IF,4723.7091
20260121,IF,4723.0692
20260120,IF,4718.8782
20260119,IF,4734.4556
20260116,IF,4731.8728
20260115,IF,4751.4293
20260114,IF,4741.9306
20260113,IF,4761.0324
20260112,IF,4789.9155
20260109,IF,4758.9221
20260108,IF,4737.6536
20260107,IF,4776.6658
20260106,IF,4790.6938
20260105,IF,4717.7457
20251231,IF,4629.9395
20251230,IF,4651.2818
20251229,IF,4639.3721
20251226,IF,4657.24
20251225,IF,4642.5357
20251224,IF,4634.0586
20251223,IF,4620.7341
20251222,IF,4611.6235
20251219,IF,4568.1781
20251218,IF,4552.7926
20251217,IF,4579.875
20251216,IF,4497.5545
20251215,IF,4552.0596
20251212,IF,4580.95
20251211,IF,4552.1848
20251210,IF,4591.8273
20251209,IF,4598.2232
20251208,IF,4621.7545
20251205,IF,4584.5368
20251204,IF,4546.5664
20251203,IF,4531.0486
20251202,IF,4554.3347
20251201,IF,4576.4856
20251128,IF,4526.6616
20251127,IF,4515.4027
20251126,IF,4517.6255
20251125,IF,4490.4047
20251124,IF,4448.0478
20251121,IF,4453.6076
20251120,IF,4564.9483
20251119,IF,4588.2922
20251118,IF,4568.1928
20251117,IF,4598.0525
20251114,IF,4628.1398
20251113,IF,4702.0738
20251112,IF,4645.9079
20251111,IF,4652.1655
20251110,IF,4695.0507
20251107,IF,4678.7944
20251106,IF,4693.4032
20251105,IF,4627.257
20251104,IF,4618.699
20251103,IF,4653.4028
20251031,IF,4640.6676
20251030,IF,4709.911
20251029,IF,4747.8378
20251028,IF,4691.973
20251027,IF,4716.0186
20251024,IF,4660.6835
20251023,IF,4606.3447
20251022,IF,4592.57
20251021,IF,4607.8715
20251020,IF,4538.2201
20251017,IF,4514.2345
20251016,IF,4618.4218
20251015,IF,4606.2879
20251014,IF,4539.0644
20251013,IF,4593.9785
20251010,IF,4616.8341
20251009,IF,4709.482
20250930,IF,4640.6935
20250929,IF,4620.0528
20250926,IF,4550.0487
20250925,IF,4593.4875
20250924,IF,4566.0708
20250923,IF,4519.7781
20250922,IF,4522.608
20250919,IF,4501.9195
20250918,IF,4498.109
20260224,IH,3041.3242
20260213,IH,3034.3459
20260212,IH,3079.7273
20260211,IH,3088.4571
20260210,IH,3087.405
20260209,IH,3081.7791
20260206,IH,3037.8602
20260205,IH,3059.012
20260204,IH,3069.2432
20260203,IH,3034.5803
20260202,IH,3003.1373
20260130,IH,3066.4963
20260129,IH,3110.9135
20260128,IH,3060.557
20260127,IH,3052.3932
20260126,IH,3049.5871
20260123,IH,3032.193
20260122,IH,3053.1277
20260121,IH,3067.1753
20260120,IH,3070.646
20260119,IH,3075.9357
20260116,IH,3079.7631
20260115,IH,3105.5751
