trade_date,call_vol,put_vol,call_oi,put_oi,call_amount,put_amount,n_contracts
20251027,3006151,2369736,2794079,3076623,278778.75,146063.8,660
20251028,2191480,1989058,2904063,3149803,209611.35,131949.57,662
20251029,2159273,1785173,2926003,3254759,212158.82,115387.4,662
20251030,2775856,2373466,3055923,3279793,254893.37,165940.3,670
20251031,2688551,3081270,3374718,3326208,211824.22,196440.78,670
20251103,2409294,2672262,3511884,3378556,165380.28,187783.4,670
20251104,2461109,2613764,3620136,3377982,172133.7,191918.69,670
20251105,2532570,2837015,3679262,3443026,179770.61,188176.46,670
20251106,2763556,2583221,3458880,3569671,209500.93,144959.88,670
20251107,1804515,1932365,3513154,3574047,140750.3,112546.65,670
20251110,2167450,2166241,3613078,3619191,153188.3,128581.24,670
20251111,2072588,2200861,3722146,3589861,142213.08,133755.81,670
20251112,2677058,2730311,3799743,3620481,165830.51,169630.05,670
20251113,2438466,2269630,3643070,3736517,175545.0,118849.52,670
20251114,2287584,2263379,3778084,3632497,140822.56,130279.14,670
20251117,2687924,2988436,3917942,3613632,139256.49,162362.65,670
20251118,2811558,3543944,4043572,3589044,151214.49,185359.75,674
20251119,2761125,2823763,3993692,3602085,153315.78,166334.96,674
20251120,2951566,2562449,4087166,3562134,146158.71,159304.14,682
20251121,4401194,5007242,4358102,3417184,214357.47,381167.48,682
20251124,2931424,3104610,4322751,3297372,129135.68,212980.78,698
20251125,2945098,2954385,4224084,3385098,158033.71,180510.17,698
20251126,2371000,2330352,4183111,3427196,136142.14,145309.76,698
20251127,2035362,1951046,2779350,2944948,125904.14,123895.82,642
20251128,1587399,1687760,2839456,3057535,104272.44,107599.32,642
20251201,1601395,1603004,2858365,3187743,113681.01,89382.15,644
20251202,1246457,1277220,2983543,3198865,79541.48,83428.18,646
20251203,1541688,1890534,3087416,3224468,96757.77,110911.43,646
20251204,1698521,1713867,3145112,3306584,100035.47,103309.9,646
20251205,2386787,2204891,3156852,3383307,149016.17,119674.55,646
20251208,2913286,2102321,3182833,3472626,177607.01,96567.03,646
20251209,1889190,1560068,3316386,3486241,109999.37,82249.1,650
20251210,2314414,2281302,3381711,3481733,129111.4,119209.14,650
20251211,1987112,1837472,3497246,3451320,113911.54,98835.68,650
20251212,2644498,2450788,3429094,3589740,159920.75,122727.33,650
20251215,2157201,2332156,3508209,3574018,121422.98,103191.83,650
20251216,3171845,3834324,3757959,3460363,154215.04,207302.81,650
20251217,3554613,3451656,3462906,3577579,197896.19,167695.0,726
20251218,2373465,2593439,3549831,3589697,140259.66,115035.55,734
20251219,2685840,2251051,3579080,3642053,169512.35,105098.36,734
20251222,2516568,2221099,3396664,3345795,170345.63,87886.05,734
20251223,2394722,2219237,3379999,3454065,149861.21,95629.97,734
20251224,2545573,2014783,3336699,3487918,191454.02,103490.99,734
20251225,2013029,1741081,2523992,2344812,152079.05,84762.55,570
20251226,2951727,2095353,2714261,2514368,229389.34,118244.02,570
20251229,2037222,1572762,2806722,2519708,152181.73,90842.51,572
20251230,1929629,1620113,2812800,2575097,155893.36,95175.57,572
20251231,1818151,1655519,2937987,2570409,143982.42,87420.82,576
20260105,3123630,2644010,2803890,2840688,261452.34,115009.35,576
20260106,4490073,3062662,2950023,3057714,403051.54,143833.96,598
20260107,3495942,2447992,3072443,3156500,322538.9,125361.77,610
20260108,3227682,2532715,3114736,3218311,294188.46,144879.33,610
20260109,3994565,3069617,3177398,3349265,417392.75,167942.33,618
20260112,4865501,3153473,3239648,3486186,549600.96,200314.28,626
20260113,4842794,3992967,3444910,3488844,507825.88,215912.05,648
20260114,5836777,5001500,3480174,3583958,648737.35,294109.78,648
20260115,3687358,3696960,3641754,3612827,328021.78,193137.36,648
20260116,3766071,3606882,3723354,3614380,291945.45,165206.18,720
20260119,3038316,3668577,3771334,3671793,241215.17,133259.04,792
20260120,3622396,3532014,3800029,3637951,242248.7,183568.07,792
20260121,3706382,3145128,3670594,3716108,268892.22,133591.14,792
20260122,2883109,2615070,3801927,3742968,214540.68,115976.49,800
20260123,3640258,3065611,3906156,3814746,324590.63,131064.7,800
20260126,4280647,3596125,3769131,3717641,330367.22,188301.59,824
20260127,3980235,3385256,3755650,3797386,295606.61,179291.39,824
20260128,3282047,2766308,3716380,3845226,287949.68,162054.72,824
20260129,3018338,2500704,3082198,2908683,310304.36,188604.27,718
20260130,2955830,3143466,3294730,2905108,266341.28,290090.98,734
20260202,3240525,3767833,3700192,2854097,270548.45,420823.34,734
20260203,3059351,3093184,3697571,3002717,250705.48,268425.36,756
20260204,2513192,2406001,3710288,3100297,201078.89,202276.47,756
20260205,2570923,2916744,3829852,3078535,190866.7,236520.27,756
20260206,2433080,2555025,3856318,3123712,187620.5,197583.17,760
20260209,2024083,2116026,3724063,3150824,161848.71,112850.95,760
20260210,1769878,2799142,3643359,3159939,118807.4,104735.03,760
20260211,1458698,1693868,3565398,3081287,103483.81,80851.27,760
20260212,1804515,1631091,3507271,3054403,131443.5,74496.12,760
20260213,2547194,2343286,3488842,2918793,162070.41,140876.94,760
20260224,2532397,2075734,3562626,2940806,147070.06,102126.09,760
