date,pair,name,symbol_a,symbol_b,close_a,close_b,ratio,pctile,z_score
20260109,CU_AL,铜/铝,CU,AL,101410.0,24330.0,4.1681,0.0333,-1.4036
20260109,RB_I,螺纹/铁矿,RB,I,3144.0,814.5,3.86,0.1,-3.1083
20260109,SC_FU,原油/燃油,SC,FU,432.7,2514.0,0.1721,0.7,3.8582
20260109,Y_P,豆油/棕榈油,Y,P,7994.0,8682.0,0.9208,0.7333,0.8258
20260112,CU_AL,铜/铝,CU,AL,103800.0,24650.0,4.211,0.3,-0.8832
20260112,RB_I,螺纹/铁矿,RB,I,3165.0,822.5,3.848,0.0,-3.3481
20260112,SC_FU,原油/燃油,SC,FU,437.5,2461.0,0.1778,0.9667,7.2942
20260112,Y_P,豆油/棕榈油,Y,P,7994.0,8724.0,0.9163,0.6,0.5339
20260113,CU_AL,铜/铝,CU,AL,102290.0,24375.0,4.1965,0.1667,-1.0591
20260113,RB_I,螺纹/铁矿,RB,I,3158.0,819.5,3.8536,0.1,-3.2362
20260113,SC_FU,原油/燃油,SC,FU,445.6,2461.0,0.1811,1.0,9.2835
20260113,Y_P,豆油/棕榈油,Y,P,7986.0,8778.0,0.9098,0.5,0.1123
20260114,CU_AL,铜/铝,CU,AL,104120.0,24595.0,4.2334,0.5,-0.6114
20260114,RB_I,螺纹/铁矿,RB,I,3162.0,821.0,3.8514,0.0333,-3.2801
20260114,SC_FU,原油/燃油,SC,FU,445.5,2586.0,0.1723,0.8,3.9788
20260114,Y_P,豆油/棕榈油,Y,P,8000.0,8748.0,0.9145,0.6,0.4171
20260115,CU_AL,铜/铝,CU,AL,102810.0,24375.0,4.2178,0.3333,-0.8007
20260115,RB_I,螺纹/铁矿,RB,I,3160.0,813.0,3.8868,0.1333,-2.5729
20260115,SC_FU,原油/燃油,SC,FU,444.9,2586.0,0.172,0.6667,3.7979
20260115,Y_P,豆油/棕榈油,Y,P,7938.0,8578.0,0.9254,0.8667,1.1242
20260116,CU_AL,铜/铝,CU,AL,100770.0,23925.0,4.2119,0.3,-0.8723
20260116,RB_I,螺纹/铁矿,RB,I,3163.0,812.0,3.8953,0.1667,-2.4031
20260116,SC_FU,原油/燃油,SC,FU,438.8,2522.0,0.174,0.9333,5.0036
20260116,Y_P,豆油/棕榈油,Y,P,8016.0,8674.0,0.9241,0.7667,1.0399
20260119,CU_AL,铜/铝,CU,AL,101180.0,24090.0,4.2001,0.2333,-1.0154
20260119,RB_I,螺纹/铁矿,RB,I,3140.0,794.0,3.9547,0.3667,-1.2164
20260119,SC_FU,原油/燃油,SC,FU,437.4,2538.0,0.1723,0.8,3.9788
20260119,Y_P,豆油/棕榈油,Y,P,7996.0,8648.0,0.9246,0.8,1.0723
20260120,CU_AL,铜/铝,CU,AL,101230.0,23950.0,4.2267,0.4333,-0.6927
20260120,RB_I,螺纹/铁矿,RB,I,3111.0,789.5,3.9405,0.2333,-1.5001
20260120,SC_FU,原油/燃油,SC,FU,437.0,2512.0,0.174,0.9333,5.0036
20260120,Y_P,豆油/棕榈油,Y,P,8032.0,8748.0,0.9182,0.6667,0.6572
20260121,CU_AL,铜/铝,CU,AL,101280.0,24155.0,4.1929,0.1333,-1.1028
20260121,RB_I,螺纹/铁矿,RB,I,3117.0,784.0,3.9758,0.5,-0.7948
20260121,SC_FU,原油/燃油,SC,FU,440.8,2542.0,0.1734,0.8333,4.6419
20260121,Y_P,豆油/棕榈油,Y,P,8044.0,8832.0,0.9108,0.5667,0.1771
20260122,CU_AL,铜/铝,CU,AL,100700.0,24055.0,4.1862,0.1,-1.184
20260122,RB_I,螺纹/铁矿,RB,I,3124.0,786.5,3.972,0.4333,-0.8708
20260122,SC_FU,原油/燃油,SC,FU,446.4,2592.0,0.1722,0.7333,3.9185
20260122,Y_P,豆油/棕榈油,Y,P,8084.0,8944.0,0.9038,0.3333,-0.2769
20260123,CU_AL,铜/铝,CU,AL,101340.0,24290.0,4.1721,0.1,-1.3551
20260123,RB_I,螺纹/铁矿,RB,I,3142.0,795.0,3.9522,0.2667,-1.2663
20260123,SC_FU,原油/燃油,SC,FU,441.9,2643.0,0.1672,0.5333,0.9045
20260123,Y_P,豆油/棕榈油,Y,P,8094.0,8910.0,0.9084,0.4333,0.0215
20260126,CU_AL,铜/铝,CU,AL,101880.0,24215.0,4.2073,0.2333,-0.9281
20260126,RB_I,螺纹/铁矿,RB,I,3143.0,784.5,4.0064,0.7,-0.1835
20260126,SC_FU,原油/燃油,SC,FU,457.3,2791.0,0.1638,0.0667,-1.1451
20260126,Y_P,豆油/棕榈油,Y,P,8226.0,9092.0,0.9048,0.4,-0.2121
20260127,CU_AL,铜/铝,CU,AL,102600.0,24305.0,4.2214,0.4,-0.757
20260127,RB_I,螺纹/铁矿,RB,I,3126.0,788.0,3.967,0.4,-0.9706
20260127,SC_FU,原油/燃油,SC,FU,446.7,2692.0,0.1659,0.2667,0.1208
20260127,Y_P,豆油/棕榈油,Y,P,8258.0,9238.0,0.8939,0.0667,-0.9191
20260128,CU_AL,铜/铝,CU,AL,103060.0,25640.0,4.0195,0.0,-3.2064
20260128,RB_I,螺纹/铁矿,RB,I,3123.0,783.0,3.9885,0.5667,-0.5411
20260128,SC_FU,原油/燃油,SC,FU,460.3,2751.0,0.1673,0.5333,0.9647
20260128,Y_P,豆油/棕榈油,Y,P,8326.0,9270.0,0.8982,0.3,-0.6402
20260129,CU_AL,铜/铝,CU,AL,109110.0,25590.0,4.2638,0.5333,-0.2426
20260129,RB_I,螺纹/铁矿,RB,I,3157.0,798.5,3.9537,0.3333,-1.2364
20260129,SC_FU,原油/燃油,SC,FU,472.5,2831.0,0.1669,0.4333,0.7236
20260129,Y_P,豆油/棕榈油,Y,P,8382.0,9362.0,0.8953,0.1,-0.8283
20260130,CU_AL,铜/铝,CU,AL,103680.0,24560.0,4.2215,0.4333,-0.7558
20260130,RB_I,螺纹/铁矿,RB,I,3128.0,791.5,3.952,0.2667,-1.2703
20260130,SC_FU,原油/燃油,SC,FU,470.8,2820.0,0.167,0.5,0.7839
20260130,Y_P,豆油/棕榈油,Y,P,8282.0,9240.0,0.8963,0.1667,-0.7635
20260202,CU_AL,铜/铝,CU,AL,98580.0,23035.0,4.2796,0.5667,-0.0509
20260202,RB_I,螺纹/铁矿,RB,I,3098.0,783.0,3.9566,0.4,-1.1784
20260202,SC_FU,原油/燃油,SC,FU,449.0,2679.0,0.1676,0.6333,1.1456
20260202,Y_P,豆油/棕榈油,Y,P,8092.0,9014.0,0.8977,0.2333,-0.6726
20260203,CU_AL,铜/铝,CU,AL,104500.0,23810.0,4.3889,0.9333,1.2751
20260203,RB_I,螺纹/铁矿,RB,I,3099.0,777.5,3.9859,0.5667,-0.5931
20260203,SC_FU,原油/燃油,SC,FU,449.4,2701.0,0.1664,0.4,0.4222
20260203,Y_P,豆油/棕榈油,Y,P,8086.0,9094.0,0.8892,0.0333,-1.224
20260204,CU_AL,铜/铝,CU,AL,105160.0,23955.0,4.3899,1.0,1.2872
20260204,RB_I,螺纹/铁矿,RB,I,3110.0,781.5,3.9795,0.5,-0.7209
20260204,SC_FU,原油/燃油,SC,FU,462.4,2797.0,0.1653,0.2333,-0.2409
20260204,Y_P,豆油/棕榈油,Y,P,8140.0,9138.0,0.8908,0.0667,-1.1202
20260205,CU_AL,铜/铝,CU,AL,100980.0,23385.0,4.3182,0.7333,0.4173
20260205,RB_I,螺纹/铁矿,RB,I,3101.0,768.5,4.0351,0.7667,0.3899
20260205,SC_FU,原油/燃油,SC,FU,463.5,2824.0,0.1641,0.1,-0.9643
20260205,Y_P,豆油/棕榈油,Y,P,8104.0,9042.0,0.8963,0.1667,-0.7635
20260206,CU_AL,铜/铝,CU,AL,100100.0,23315.0,4.2934,0.6,0.1165
20260206,RB_I,螺纹/铁矿,RB,I,3077.0,760.5,4.046,0.8,0.6077
20260206,SC_FU,原油/燃油,SC,FU,465.4,2831.0,0.1644,0.1667,-0.7834
20260206,Y_P,豆油/棕榈油,Y,P,8102.0,9026.0,0.8976,0.2,-0.6791
20260209,CU_AL,铜/铝,CU,AL,101840.0,23540.0,4.3263,0.8333,0.5156
20260209,RB_I,螺纹/铁矿,RB,I,3064.0,761.5,4.0236,0.7333,0.1601
20260209,SC_FU,原油/燃油,SC,FU,464.2,2794.0,0.1661,0.3333,0.2414
20260209,Y_P,豆油/棕榈油,Y,P,8114.0,9014.0,0.9002,0.3333,-0.5105
20260210,CU_AL,铜/铝,CU,AL,101560.0,23515.0,4.3189,0.7667,0.4258
20260210,RB_I,螺纹/铁矿,RB,I,3052.0,761.5,4.0079,0.7333,-0.1535
20260210,SC_FU,原油/燃油,SC,FU,476.1,2845.0,0.1673,0.5333,0.9647
20260210,Y_P,豆油/棕榈油,Y,P,8098.0,8940.0,0.9058,0.4,-0.1472
20260211,CU_AL,铜/铝,CU,AL,102180.0,23660.0,4.3187,0.7667,0.4234
20260211,RB_I,螺纹/铁矿,RB,I,3054.0,762.5,4.0052,0.6333,-0.2075
20260211,SC_FU,原油/燃油,SC,FU,476.8,2860.0,0.1667,0.4,0.603
20260211,Y_P,豆油/棕榈油,Y,P,8110.0,8906.0,0.9106,0.5,0.1642
20260212,CU_AL,铜/铝,CU,AL,102330.0,23610.0,4.3342,0.9,0.6114
20260212,RB_I,螺纹/铁矿,RB,I,3050.0,762.0,4.0026,0.6,-0.2594
20260212,SC_FU,原油/燃油,SC,FU,476.8,2888.0,0.1651,0.2333,-0.3614
20260212,Y_P,豆油/棕榈油,Y,P,8082.0,8782.0,0.9203,0.7,0.7934
20260213,CU_AL,铜/铝,CU,AL,100380.0,23195.0,4.3277,0.8667,0.5326
20260213,RB_I,螺纹/铁矿,RB,I,3055.0,746.0,4.0952,1.0,1.5906
20260213,SC_FU,原油/燃油,SC,FU,460.7,2840.0,0.1622,0.0333,-2.1096
20260213,Y_P,豆油/棕榈油,Y,P,8054.0,8698.0,0.926,0.9,1.1631
20260224,CU_AL,铜/铝,CU,AL,101510.0,23550.0,4.3104,0.6667,0.3227
20260224,RB_I,螺纹/铁矿,RB,I,3027.0,740.5,4.0878,0.9333,1.4428
20260224,SC_FU,原油/燃油,SC,FU,493.3,2942.0,0.1677,0.6667,1.2059
20260224,Y_P,豆油/棕榈油,Y,P,8140.0,8824.0,0.9225,0.7667,0.9361
20260225,CU_AL,铜/铝,CU,AL,102460.0,23835.0,4.2987,0.6,0.1808
20260225,RB_I,螺纹/铁矿,RB,I,3076.0,752.5,4.0877,0.8667,1.4408
20260225,SC_FU,原油/燃油,SC,FU,488.3,2943.0,0.1659,0.2667,0.1208
20260225,Y_P,豆油/棕榈油,Y,P,8228.0,8848.0,0.9299,0.9,1.4161
20260226,CU_AL,铜/铝,CU,AL,102670.0,23845.0,4.3057,0.6333,0.2657
20260226,RB_I,螺纹/铁矿,RB,I,3063.0,748.5,4.0922,0.9667,1.5307
20260226,SC_FU,原油/燃油,SC,FU,483.6,2987.0,0.1619,0.0,-2.2904
20260226,Y_P,豆油/棕榈油,Y,P,8198.0,8714.0,0.9408,1.0,2.1232
20260227,CU_AL,铜/铝,CU,AL,103920.0,23835.0,4.36,0.9333,0.9244
20260227,RB_I,螺纹/铁矿,RB,I,3067.0,750.5,4.0866,0.8333,1.4188
20260227,SC_FU,原油/燃油,SC,FU,488.4,2960.0,0.165,0.2,-0.4217
20260227,Y_P,豆油/棕榈油,Y,P,8226.0,8780.0,0.9369,0.9333,1.8702
