ts_code,trade_date,close,pct_chg,amount
000852.SH,20260213,8204.8294,-1.323,438924354.793
000852.SH,20260212,8314.8322,0.9141,467860009.633
000852.SH,20260211,8239.513,-0.1307,438065440.518
000852.SH,20260210,8250.3001,0.2007,475050653.321
000852.SH,20260209,8233.7783,2.263,482557298.732
000852.SH,20260206,8051.5742,-0.2045,444590291.967
000852.SH,20260205,8068.0767,-1.6942,440964669.773
000852.SH,20260204,8207.1203,-0.0241,516215155.945
000852.SH,20260203,8209.101,2.9299,525759546.405
000852.SH,20260202,7975.4283,-3.3851,498940799.234
000852.SH,20260130,8254.8603,-0.9283,596749295.785
000852.SH,20260129,8332.2067,-0.8046,677736377.632
000852.SH,20260128,8399.7938,0.2105,627356672.6
000852.SH,20260127,8382.1533,0.1999,630208311.334
000852.SH,20260126,8365.4345,-1.2432,703181530.463
000852.SH,20260123,8470.7438,1.9424,681947636.158
000852.SH,20260122,8309.3456,0.7477,571805715.998
000852.SH,20260121,8247.6798,0.7935,564720693.794
000852.SH,20260120,8182.7522,-1.0029,579037016.861
000852.SH,20260119,8265.6462,0.3998,581675794.396
000852.SH,20260116,8232.7293,-0.0976,633410677.297
000852.SH,20260115,8240.7751,-0.1986,638659733.156
000852.SH,20260114,8257.1716,0.6588,884281078.762
000852.SH,20260113,8203.1327,-1.8413,824652003.314
000852.SH,20260112,8357.0107,2.8026,827564717.481
000852.SH,20260109,8129.1831,1.977,705322959.793
000852.SH,20260108,7971.5887,0.8243,605389117.079
000852.SH,20260107,7906.4197,0.5279,617917011.025
000852.SH,20260106,7864.9034,1.4318,580815076.334
000852.SH,20260105,7753.88,2.0881,542230841.526
000852.SH,20251231,7595.2845,-0.0265,440672066.748
000852.SH,20251230,7597.299,0.0414,468024130.591
000852.SH,20251229,7594.1575,-0.1495,466873470.412
000852.SH,20251226,7605.5299,0.345,473665628.418
000852.SH,20251225,7579.3791,0.9725,434419255.593
000852.SH,20251224,7506.3814,1.5416,406286039.967
000852.SH,20251223,7392.4204,-0.215,397181525.762
000852.SH,20251222,7408.3488,1.0716,381186010.91
000852.SH,20251219,7329.8057,0.7893,362345403.57
000852.SH,20251218,7272.4024,-0.2241,348983557.161
000852.SH,20251217,7288.7384,1.4916,366263786.19
000852.SH,20251216,7181.62,-1.7438,361621759.667
000852.SH,20251215,7309.0775,-0.8393,372658890.926
000852.SH,20251212,7370.9416,0.8062,422779414.911
000852.SH,20251211,7311.9952,-1.2992,381933822.513
000852.SH,20251210,7408.2441,0.3748,360245249.693
000852.SH,20251209,7380.5835,-0.572,392312852.126
000852.SH,20251208,7423.0462,1.0971,418474779.432
000852.SH,20251205,7342.4924,1.2945,352805657.18
000852.SH,20251204,7248.6573,0.0053,311315804.96
000852.SH,20251203,7248.274,-0.8875,335034477.208
000852.SH,20251202,7313.178,-0.9951,320218841.083
000852.SH,20251201,7386.6811,0.7154,392320297.532
000852.SH,20251128,7334.2097,1.0576,342185224.996
000852.SH,20251127,7257.454,0.1242,365625943.247
000852.SH,20251126,7248.4489,-0.0207,376963938.111
000852.SH,20251125,7249.9471,1.3071,404174105.411
932000.CSI,20260213,3493.1845,-0.657,434090960.164
932000.CSI,20260212,3516.2864,0.2655,483465950.479
932000.CSI,20260211,3506.9743,-0.433,454606846.677
932000.CSI,20260210,3522.2271,-0.1022,499000916.969
932000.CSI,20260209,3525.8316,2.1156,524870841.807
932000.CSI,20260206,3452.7846,0.4238,500452388.867
932000.CSI,20260205,3438.212,-1.2243,472917265.228
932000.CSI,20260204,3480.8289,0.1121,525699792.071
932000.CSI,20260203,3476.9308,2.8264,517799725.241
932000.CSI,20260202,3381.3605,-2.405,524916226.669
932000.CSI,20260130,3464.6869,-0.119,566425138.97
932000.CSI,20260129,3468.8146,-1.212,626785430.94
932000.CSI,20260128,3511.3732,-0.7304,579416754.939
932000.CSI,20260127,3537.2076,0.2715,601690380.302
932000.CSI,20260126,3527.6287,-1.5837,684986548.128
932000.CSI,20260123,3584.3964,1.8566,659652007.594
932000.CSI,20260122,3519.0616,1.001,569556862.502
932000.CSI,20260121,3484.1848,0.9962,555749855.857
932000.CSI,20260120,3449.8185,-0.9934,612019268.413
932000.CSI,20260119,3484.432,1.1426,595027446.791
932000.CSI,20260116,3445.0691,0.0466,635598342.873
932000.CSI,20260115,3443.4653,-0.9748,631896383.671
932000.CSI,20260114,3477.3626,0.9596,864276361.056
932000.CSI,20260113,3444.3116,-1.7907,829429757.109
932000.CSI,20260112,3507.1141,2.7624,811868566.46
932000.CSI,20260109,3412.8377,1.6666,716818953.716
932000.CSI,20260108,3356.8917,1.2968,630215775.645
932000.CSI,20260107,3313.9154,0.5192,620697106.682
932000.CSI,20260106,3296.7971,1.2191,594477447.027
932000.CSI,20260105,3257.0905,1.6814,558610767.984
932000.CSI,20251231,3203.2319,0.0955,504002445.035
932000.CSI,20251230,3200.1755,-0.1794,514097430.391
932000.CSI,20251229,3205.927,-0.0182,502639400.965
932000.CSI,20251226,3206.5109,-0.0508,530001696.206
932000.CSI,20251225,3208.14,1.3073,489735366.504
932000.CSI,20251224,3166.7413,1.5535,458508948.099
932000.CSI,20251223,3118.2996,-0.6253,466463210.033
932000.CSI,20251222,3137.9195,0.86,440633326.892
932000.CSI,20251219,3111.1622,1.4699,436498625.448
932000.CSI,20251218,3066.0946,0.0729,412873246.239
932000.CSI,20251217,3063.8605,0.7516,427511842.406
932000.CSI,20251216,3041.0041,-1.7264,423170519.202
932000.CSI,20251215,3094.4264,-0.2366,413644785.687
932000.CSI,20251212,3101.7655,0.6631,478935292.735
932000.CSI,20251211,3081.3346,-1.696,460954193.268
932000.CSI,20251210,3134.4949,0.1766,458293501.434
932000.CSI,20251209,3128.9699,-0.5328,472649468.328
932000.CSI,20251208,3145.7298,1.4649,492773321.96
932000.CSI,20251205,3100.3133,1.8657,429712966.341
932000.CSI,20251204,3043.529,-0.7464,400651955.767
932000.CSI,20251203,3066.4164,-1.0273,434442848.625
932000.CSI,20251202,3098.2434,-0.4728,409934463.322
932000.CSI,20251201,3112.9618,0.6982,446103558.043
932000.CSI,20251128,3091.3782,1.326,422949518.461
932000.CSI,20251127,3050.924,0.3126,425123237.636
932000.CSI,20251126,3041.4159,-0.3373,447467134.018
932000.CSI,20251125,3051.7084,1.7486,445318379.982
