symbol,sector,close,chg_20d,trend_dir,ma_alignment,vol_20d,vol_pctile_60d,squeeze,volume_ratio,donchian_20,donchian_60,dc20_position,oi_chg_5d,oi_chg_20d,oi_confirm,r2,avg_daily_amt,signal_count,drivers,industry_drivers,trend_score
FU,能源化工,2943.0,17.16,多头,1.0,0.3793,0.8667,False,1.2974,,,0.9131,0.5,46.3,,0.7271,2156279.17,2,趋势多头|放量,炼厂检修·船燃需求·裂解价差,0.9016
SC,能源化工,488.3,11.74,多头,1.0,0.4041,1.0,False,1.3888,,,0.8845,-6.33,3.54,多头衰竭,0.6468,5518701.48,2,趋势多头|放量,OPEC+产量·地缘政治·全球需求,0.8358
LU,能源化工,3436.0,11.63,多头,1.0,0.3685,1.0,False,1.2051,,,0.8268,79.45,77.23,多头确认,0.697,385814.01,3,趋势多头|放量|多头确认,,0.8156
A,农产品,4679.0,7.86,多头,1.0,0.1461,0.9167,False,1.3444,突破高点,突破高点,1.011,10.8,36.25,多头确认,0.7148,787644.54,5,趋势多头|20日突破高点|60日突破高点|放量|多头确认,,0.7855
NR,能源化工,13980.0,11.39,多头,1.0,0.2548,0.9833,False,0.9813,突破高点,突破高点,1.0672,-5.46,-27.99,多头衰竭,0.5321,776266.58,3,趋势多头|20日突破高点|60日突破高点,,0.7697
RU,能源化工,17240.0,10.37,多头,1.0,0.2504,0.9833,False,1.0548,突破高点,突破高点,1.0554,15.23,-2.17,多头确认,0.421,4602800.45,4,趋势多头|20日突破高点|60日突破高点|多头确认,泰国割胶季·轮胎开工·合成胶价差,0.743
PG,能源化工,4510.0,11.25,多头,1.0,0.3716,1.0,False,1.0818,,,0.7808,180.27,-9.66,多头确认,0.3132,650825.97,2,趋势多头|多头确认,,0.7197
CF,农产品,15380.0,5.89,多头,1.0,0.1801,0.9833,False,1.099,突破高点,突破高点,1.1176,17.59,4.48,多头确认,0.2358,2652847.38,4,趋势多头|20日突破高点|60日突破高点|多头确认,新疆产量·纺织需求·抛储政策,0.6486
AO,有色金属,2870.0,7.45,多头,1.0,0.1779,0.2667,False,1.1179,,,0.8223,-5.14,-39.36,多头衰竭,0.7439,3284653.0,1,趋势多头,电解铝产能·铝土矿进口·氧化铝产能,0.6424
BR,能源化工,13045.0,12.6,震荡,0.2,0.3872,1.0,False,1.7485,,,0.8089,-58.6,-88.42,多头衰竭,0.0194,2068827.24,1,放量,,0.608
CY,农产品,21315.0,3.98,多头,1.0,0.1524,0.9833,False,1.0039,突破高点,突破高点,1.0437,6.08,-22.46,多头确认,0.2254,99710.13,4,趋势多头|20日突破高点|60日突破高点|多头确认,,0.6074
CS,农产品,2673.0,4.82,多头,1.0,0.1152,0.8333,True,0.9239,,,0.9425,124.88,10.37,多头确认,0.276,243273.81,3,趋势多头|多头确认|波动率squeeze,,0.5912
AU,贵金属,1151.06,8.57,多头,0.6,0.7169,0.9833,False,1.4579,,,0.5923,-1.17,-16.61,,0.0004,47801203.1,2,趋势多头|放量,美元/实际利率·央行购金·避险情绪,0.5666
I,黑色系,752.5,-4.69,空头,-1.0,0.1629,0.5,False,0.9005,,,0.264,2.83,-9.88,,0.7886,1814709.74,1,趋势空头,铁水产量·港口库存·澳巴发运,0.5634
