trade_date,prefix,close,vol,amount,oi
20260224,IF,4683.4,60004.0,8441611.386,148797.0
20260213,IF,4627.0,71794.0,10048509.852,156477.0
20260212,IF,4716.8,44769.0,6333707.598,152334.0
20260211,IF,4714.8,37735.0,5337797.844,150599.0
20260210,IF,4724.0,40264.0,5704185.036,151713.0
20260209,IF,4721.2,51368.0,7251346.26,154559.0
20260206,IF,4637.6,70073.0,9757016.724,156652.0
20260205,IF,4665.2,70168.0,9800812.08,161588.0
20260204,IF,4693.6,65238.0,9113881.578,159248.0
20260203,IF,4653.0,82004.0,11376787.908,170254.0
20260202,IF,4577.4,110802.0,15446257.65,174613.0
20260130,IF,4711.0,108273.0,15324044.874,186373.0
20260129,IF,4784.0,99189.0,14127441.96,184884.0
20260128,IF,4732.8,84387.0,11977098.882,185840.0
20260127,IF,4718.2,87568.0,12405780.276,178212.0
20260126,IF,4719.4,112956.0,16049618.622,191907.0
20260123,IF,4709.2,84474.0,11959851.234,173887.0
20260122,IF,4719.4,72080.0,10216406.172,174304.0
20260121,IF,4722.8,74116.0,10530440.082,173409.0
20260120,IF,4708.6,79866.0,11269260.9,179532.0
20260119,IF,4728.6,73045.0,10371127.596,179134.0
20260116,IF,4723.2,89508.0,12748507.38,187424.0
20260115,IF,4746.6,81140.0,11536492.41,186881.0
20260114,IF,4740.0,119874.0,17171512.638,195726.0
20260113,IF,4758.6,97329.0,13953539.562,184613.0
20260112,IF,4774.0,89188.0,12727534.14,182828.0
20260109,IF,4743.8,85400.0,12135143.604,182579.0
20260108,IF,4718.4,70354.0,9975149.736,176039.0
20260107,IF,4753.0,67166.0,9595546.758,174314.0
20260106,IF,4778.0,79694.0,11352248.478,178463.0
20260105,IF,4697.0,72812.0,10203346.242,173732.0
20251231,IF,4599.8,63352.0,8756250.756,166875.0
20251230,IF,4622.2,56756.0,7864819.902,171595.0
20251229,IF,4610.2,58452.0,8103957.588,167149.0
20251226,IF,4638.4,70821.0,9853995.03,175215.0
20251225,IF,4610.6,52262.0,7218854.904,164476.0
20251224,IF,4595.0,58846.0,8088024.93,164967.0
20251223,IF,4571.4,52645.0,7227465.222,163660.0
20251222,IF,4564.8,53962.0,7392904.17,157800.0
20251219,IF,4527.0,66095.0,8986623.072,162769.0
20251218,IF,4550.4,53558.0,7321623.858,37690.0
20251217,IF,4578.2,84998.0,11576010.942,61935.0
20251216,IF,4499.4,79947.0,10790434.932,90761.0
20251215,IF,4545.6,68323.0,9360862.476,94777.0
20251212,IF,4574.0,74003.0,10116075.99,113155.0
20251211,IF,4539.6,64930.0,8889654.036,111889.0
20251210,IF,4574.2,75990.0,10382361.438,121027.0
20251209,IF,4583.2,63877.0,8809083.84,125588.0
20251208,IF,4613.2,76082.0,10530621.378,132821.0
20251205,IF,4574.4,84754.0,11572059.084,143296.0
20251204,IF,4530.6,63708.0,8645788.668,136475.0
20251203,IF,4518.2,67863.0,9224190.936,142198.0
20251202,IF,4535.8,55827.0,7600829.22,138432.0
20251201,IF,4555.4,68600.0,9335762.52,145600.0
20251128,IF,4505.8,64947.0,8768196.594,148801.0
20251127,IF,4492.6,72122.0,9776528.292,155679.0
20251126,IF,4493.0,70583.0,9526468.65,155905.0
20251125,IF,4473.0,77751.0,10447805.508,160808.0
20251124,IF,4435.2,82507.0,10980003.312,168604.0
20251121,IF,4428.4,112829.0,15116437.368,176897.0
20251120,IF,4539.2,83141.0,11397258.642,165189.0
20251119,IF,4565.2,76820.0,10523550.684,156324.0
20251118,IF,4555.0,76476.0,10461391.878,158826.0
20251117,IF,4581.4,69751.0,9583319.178,154108.0
20251114,IF,4600.4,67288.0,9366239.526,149958.0
20251113,IF,4677.0,70414.0,9838402.35,149415.0
20251112,IF,4628.0,79009.0,10955303.64,157009.0
20251111,IF,4626.8,70771.0,9858169.44,151427.0
20251110,IF,4672.0,69883.0,9752580.75,156162.0
20251107,IF,4659.4,56412.0,7884347.1,149916.0
20251106,IF,4670.8,71116.0,9930216.918,154733.0
20251105,IF,4596.6,73216.0,10060498.29,156249.0
20251104,IF,4589.0,74377.0,10269850.518,155987.0
20251103,IF,4634.8,72223.0,9985726.08,157779.0
20251031,IF,4631.4,85956.0,12008595.762,160463.0
20251030,IF,4690.0,87251.0,12333480.39,160853.0
20251029,IF,4732.6,65655.0,9266038.206,156239.0
20251028,IF,4669.6,72481.0,10190110.062,155110.0
20251027,IF,4684.4,71074.0,9979507.836,157785.0
20251024,IF,4634.8,74172.0,10270760.214,153415.0
20251023,IF,4580.8,84087.0,11456673.762,160208.0
20251022,IF,4563.4,65140.0,8914153.932,151558.0
20251021,IF,4577.6,77133.0,10579189.854,157558.0
20251020,IF,4506.8,71457.0,9691210.104,156399.0
20251017,IF,4485.2,99982.0,13562039.238,163234.0
20251016,IF,4590.0,87781.0,12086626.074,161774.0
20251015,IF,4576.4,86223.0,11738704.008,160428.0
20251014,IF,4507.2,107698.0,14696090.73,162441.0
20251013,IF,4562.6,97200.0,13226984.904,163856.0
20251010,IF,4592.2,96227.0,13364791.89,162971.0
20251009,IF,4689.2,78704.0,11048972.436,163300.0
20250930,IF,4618.0,63292.0,8770218.216,153795.0
20250929,IF,4604.6,97301.0,13346729.49,165254.0
20250926,IF,4525.0,71448.0,9750274.692,150988.0
20250925,IF,4562.2,80775.0,11038718.004,154619.0
20250924,IF,4530.0,86527.0,11684863.596,151864.0
20250923,IF,4483.8,101402.0,13555391.928,159890.0
20250922,IF,4484.0,65934.0,8836596.792,149528.0
20250919,IF,4464.4,80743.0,10809092.466,151383.0
20250918,IF,4487.2,65747.0,8940665.244,39525.0
20260224,IH,3037.4,26420.0,2412600.48,60075.0
20260213,IH,3020.0,38269.0,3497085.384,63684.0
20260212,IH,3083.0,20263.0,1875814.056,56888.0
20260211,IH,3091.4,20318.0,1882660.644,56814.0
20260210,IH,3093.6,19831.0,1837635.9,56334.0
20260209,IH,3084.0,26188.0,2416572.726,57290.0
20260206,IH,3036.2,34178.0,3114944.478,59121.0
20260205,IH,3061.4,36122.0,3307635.39,60257.0
20260204,IH,3071.8,33658.0,3078186.762,59111.0
20260203,IH,3033.0,39958.0,3616611.678,62777.0
20260202,IH,3004.2,53829.0,4896620.232,66246.0
20260130,IH,3074.0,48327.0,4469901.108,70443.0
20260129,IH,3130.4,51786.0,4808660.688,73669.0
20260128,IH,3069.8,38337.0,3529780.884,67766.0
20260127,IH,3064.0,41275.0,3802711.95,66049.0
20260126,IH,3058.2,52871.0,4867628.154,70243.0
20260123,IH,3037.8,38693.0,3541925.04,63802.0
20260122,IH,3061.2,33606.0,3093752.088,59009.0
20260121,IH,3073.6,34230.0,3169366.728,58489.0
20260120,IH,3075.4,31503.0,2906777.97,56746.0
20260119,IH,3077.6,30016.0,2777845.278,57249.0
20260116,IH,3084.4,39751.0,3696581.988,58902.0
20260115,IH,3108.0,34976.0,3266066.874,57912.0
20260114,IH,3114.0,48861.0,4607829.09,59979.0
20260113,IH,3137.6,41076.0,3881934.972,57216.0
20260112,IH,3140.2,33564.0,3158339.448,55192.0
20260109,IH,3134.8,33032.0,3101508.498,55495.0
20260108,IH,3122.4,28102.0,2635692.216,55279.0
20260107,IH,3143.8,30060.0,2839579.248,55587.0
20260106,IH,3161.8,39763.0,3746361.792,60630.0
20260105,IH,3098.8,35869.0,3315180.876,56614.0
20251231,IH,3025.0,31896.0,2899909.536,53650.0
20251230,IH,3035.4,26708.0,2433618.312,53919.0
20251229,IH,3038.0,24852.0,2271619.494,53232.0
20251226,IH,3051.4,31969.0,2927930.472,55790.0
20251225,IH,3034.0,20968.0,1907290.188,50757.0
20251224,IH,3027.0,24242.0,2197791.912,50212.0
20251223,IH,3025.6,22810.0,2071188.96,49673.0
20251222,IH,3018.4,21348.0,1934125.974,50341.0
20251219,IH,3006.4,28058.0,2525969.646,51015.0
20251218,IH,2995.0,22829.0,2047094.61,16779.0
20251217,IH,2987.2,36309.0,3235875.72,28496.0
20251216,IH,2951.4,39814.0,3524531.778,37238.0
20251215,IH,2983.8,33281.0,2991311.514,41704.0
20251212,IH,2986.8,32570.0,2908765.602,47489.0
20251211,IH,2969.8,28078.0,2505389.658,47700.0
20251210,IH,2980.8,34093.0,3040893.822,52758.0
20251209,IH,2991.6,26505.0,2386042.59,52166.0
20251208,IH,3015.0,31875.0,2887438.53,55867.0
20251205,IH,2997.4,38569.0,3453895.008,59755.0
20251204,IH,2968.2,27688.0,2461970.832,53262.0
20251203,IH,2958.4,27565.0,2451676.362,55954.0
20251202,IH,2971.4,25152.0,2244352.974,53855.0
20251201,IH,2986.4,32036.0,2859333.972,59130.0
20251128,IH,2963.2,27131.0,2410313.736,57878.0
20251127,IH,2962.4,30995.0,2763304.476,61159.0
20251126,IH,2964.6,26457.0,2355277.566,58010.0
20251125,IH,2959.2,32610.0,2895404.628,59535.0
20251124,IH,2944.4,33894.0,2996444.736,62014.0
20251121,IH,2946.4,53598.0,4765629.192,67165.0
20251120,IH,3002.6,39268.0,3553642.008,64984.0
20251119,IH,3011.0,36365.0,3287466.474,61909.0
20251118,IH,2997.6,36656.0,3300611.214,62985.0
20251117,IH,3009.2,37212.0,3359772.678,64127.0
20251114,IH,3030.4,32072.0,2940121.776,62716.0
20251113,IH,3068.8,34620.0,3175610.916,61604.0
20251112,IH,3042.8,36751.0,3354274.368,62367.0
20251111,IH,3033.0,34254.0,3119718.492,60887.0
20251110,IH,3054.0,30249.0,2759520.606,61599.0
20251107,IH,3038.2,25302.0,2307650.652,57801.0
20251106,IH,3041.4,34423.0,3132817.68,61694.0
20251105,IH,3002.6,34881.0,3141040.734,61875.0
20251104,IH,3008.2,32632.0,2948792.928,59901.0
20251103,IH,3016.6,32564.0,2935104.702,61533.0
20251031,IH,3015.2,40576.0,3682482.402,63955.0
20251030,IH,3045.0,41888.0,3842089.374,66853.0
20251029,IH,3064.8,30153.0,2766529.434,62594.0
20251028,IH,3051.6,34831.0,3198638.682,64286.0
20251027,IH,3066.8,37476.0,3450708.66,65887.0
20251024,IH,3048.6,39423.0,3596354.196,64619.0
20251023,IH,3023.8,40773.0,3671919.882,63397.0
20251022,IH,3005.6,31434.0,2828015.154,59769.0
20251021,IH,3004.8,35150.0,3164357.466,62330.0
20251020,IH,2970.4,34271.0,3061910.37,60464.0
20251017,IH,2963.0,56818.0,5090997.942,67502.0
20251016,IH,3019.0,47257.0,4274251.404,69593.0
20251015,IH,2997.4,41717.0,3725438.634,63594.0
20251014,IH,2958.4,48584.0,4326631.296,65281.0
20251013,IH,2961.6,44552.0,3937758.306,65965.0
20251010,IH,2975.8,43708.0,3922470.294,67688.0
