trade_date,symbol,close,vol,amount,oi
20250709,RB,3063.0,1026448.0,3146974.26,2174941.0
20250710,RB,3123.0,2153427.0,6675518.97,2230035.0
20250711,RB,3133.0,1654545.0,5185249.17,2200525.0
20250714,RB,3138.0,1164609.0,3647239.74,2122341.0
20250715,RB,3114.0,1439493.0,4492852.48,2153852.0
20250716,RB,3106.0,1130791.0,3515386.75,2137057.0
20250717,RB,3133.0,1501721.0,4691715.06,2126876.0
20250718,RB,3147.0,1874850.0,5917248.88,2075790.0
20250721,RB,3224.0,2696289.0,8648887.27,2095912.0
20250722,RB,3307.0,3266737.0,10665720.49,2024507.0
20250723,RB,3274.0,2847460.0,9350081.41,1922698.0
20250724,RB,3294.0,2533253.0,8309229.08,1906352.0
20250725,RB,3356.0,2878137.0,9545641.26,1998652.0
20250728,RB,3248.0,3414713.0,11208167.57,1935881.0
20250729,RB,3347.0,2711612.0,8951879.44,2175237.0
20250730,RB,3315.0,3510866.0,11745394.99,2029133.0
20250731,RB,3205.0,2730966.0,8859077.03,1816026.0
20250801,RB,3203.0,1929148.0,6199245.69,1760703.0
20250804,RB,3204.0,1634527.0,5213003.11,1742635.0
20250805,RB,3233.0,1580653.0,5074673.61,1708832.0
20250806,RB,3234.0,1202766.0,3885038.6,1652569.0
20250807,RB,3231.0,1648650.0,5335445.97,1628167.0
20250808,RB,3213.0,1040873.0,3346723.38,1612110.0
20250811,RB,3250.0,1411239.0,4555424.94,1612625.0
20250812,RB,3258.0,1141600.0,3713211.95,1605388.0
20250813,RB,3222.0,1236428.0,4016513.99,1652593.0
20250814,RB,3189.0,1283713.0,4110140.81,1636544.0
20250815,RB,3188.0,1119005.0,3561904.58,1617947.0
20250818,RB,3155.0,1316477.0,4177769.54,1609893.0
20250819,RB,3126.0,1121791.0,3527290.39,1608694.0
20250820,RB,3132.0,1317374.0,4113250.37,1523392.0
20250821,RB,3121.0,1125179.0,3522039.45,1458111.0
20250822,RB,3119.0,801286.0,2497362.02,1411603.0
20250825,RB,3138.0,1200313.0,3773835.43,1347830.0
20250826,RB,3113.0,770094.0,2407358.54,1308206.0
20250827,RB,3111.0,1006734.0,3133812.01,1234764.0
20260112,RB,3165.0,957432.0,3024385.32,1726703.0
20260113,RB,3158.0,837879.0,2648877.8,1687943.0
20260114,RB,3162.0,764719.0,2419647.77,1691461.0
20260115,RB,3160.0,754088.0,2383726.46,1685122.0
20260116,RB,3163.0,1365347.0,4332403.54,1755339.0
20260119,RB,3140.0,1056242.0,3325862.92,1727955.0
20260120,RB,3111.0,936583.0,2929925.07,1741235.0
20260121,RB,3117.0,633661.0,1972735.93,1742258.0
20260122,RB,3124.0,615894.0,1924200.0,1747274.0
20260123,RB,3142.0,657796.0,2061901.66,1741762.0
20260126,RB,3143.0,809245.0,2550134.77,1730856.0
20260127,RB,3126.0,673796.0,2111014.54,1714659.0
20260128,RB,3123.0,607256.0,1896165.87,1744406.0
20260129,RB,3157.0,1026450.0,3226296.7,1785380.0
20260130,RB,3128.0,1218321.0,3834882.12,1734110.0
20260202,RB,3098.0,1134404.0,3533763.9,1784097.0
20260203,RB,3099.0,685806.0,2130249.62,1805126.0
20260204,RB,3110.0,614090.0,1909933.29,1798227.0
20260205,RB,3101.0,681405.0,2110836.6,1847671.0
20260206,RB,3077.0,723307.0,2235523.24,1915253.0
20260209,RB,3064.0,665539.0,2042554.36,2005501.0
20260210,RB,3052.0,528327.0,1614654.04,2065537.0
20260211,RB,3054.0,557284.0,1703952.64,2063660.0
20260212,RB,3050.0,444164.0,1355354.74,2029537.0
20260213,RB,3055.0,555957.0,1698410.15,1942442.0
20260224,RB,3027.0,746349.0,2257553.31,2034509.0
20250709,I,736.5,247638.0,1824990.2,659461.0
20250710,I,763.5,514055.0,3858325.16,659915.0
20250711,I,764.0,360649.0,2757730.32,661862.0
20250714,I,766.5,239244.0,1832989.74,664821.0
20250715,I,767.0,325980.0,2494751.91,668688.0
20250716,I,773.0,370275.0,2856892.59,690377.0
