date,pair,name,symbol_a,symbol_b,close_a,close_b,ratio,pctile,z_score
20260330,CU_AL,铜/铝,CU,AL,95760.0,24725.0,3.873,0.0345,-3.0139
20260330,RB_I,螺纹/铁矿,RB,I,3139.0,813.0,3.861,0.069,-5.8639
20260330,SC_FU,原油/燃油,SC,FU,763.5,4619.0,0.1653,0.9655,1.73
20260330,Y_P,豆油/棕榈油,Y,P,8714.0,9930.0,0.8775,0.2759,-0.8001
20260331,CU_AL,铜/铝,CU,AL,95340.0,24875.0,3.8328,0.0345,-3.0216
20260331,RB_I,螺纹/铁矿,RB,I,3121.0,808.0,3.8626,0.1034,-5.8098
20260331,SC_FU,原油/燃油,SC,FU,740.6,4446.0,0.1666,1.0,1.9357
20260331,Y_P,豆油/棕榈油,Y,P,8668.0,9866.0,0.8786,0.4138,-0.6777
20260401,CU_AL,铜/铝,CU,AL,97030.0,24660.0,3.9347,0.1724,-3.0021
20260401,RB_I,螺纹/铁矿,RB,I,3120.0,812.0,3.8424,0.0345,-6.4927
20260401,SC_FU,原油/燃油,SC,FU,653.8,4001.0,0.1634,0.8276,1.4293
20260401,Y_P,豆油/棕榈油,Y,P,8624.0,9780.0,0.8818,0.5517,-0.3217
20260402,CU_AL,铜/铝,CU,AL,95880.0,24720.0,3.8786,0.069,-3.0128
20260402,RB_I,螺纹/铁矿,RB,I,3106.0,805.0,3.8584,0.069,-5.9518
20260402,SC_FU,原油/燃油,SC,FU,721.3,4385.0,0.1645,0.931,1.6034
20260402,Y_P,豆油/棕榈油,Y,P,8686.0,9974.0,0.8709,0.0345,-1.5345
20260403,CU_AL,铜/铝,CU,AL,96250.0,24660.0,3.9031,0.1379,-3.0081
20260403,RB_I,螺纹/铁矿,RB,I,3097.0,799.5,3.8737,0.1724,-5.4346
20260403,SC_FU,原油/燃油,SC,FU,722.0,4511.0,0.1601,0.7931,0.9071
20260403,Y_P,豆油/棕榈油,Y,P,8694.0,9938.0,0.8748,0.1034,-1.1005
20260407,CU_AL,铜/铝,CU,AL,96560.0,24630.0,3.9204,0.1379,-3.0048
