date,call_vol,put_vol,total_vol,total_amount,call_oi,put_oi,pcr_vol,pcr_oi,hv_20
20260324,4028479,3522450,7550929,566573.99,4595988,2863784,0.8744,0.6231,17.22
20260325,3312271,2608315,5920586,435801.25,4401834,2820246,0.7875,0.6407,17.92
20260326,2357146,2011651,4368797,332042.97,3044245,2184606,0.8534,0.7176,18.33
20260327,2007661,1940918,3948579,324254.11,3106517,2307214,0.9668,0.7427,18.55
20260330,2094670,2082015,4176685,361667.19,3237662,2396282,0.994,0.7401,18.41
20260331,2299158,2155015,4454173,346192.6,3365612,2437217,0.9373,0.7242,17.99
20260401,2337813,1821928,4159741,284462.66,3292292,2513605,0.7793,0.7635,18.82
20260402,2027521,2151301,4178822,323279.39,3464580,2553045,1.061,0.7369,18.68
20260403,1919277,1963093,3882370,286357.32,3597002,2608020,1.0228,0.7251,18.74
20260407,1962902,1787913,3750815,257666.02,3614161,2654508,0.9109,0.7345,18.57
20260408,3922054,2984097,6906151,429144.46,3345819,2765987,0.7609,0.8267,21.91
20260409,2336005,1869920,4205925,269589.45,3429738,2783531,0.8005,0.8116,21.82
20260410,3398121,2517004,5915125,382093.05,3359543,2866989,0.7407,0.8534,22.56
20260413,2262790,1829062,4091852,245521.35,3380074,2921737,0.8083,0.8644,22.54
20260414,3293506,2420935,5714441,338175.48,3329405,3014616,0.7351,0.9055,22.92
20260415,3589650,2642681,6232331,342306.21,3351795,3090695,0.7362,0.9221,22.8
20260416,2748356,2267217,5015573,312585.97,3304605,3218933,0.8249,0.9741,23.05
20260417,2633668,2508093,5141761,274254.88,3355696,3152849,0.9523,0.9396,22.22
20260420,2882260,2354708,5236968,307263.67,3237614,3148882,0.817,0.9726,22.19
20260421,2516609,2098878,4615487,252996.7,3334006,3147938,0.834,0.9442,18.12
20260422,2774474,2113266,4887740,309638.64,3195298,3219881,0.7617,1.0077,17.86
20260423,2314026,1927017,4241043,364016.51,2755087,2326158,0.8328,0.8443,17.57
20260424,2321222,2002093,4323315,371997.84,2810644,2405111,0.8625,0.8557,16.76
20260427,2142502,1734934,3877436,301485.09,2886081,2548276,0.8098,0.883,16.76
20260428,1928984,1713482,3642466,296878.91,2998732,2592765,0.8883,0.8646,16.77
20260429,2076805,1968245,4045050,315464.46,3036275,2654648,0.9477,0.8743,16.37
20260430,3051482,2450384,5501866,381061.31,3029132,2788129,0.803,0.9204,15.72
20260506,4592203,3709525,8301728,707642.98,2984952,2996799,0.8078,1.004,15.38
20260507,2349048,2083292,4432340,392047.95,2992566,3132451,0.8869,1.0467,14.66
