ts_code,stk_code,conv_price,maturity_date,list_date,bond_short_name,par
125002.SZ,000002.SZ,5.85,20070613,20020628,万科转债,100.0
125009.SZ,000009.SZ,19.392,19960101,19930210,宝安转券,1.0
125069.SZ,000069.SZ,6.15,20061231,20040116,侨城转债,100.0
125301.SZ,000301.SZ,4.1,20030828,19980915,丝绸转债,100.0
126301.SZ,000301.SZ,3.0,20070909,20020924,丝绸转2,100.0
125629.SZ,000629.SZ,5.64,20080122,20030217,钢钒转债,100.0
125630.SZ,000630.SZ,4.45,20080521,20030604,铜都转债,100.0
125729.SZ,000729.SZ,7.06,20071016,20021031,燕京转债,100.0
125898.SZ,000898.SZ,2.83,20050315,20000417,鞍钢转债,100.0
125930.SZ,000930.SZ,2.4,20080424,20030520,丰原转债,100.0
125936.SZ,000936.SZ,2.7,20080901,20030916,华西转债,100.0
125959.SZ,000959.SZ,2.97,20081216,20031231,首钢转债,100.0
125302.SZ,,,20040728,19990817,茂炼转债,100.0
110001.SH,600001.SH,3.36,20081126,20031211,邯钢转债,100.0
100009.SH,600009.SH,7.69,20050225,20000316,机场转债,100.0
100016.SH,600016.SH,2.39,20080227,20030318,民生转债,100.0
110037.SH,600037.SH,7.47,20090512,20040528,歌华转债,100.0
100087.SH,600087.SH,5.41,20070813,20020828,水运转债,100.0
100096.SH,600096.SH,5.8,20060910,20030925,云化转债,100.0
100117.SH,600117.SH,4.85,20080811,20030826,西钢转债,100.0
100177.SH,600177.SH,3.35,20060403,20030421,雅戈转债,100.0
100196.SH,600196.SH,5.03,20081028,20031117,复星转债,100.0
100220.SH,600220.SH,3.8,20050418,20020516,阳光转债,100.0
100236.SH,600236.SH,5.77,20080630,20030715,桂冠转债,100.0
100001.SH,600301.SH,4.56,20030803,19980902,南化转债,100.0
110317.SH,600317.SH,6.99,20090520,20040603,营港转债,100.0
110418.SH,600418.SH,3.32,20090415,20040429,江淮转债,100.0
100567.SH,600567.SH,2.46,20080616,20030701,山鹰转债,100.0
100726.SH,600726.SH,3.1,20080603,20030618,华电转债,100.0
100795.SH,600795.SH,6.59,20080718,20030801,国电转债,100.0
126002.SZ,000002.SZ,3.55,20090924,20041018,万科转2,100.0
125488.SZ,000488.SZ,5.5,20090915,20040930,晨鸣转债,100.0
125822.SZ,000822.SZ,4.5,20090907,20040923,海化转债,100.0
125932.SZ,000932.SZ,4.3,20090716,20040803,华菱转债,100.0
125937.SZ,000937.SZ,4.4,20090811,20040826,金牛转债,100.0
110010.SH,600010.SH,1.69,20091110,20041125,包钢转债,100.0
110036.SH,600036.SH,4.42,20091110,20041129,招行转债,100.0
110219.SH,600219.SH,4.12,20091019,20041103,南山转债,100.0
110874.SH,600874.SH,3.82,20090701,20040719,创业转债,100.0
110325.SH,600325.SH,7.68,20110727,20060811,华发转债,100.0
110423.SH,600423.SH,9.86,20110728,20060810,柳化转债,100.0
110398.SH,600398.SH,4.96,20110815,20060830,凯诺转债,100.0
125024.SZ,000024.SZ,13.09,20110830,20060911,招商转债,100.0
