ts_code,trade_date,close,pct_chg
300663.SZ,20260213,17.06,-0.2922
300663.SZ,20260212,17.11,-1.0983
300663.SZ,20260211,17.3,-0.9731
300663.SZ,20260210,17.47,0.8078
300663.SZ,20260209,17.33,1.345
300663.SZ,20260206,17.1,0.0585
300663.SZ,20260205,17.09,-0.0585
300663.SZ,20260204,17.1,0.0585
300663.SZ,20260203,17.09,1.6052
300663.SZ,20260202,16.82,-1.867
300663.SZ,20260130,17.14,-3.3277
300663.SZ,20260129,17.73,-0.7279
300663.SZ,20260128,17.86,-1.4892
300663.SZ,20260127,18.13,-0.5485
300663.SZ,20260126,18.23,-2.5134
300663.SZ,20260123,18.7,1.5201
300663.SZ,20260122,18.42,0.9315
300663.SZ,20260121,18.25,0.9403
300663.SZ,20260120,18.08,-2.6387
300663.SZ,20260119,18.57,-1.3808
300663.SZ,20260116,18.83,-2.6873
300663.SZ,20260115,19.35,-3.5394
300663.SZ,20260114,20.06,3.6157
300663.SZ,20260113,19.36,-3.6336
300663.SZ,20260112,20.09,5.5147
300663.SZ,20260109,19.04,1.6551
300663.SZ,20260108,18.73,1.0248
300663.SZ,20260107,18.54,0.6515
300663.SZ,20260106,18.42,5.3776
300663.SZ,20260105,17.48,-0.907
300663.SZ,20251231,17.64,1.9653
300663.SZ,20251230,17.3,0.1737
300663.SZ,20251229,17.27,0.9942
300663.SZ,20251226,17.1,-0.8121
300663.SZ,20251225,17.24,0.7598
300663.SZ,20251224,17.11,0.1756
300663.SZ,20251223,17.08,-3.2295
300663.SZ,20251222,17.65,5.7519
300663.SZ,20251219,16.69,-0.5364
300663.SZ,20251218,16.78,-1.3521
300663.SZ,20251217,17.01,-0.7005
300663.SZ,20251216,17.13,0.1754
300663.SZ,20251215,17.1,-1.2702
300663.SZ,20251212,17.32,1.4646
300663.SZ,20251211,17.07,-1.5003
300663.SZ,20251210,17.33,1.4043
300663.SZ,20251209,17.09,-2.3986
300663.SZ,20251208,17.51,0.748
300663.SZ,20251205,17.38,2.9621
300663.SZ,20251204,16.88,-1.689
300663.SZ,20251203,17.17,-3.3765
300663.SZ,20251202,17.77,-1.6058
300663.SZ,20251201,18.06,-0.1106
300663.SZ,20251128,18.08,0.7242
300663.SZ,20251127,17.95,-0.7739
300663.SZ,20251126,18.09,-2.5848
300663.SZ,20251125,18.57,0.8691
000411.SZ,20260213,12.1,-0.4115
000411.SZ,20260212,12.15,0.0824
000411.SZ,20260211,12.14,-1.9386
000411.SZ,20260210,12.38,-0.8013
000411.SZ,20260209,12.48,1.7115
000411.SZ,20260206,12.27,0.1633
000411.SZ,20260205,12.25,-0.89
000411.SZ,20260204,12.36,0.898
000411.SZ,20260203,12.25,2.2538
000411.SZ,20260202,11.98,-4.0833
000411.SZ,20260130,12.49,-2.5741
000411.SZ,20260129,12.82,-0.0779
000411.SZ,20260128,12.83,0.0
000411.SZ,20260127,12.83,-1.7611
000411.SZ,20260126,13.06,-3.1157
000411.SZ,20260123,13.48,-1.0279
000411.SZ,20260122,13.62,-0.7289
000411.SZ,20260121,13.72,-0.8671
000411.SZ,20260120,13.84,-2.3977
000411.SZ,20260119,14.18,3.0523
000411.SZ,20260116,13.76,2.3048
000411.SZ,20260115,13.45,-2.3948
000411.SZ,20260114,13.78,5.513
000411.SZ,20260113,13.06,1.9516
000411.SZ,20260112,12.81,-1.0811
000411.SZ,20260109,12.95,-0.3846
000411.SZ,20260108,13.0,1.8011
000411.SZ,20260107,12.77,-1.161
000411.SZ,20260106,12.92,0.3885
000411.SZ,20260105,12.87,0.9412
000411.SZ,20251231,12.75,-3.6281
000411.SZ,20251230,13.23,9.9751
000411.SZ,20251229,12.03,-6.4541
000411.SZ,20251226,12.86,3.7934
000411.SZ,20251225,12.39,0.0
000411.SZ,20251224,12.39,-0.4019
000411.SZ,20251223,12.44,-1.9701
000411.SZ,20251222,12.69,-2.9074
000411.SZ,20251219,13.07,-0.8346
000411.SZ,20251218,13.18,10.0167
000411.SZ,20251217,11.98,2.1313
000411.SZ,20251216,11.73,-0.5089
000411.SZ,20251215,11.79,2.611
000411.SZ,20251212,11.49,-1.9625
000411.SZ,20251211,11.72,-2.9801
000411.SZ,20251210,12.08,-1.2265
000411.SZ,20251209,12.23,-3.0135
000411.SZ,20251208,12.61,0.3182
000411.SZ,20251205,12.57,-0.8675
000411.SZ,20251204,12.68,-1.9335
000411.SZ,20251203,12.93,5.8101
000411.SZ,20251202,12.22,1.5794
000411.SZ,20251201,12.03,-0.0831
000411.SZ,20251128,12.04,0.922
000411.SZ,20251127,11.93,-3.479
000411.SZ,20251126,12.36,9.9644
000411.SZ,20251125,11.24,1.5357
603306.SH,20260213,77.96,3.8221
603306.SH,20260212,75.09,-0.1064
603306.SH,20260211,75.17,-2.7555
603306.SH,20260210,77.3,-0.502
603306.SH,20260209,77.69,0.3747
603306.SH,20260206,77.4,-1.814
603306.SH,20260205,78.83,-3.3946
603306.SH,20260204,81.6,2.6028
603306.SH,20260203,79.53,9.2295
603306.SH,20260202,72.81,-6.4019
603306.SH,20260130,77.79,6.5616
603306.SH,20260129,73.0,-3.9474
603306.SH,20260128,76.0,-0.9126
603306.SH,20260127,76.7,3.6346
603306.SH,20260126,74.01,2.2661
603306.SH,20260123,72.37,-0.5633
