symbol,sector,close,chg_20d,trend_dir,ma_alignment,vol_20d,vol_pctile_60d,squeeze,volume_ratio,donchian_20,donchian_60,dc20_position,oi_chg_5d,oi_chg_20d,oi_confirm,r2,avg_daily_amt,signal_count,drivers,industry_drivers,trend_score
FU,能源化工,4386.0,63.72,多头,1.0,0.7292,0.9833,False,1.8058,,,0.9133,-18.0,119.25,多头衰竭,0.7579,5096325.55,2,趋势多头|放量,炼厂检修·船燃需求·裂解价差,0.9589
LU,能源化工,4908.0,56.91,多头,1.0,0.634,0.9833,False,1.591,,,0.9349,-30.36,-27.34,多头衰竭,0.7862,738728.56,2,趋势多头|放量,,0.9115
SC,能源化工,666.3,48.4,多头,0.8,0.9556,1.0,False,1.6852,,,0.6732,-28.38,-13.2,多头衰竭,0.732,9932424.26,2,趋势多头|放量,OPEC+产量·地缘政治·全球需求,0.8178
PG,能源化工,5272.0,26.88,多头,0.8,0.5509,1.0,False,1.8096,,,0.7645,-35.75,-16.87,多头衰竭,0.8442,1820149.0,3,趋势多头|放量|高线性度,,0.7762
EB,能源化工,9915.0,33.3,多头,1.0,0.4254,0.9833,False,1.4432,突破高点,突破高点,1.1472,-25.7,-14.22,多头衰竭,0.5649,3264902.71,4,趋势多头|20日突破高点|60日突破高点|放量,,0.7713
PX,能源化工,8902.0,24.5,多头,1.0,0.3171,0.9833,False,1.1072,,,0.9329,-16.87,-17.5,多头衰竭,0.7557,1458176.69,1,趋势多头,,0.7177
TA,能源化工,6200.0,21.76,多头,1.0,0.3094,0.9333,False,1.1521,,,0.9052,-15.06,-16.83,多头衰竭,0.7509,4179115.93,1,趋势多头,聚酯需求·PX成本·加工费,0.7016
PP,能源化工,7820.0,16.47,多头,1.0,0.3582,1.0,False,1.3883,,,0.8554,-27.67,-28.62,多头衰竭,0.6429,2248797.26,2,趋势多头|放量,石化投产·塑编需求·PDH利润,0.6988
A,农产品,4749.0,8.1,多头,1.0,0.1933,1.0,False,1.5051,,,0.6608,-24.06,-1.61,多头衰竭,0.797,1060388.05,2,趋势多头|放量,,0.6859
PF,能源化工,7770.0,19.83,多头,1.0,0.2733,0.9833,False,0.9314,,,0.9319,-53.02,-57.17,多头衰竭,0.7637,536865.48,1,趋势多头,,0.6781
L,能源化工,7767.0,12.93,多头,1.0,0.3452,1.0,False,1.2333,,,0.8728,-28.27,-36.87,多头衰竭,0.5492,2266657.3,2,趋势多头|放量,石化检修·农膜需求·进口到港,0.6519
JD,农产品,3412.0,14.69,多头,1.0,0.3989,0.95,False,0.836,,,0.8323,47.11,-10.64,多头确认,0.8144,445919.73,3,趋势多头|多头确认|高线性度,,0.6389
EG,能源化工,4305.0,14.28,多头,0.8,0.4156,1.0,False,1.4301,,,0.6877,-24.94,-16.31,多头衰竭,0.5987,2175698.31,2,趋势多头|放量,聚酯开工·煤化工投产·库存周期,0.6317
BR,能源化工,14935.0,15.78,多头,1.0,0.5095,1.0,False,1.0853,,,0.7297,-30.33,-37.68,多头衰竭,0.5145,1475380.45,1,趋势多头,,0.6244
CS,农产品,2706.0,7.68,多头,1.0,0.1087,0.6833,False,1.0763,,,0.7665,6.79,73.28,多头确认,0.9174,280212.05,3,趋势多头|多头确认|高线性度,,0.6118
M,农产品,2973.0,8.11,多头,1.0,0.1548,0.6833,False,1.1244,,,0.7289,-2.9,-9.65,,0.8448,2963823.78,2,趋势多头|高线性度,美豆种植/天气·生猪存栏·压榨利润,0.6043
MA,能源化工,2549.0,13.19,多头,0.8,0.6912,1.0,False,1.3396,,,0.5284,-43.16,-34.12,多头衰竭,0.5778,4158980.83,2,趋势多头|放量,煤制甲醇成本·MTO开工·进口到港,0.5966
UR,能源化工,1856.0,3.86,多头,1.0,0.2211,1.0,False,1.3464,,,0.4674,-19.42,-10.77,多头衰竭,0.565,787051.76,2,趋势多头|放量,农业需求季节性·出口政策·煤头成本,0.5927
