date,limit_date,all_count,all_valid,all_return,all_gap,all_nav,all_bias,first_count,first_valid,first_return,first_gap,first_nav,first_bias
20250821,20250820,86,86,-1.2584,1.9536,0.987416,0.0,70,70,-1.2471,1.8689,0.987529,0.0
20250822,20250821,43,43,2.2798,1.6974,1.009927,1.13,34,34,1.1533,0.9421,0.998919,0.57
20250825,20250822,69,69,3.6894,4.5654,1.047187,3.19,58,58,3.9666,4.6207,1.038541,3.0
20250826,20250825,77,77,2.2626,1.698,1.070881,4.08,65,65,1.7688,1.5348,1.056911,3.57
20250827,20250826,71,71,0.2053,1.839,1.073079,3.41,57,57,0.0375,1.1041,1.057307,2.87
20250828,20250827,41,41,3.9897,2.1561,1.115892,6.2,29,29,3.2997,0.8187,1.092195,5.16
20250829,20250828,58,58,2.5223,3.759,1.144038,7.52,45,45,1.8618,3.6025,1.112529,6.04
20250901,20250829,64,64,4.2052,2.5955,1.192146,10.38,55,55,4.0834,2.3381,1.157959,8.96
20250902,20250901,104,104,0.0723,2.0826,1.193008,9.19,90,90,0.1048,1.7435,1.159173,7.99
20250903,20250902,44,44,1.0689,3.5993,1.205761,9.22,31,31,0.2176,3.0205,1.161695,7.34
20250904,20250903,34,33,1.8167,2.7763,1.227666,10.09,25,25,0.8772,2.7622,1.171886,7.47
20250905,20250904,41,41,3.1685,1.8955,1.266564,12.3,34,34,2.8999,1.5516,1.205869,9.62
20250908,20250905,96,96,2.5546,3.4668,1.29892,13.84,89,89,2.5536,3.1766,1.236662,11.36
20250909,20250908,69,69,1.259,1.457,1.315274,14.03,58,58,0.8513,1.1555,1.24719,11.33
20250910,20250909,49,49,2.2743,0.2819,1.345187,15.35,41,41,2.3235,0.1246,1.276169,12.87
20250911,20250910,47,46,3.1235,2.4569,1.387204,17.56,37,37,2.4071,2.497,1.306888,14.47
20250912,20250911,87,87,2.9771,1.8181,1.428502,19.58,76,76,2.464,1.2698,1.33909,16.11
20250915,20250912,66,65,1.1847,2.08,1.445425,19.6,48,48,1.5083,1.8708,1.359288,16.7
20250916,20250915,67,67,2.4062,1.8647,1.480205,21.04,57,57,1.5443,1.2504,1.38028,17.36
20250917,20250916,70,70,2.8944,2.6787,1.523048,23.04,56,56,2.536,2.4384,1.415283,19.12
20250918,20250917,69,69,3.2,2.8649,1.571786,24.05,54,54,2.0235,2.0027,1.443922,19.24
20250919,20250918,55,55,-1.5542,3.3329,1.547357,19.58,37,37,-0.2731,2.9762,1.439978,16.79
20250922,20250919,50,50,1.1442,2.4177,1.565061,18.58,39,39,1.1745,1.6251,1.456891,16.19
20250923,20250922,65,65,2.9161,3.1155,1.6107,19.59,54,54,2.5966,2.8948,1.494721,17.16
20250924,20250923,50,49,2.5828,1.8598,1.652301,20.1,32,32,2.7645,1.1706,1.536042,18.19
20250925,20250924,78,78,0.3902,1.788,1.658748,18.23,66,66,0.156,1.6158,1.538439,16.37
20250926,20250925,41,40,-0.5916,1.2705,1.648935,15.46,31,31,-0.1197,1.6008,1.536597,14.4
20250929,20250926,47,47,0.7601,1.303,1.661469,14.45,38,38,0.1072,0.5695,1.538245,12.92
20250930,20250929,53,53,2.3707,2.2566,1.700858,15.15,45,45,2.261,1.9887,1.573025,13.75
20251009,20250930,52,51,1.3581,2.8168,1.723957,14.7,42,41,1.4443,2.6655,1.595744,13.61
20251010,20251009,88,88,1.2117,1.9402,1.744845,14.13,79,79,1.1813,2.0531,1.614594,13.17
20251013,20251010,56,56,1.8933,-1.6741,1.77788,14.38,46,46,1.8476,-2.146,1.644426,13.51
20251014,20251013,59,59,2.536,4.661,1.822967,15.33,47,47,1.4413,3.87,1.668127,13.46
20251015,20251014,37,37,0.4669,2.8856,1.831479,14.01,26,26,2.1406,2.8967,1.703836,14.12
20251016,20251015,65,65,1.3878,2.3955,1.856897,13.78,58,58,0.9384,2.2162,1.719824,13.5
20251017,20251016,40,40,1.5198,1.7088,1.885118,13.78,28,28,1.643,1.3259,1.74808,13.71
20251020,20251017,37,36,2.8293,1.4281,1.938454,15.22,27,26,2.056,1.2234,1.78402,14.39
20251021,20251020,76,76,1.7592,1.4361,1.972556,15.44,66,66,1.9021,1.4995,1.817953,14.88
20251022,20251021,78,78,2.2519,2.4761,2.016976,16.21,66,66,1.3416,1.7353,1.842344,14.74
20251023,20251022,56,56,-1.0933,1.0844,1.994925,13.4,35,35,-1.3103,0.4503,1.818203,11.84
20251024,20251023,58,58,-1.6096,1.0301,1.962814,10.35,49,49,-1.9856,1.0057,1.782101,8.49
20251027,20251024,57,56,2.7136,2.9768,2.016078,11.87,47,46,2.207,2.7366,1.821433,9.61
20251028,20251027,50,50,3.796,2.4349,2.092608,14.44,38,38,3.7145,1.6772,1.88909,12.22
