date,up_count,up_seal_total,down_count,down_seal_total,seal_spread,seal_ratio,spread_ma5,spread_ma20,spread_pct_1y,signal
20240102,52,36.36,2,0.66,35.69,0.9821,,,,
20240103,36,22.03,7,5.58,16.45,0.7979,,,,
20240104,39,24.56,8,5.84,18.72,0.808,,,,
20240105,24,17.22,7,1.87,15.36,0.9023,,,,
20240108,33,21.13,11,7.79,13.34,0.7306,19.91,,,
20240109,44,31.02,6,7.47,23.55,0.8059,17.48,,,
20240110,38,22.58,11,2.19,20.39,0.9115,18.27,,,
20240111,56,39.95,0,0.0,39.95,1.0,22.52,,,
20240112,26,23.37,4,0.92,22.45,0.9621,23.93,,,
20240115,36,23.47,4,2.2,21.27,0.9144,25.52,,,
20240116,32,16.85,3,0.32,16.53,0.9811,24.12,,,
20240117,33,20.55,8,11.66,8.89,0.638,21.82,,,
20240118,38,32.01,8,5.64,26.37,0.8503,19.1,,,
20240119,40,20.05,23,5.19,14.86,0.7943,17.58,,,
20240122,17,11.46,70,15.46,-3.99,0.4258,12.53,,,
20240123,44,31.57,26,4.69,26.88,0.8707,14.6,,,
20240124,74,48.32,3,0.34,47.99,0.9931,22.42,,,
20240125,106,69.97,3,0.42,69.55,0.994,31.06,,,
20240126,61,62.98,7,10.47,52.51,0.8575,38.59,,,
20240129,28,32.27,52,25.08,7.19,0.5627,40.82,24.7,0.1,🔵 偏空
20240130,23,14.09,63,33.88,-19.8,0.2936,31.49,21.92,0.0476,🟢 极度恐慌
20240131,28,16.43,128,54.79,-38.36,0.2307,14.22,19.18,0.0455,🟢 极度恐慌
20240201,30,18.23,47,29.03,-10.8,0.3858,-1.85,17.71,0.1304,🔵 偏空
20240202,27,15.02,46,29.61,-14.59,0.3366,-15.27,16.21,0.125,🔵 偏空
20240205,20,7.41,1000,22.7,-15.29,0.2461,-19.77,14.78,0.12,🔵 偏空
20240206,144,30.07,85,7.47,22.61,0.8011,-11.29,14.73,0.6923,⚪ 均衡
20240207,96,27.28,242,15.36,11.92,0.6398,-1.23,14.31,0.3333,⚪ 均衡
20240208,505,48.72,2,0.45,48.27,0.9907,10.58,14.72,0.9286,🟡 偏多
20240219,239,98.5,0,0.0,98.5,1.0,33.2,18.53,1.0,🔴 极度亢奋
20240220,105,66.72,0,0.0,66.72,1.0,49.6,20.8,0.9333,🟡 偏多
20240221,132,51.97,0,0.0,51.97,1.0,55.48,22.57,0.871,🟡 偏多
20240222,78,46.07,0,0.0,46.07,1.0,62.31,24.43,0.7812,⚪ 均衡
20240223,114,65.45,0,0.0,65.45,1.0,65.74,26.38,0.9091,🟡 偏多
20240226,107,64.18,0,0.0,64.18,1.0,58.88,28.85,0.8824,🟡 偏多
20240227,100,66.95,1,1.43,65.52,0.9791,58.64,32.32,0.9143,🟡 偏多
20240228,32,19.3,272,17.52,1.78,0.5241,48.6,31.07,0.1944,🔵 偏空
20240229,107,53.52,1,1.74,51.78,0.9686,49.74,31.26,0.7838,⚪ 均衡
20240301,71,53.9,3,1.86,52.04,0.9667,47.06,30.38,0.8158,🟡 偏多
20240304,73,42.83,4,5.9,36.93,0.879,41.61,29.6,0.641,⚪ 均衡
20240305,48,32.52,2,0.23,32.29,0.993,34.97,30.86,0.6,⚪ 均衡
20240306,85,46.4,0,0.0,46.4,1.0,43.89,34.17,0.7073,⚪ 均衡
20240307,66,30.86,3,7.04,23.82,0.8142,38.3,37.28,0.5238,⚪ 均衡
20240308,63,40.34,2,0.66,39.68,0.984,35.83,39.8,0.6512,⚪ 均衡
20240311,85,58.85,0,0.0,58.85,1.0,40.21,43.47,0.8636,🟡 偏多
20240312,75,44.37,0,0.0,44.37,1.0,42.62,46.46,0.6667,⚪ 均衡
20240313,57,31.72,0,0.0,31.72,1.0,39.69,46.91,0.5435,⚪ 均衡
20240314,41,18.09,2,1.2,16.89,0.9377,38.3,47.16,0.3404,⚪ 均衡
20240315,74,37.14,1,2.32,34.82,0.9412,37.33,46.49,0.5833,⚪ 均衡
20240318,86,47.68,1,3.93,43.74,0.9238,34.31,43.75,0.6735,⚪ 均衡
20240319,65,31.37,0,0.0,31.37,1.0,31.71,41.98,0.52,⚪ 均衡
20240320,81,46.22,0,0.0,46.22,1.0,34.61,41.7,0.7255,⚪ 均衡
20240321,71,39.91,2,0.43,39.48,0.9892,39.13,41.37,0.6154,⚪ 均衡
20240322,59,37.72,10,6.18,31.54,0.8592,38.47,39.67,0.5094,⚪ 均衡
20240325,42,20.5,27,13.17,7.33,0.6088,31.19,36.83,0.1667,🔵 偏空
20240326,61,29.31,11,11.37,17.94,0.7204,28.5,34.45,0.3273,⚪ 均衡
20240327,44,23.05,37,23.27,-0.22,0.4976,19.21,34.35,0.125,🔵 偏空
20240328,77,45.68,2,0.58,45.1,0.9874,20.34,34.02,0.7193,⚪ 均衡
20240329,66,40.59,5,1.01,39.58,0.9758,21.94,33.39,0.6379,⚪ 均衡
20240401,79,46.73,6,6.94,39.79,0.8706,28.44,33.53,0.661,⚪ 均衡
20240402,61,31.05,6,9.53,21.52,0.7651,29.15,33.0,0.3833,⚪ 均衡
20240403,47,24.38,9,11.95,12.43,0.6711,31.68,31.3,0.2131,⚪ 均衡
20240408,55,30.72,29,27.73,2.99,0.5256,23.26,30.26,0.1452,🔵 偏空
20240409,61,29.2,10,16.62,12.58,0.6373,17.86,28.9,0.2381,⚪ 均衡
20240410,30,14.99,16,5.03,9.97,0.7489,11.9,26.46,0.2031,⚪ 均衡
20240411,48,27.58,11,6.64,20.94,0.8059,11.78,25.29,0.4,⚪ 均衡
20240412,59,29.98,0,0.0,29.98,1.0,15.29,25.2,0.5303,⚪ 均衡
20240415,25,10.29,242,54.16,-43.87,0.1597,5.92,22.16,0.0149,🟢 极度恐慌
20240416,19,11.36,663,104.43,-93.06,0.0981,-15.21,15.77,0.0147,🟢 极度恐慌
20240417,237,60.3,0,0.0,60.3,1.0,-5.14,16.59,0.913,🟡 偏多
