date,industry,up_count,down_count,ud_ratio,amount_yi,avg_pct_chg,big_cap_up,mega_cap_up
20250826,交通运输,95,74,1.28,655.66,0.18,2,2
20250826,传媒,127,59,2.15,1198.04,0.82,2,2
20250826,公用事业,79,48,1.65,382.46,0.17,0,0
20250826,农林牧渔,72,21,3.43,314.84,1.33,1,0
20250826,医药生物,162,326,0.5,1707.42,-0.68,0,0
20250826,商贸零售,58,22,2.64,280.97,0.85,0,0
20250826,国防军工,1,10,0.1,94.24,-1.76,0,0
20250826,基础化工,274,184,1.49,1342.03,0.46,4,0
20250826,家用电器,56,33,1.7,433.17,0.32,0,0
20250826,建筑材料,56,53,1.06,539.42,-0.2,0,0
20250826,建筑装饰,87,61,1.43,369.16,0.63,0,0
20250826,房地产,31,59,0.53,350.32,-0.06,2,1
20250826,有色金属,65,69,0.94,1289.22,-0.13,0,0
20250826,机械设备,274,276,0.99,2048.44,0.14,3,0
20250826,汽车,166,120,1.38,1339.37,0.42,4,0
20250826,煤炭,9,24,0.38,86.6,0.13,0,0
20250826,环保,97,24,4.04,228.21,0.97,0,0
20250826,电力设备,222,212,1.05,2058.56,0.15,2,0
20250826,电子,235,241,0.98,4495.67,0.04,4,2
20250826,石油石化,26,11,2.36,116.76,0.76,0,0
20250826,社会服务,48,36,1.33,297.9,0.8,0,0
20250826,纺织服饰,71,31,2.29,175.09,0.7,0,0
20250826,综合,13,6,2.17,56.93,0.62,0,0
20250826,美容护理,14,6,2.33,62.15,2.57,0,0
20250826,计算机,212,144,1.47,3275.49,0.8,5,1
20250826,轻工制造,60,42,1.43,144.97,0.32,0,0
20250826,通信,62,77,0.81,1638.2,-0.08,4,1
20250826,钢铁,30,26,1.15,252.55,0.33,0,0
20250826,银行,2,38,0.05,307.49,-0.85,0,0
20250826,非银金融,9,65,0.14,933.39,-0.89,0,0
20250826,食品饮料,88,71,1.24,616.65,0.36,0,0
20250827,交通运输,8,173,0.05,721.03,-2.34,0,0
20250827,传媒,21,175,0.12,1398.4,-2.39,1,0
20250827,公用事业,14,127,0.11,506.36,-1.55,2,0
20250827,农林牧渔,10,86,0.12,282.78,-1.92,2,0
20250827,医药生物,37,467,0.08,1995.47,-2.98,0,0
20250827,商贸零售,10,71,0.14,296.33,-1.89,1,0
20250827,国防军工,0,11,0.0,106.67,-3.82,0,0
20250827,基础化工,30,438,0.07,1449.92,-2.88,2,0
20250827,家用电器,14,77,0.18,486.1,-1.88,1,0
20250827,建筑材料,14,95,0.15,599.19,-2.27,0,0
20250827,建筑装饰,13,139,0.09,436.58,-2.9,0,0
20250827,房地产,5,92,0.05,344.8,-3.33,1,0
20250827,有色金属,15,119,0.13,1435.77,-2.48,0,0
20250827,机械设备,64,496,0.13,2363.75,-2.64,0,0
20250827,汽车,40,250,0.16,1558.05,-2.24,0,0
20250827,煤炭,1,32,0.03,106.98,-2.85,0,0
20250827,环保,15,106,0.14,258.29,-2.54,0,0
20250827,电力设备,53,386,0.14,2457.01,-2.31,1,1
20250827,电子,109,370,0.29,5656.93,-1.34,2,1
20250827,石油石化,1,38,0.03,136.67,-3.04,0,0
20250827,社会服务,6,80,0.07,295.92,-2.51,0,0
20250827,纺织服饰,3,104,0.03,194.55,-3.39,0,0
20250827,综合,0,18,0.0,49.87,-2.74,0,0
20250827,美容护理,2,18,0.11,74.75,-3.03,0,0
20250827,计算机,70,289,0.24,3954.71,-1.96,3,1
20250827,轻工制造,11,91,0.12,168.82,-2.63,0,0
20250827,通信,35,105,0.33,2071.25,-1.35,1,0
20250827,钢铁,5,53,0.09,260.38,-2.78,0,0
20250827,银行,1,41,0.02,405.22,-1.86,0,0
20250827,非银金融,6,72,0.08,1274.73,-2.43,0,0
20250827,食品饮料,17,143,0.12,619.22,-2.01,0,0
20250828,交通运输,104,69,1.51,681.17,0.57,0,0
20250828,传媒,96,94,1.02,1133.34,0.2,1,0
20250828,公用事业,50,87,0.57,446.68,-0.08,1,0
20250828,农林牧渔,23,71,0.32,279.57,-0.72,1,0
20250828,医药生物,134,364,0.37,1852.02,-0.51,0,0
20250828,商贸零售,44,38,1.16,276.85,0.26,0,0
20250828,国防军工,9,2,4.5,96.37,1.61,0,0
20250828,基础化工,248,207,1.2,1363.36,0.39,2,0
20250828,家用电器,48,39,1.23,433.35,0.22,0,0
20250828,建筑材料,66,41,1.61,591.49,1.46,2,1
20250828,建筑装饰,61,86,0.71,375.46,-0.11,0,0
20250828,房地产,47,40,1.18,268.71,0.12,2,1
20250828,有色金属,86,45,1.91,1335.24,1.01,2,1
20250828,机械设备,295,258,1.14,2283.43,0.96,2,1
20250828,汽车,133,151,0.88,1393.32,0.28,2,0
20250828,煤炭,9,18,0.5,109.83,0.03,0,0
20250828,环保,46,70,0.66,233.08,-0.35,1,0
20250828,电力设备,249,182,1.37,2259.79,0.68,2,1
20250828,电子,430,46,9.35,5697.14,3.34,9,4
20250828,石油石化,17,20,0.85,113.6,-0.51,0,0
20250828,社会服务,54,31,1.74,280.0,0.58,0,0
20250828,纺织服饰,34,70,0.49,177.2,-0.45,0,0
20250828,综合,7,9,0.78,47.98,-0.34,0,0
20250828,美容护理,8,12,0.67,60.47,0.05,0,0
20250828,计算机,234,121,1.93,3534.32,1.1,2,1
20250828,轻工制造,47,52,0.9,157.71,0.26,0,0
20250828,通信,119,21,5.67,2296.29,3.1,4,2
20250828,钢铁,30,23,1.3,209.44,0.04,0,0
20250828,银行,26,11,2.36,375.09,0.39,0,0
20250828,非银金融,72,6,12.0,1093.38,1.67,1,1
20250828,食品饮料,41,115,0.36,546.86,-0.42,0,0
20250829,交通运输,74,103,0.72,779.42,-0.03,1,0
20250829,传媒,58,137,0.42,947.62,-0.65,1,0
20250829,公用事业,30,96,0.31,403.42,-0.35,2,0
20250829,农林牧渔,36,54,0.67,217.2,-0.18,0,0
20250829,医药生物,239,257,0.93,1708.26,0.52,1,1
20250829,商贸零售,31,50,0.62,260.65,0.05,1,0
20250829,国防军工,7,4,1.75,101.84,0.94,0,0
20250829,基础化工,211,252,0.84,1307.24,0.21,1,1
20250829,家用电器,27,64,0.42,492.94,-0.98,0,0
20250829,建筑材料,34,75,0.45,585.69,-0.7,2,1
20250829,建筑装饰,43,107,0.4,375.19,-0.68,0,0
20250829,房地产,28,64,0.44,332.32,-0.5,0,0
20250829,有色金属,96,37,2.59,1504.53,1.62,3,1
20250829,机械设备,206,350,0.59,2110.21,-0.08,3,3
20250829,汽车,131,156,0.84,1429.46,0.11,2,0
20250829,煤炭,6,22,0.27,91.84,-0.35,0,0
20250829,环保,26,93,0.28,180.17,-0.92,0,0
20250829,电力设备,183,250,0.73,2365.16,0.36,4,1
20250829,电子,102,375,0.27,4786.03,-1.36,3,2
20250829,石油石化,9,29,0.31,119.81,-0.44,0,0
20250829,社会服务,40,44,0.91,257.95,-0.04,0,0
20250829,纺织服饰,31,73,0.42,144.43,-0.33,1,0
20250829,综合,7,12,0.58,57.75,0.81,2,1
20250829,美容护理,12,8,1.5,48.71,1.94,0,0
20250829,计算机,81,277,0.29,2922.87,-1.29,0,0
20250829,轻工制造,40,56,0.71,129.84,-0.2,0,0
20250829,通信,44,95,0.46,1984.19,-0.84,2,2
20250829,钢铁,26,30,0.87,195.15,0.03,0,0
20250829,银行,14,27,0.52,512.68,-0.21,1,0
20250829,非银金融,23,54,0.43,1277.98,-0.42,0,0
20250829,食品饮料,102,54,1.89,666.3,1.08,1,0
20250901,交通运输,69,106,0.65,709.62,0.01,0,0
20250901,传媒,132,62,2.13,970.68,1.42,6,1
20250901,公用事业,72,63,1.14,380.14,0.58,1,1
20250901,农林牧渔,55,38,1.45,211.89,0.41,0,0
20250901,医药生物,394,108,3.65,1957.47,1.93,6,3
20250901,商贸零售,55,24,2.29,281.61,1.27,0,0
20250901,国防军工,7,4,1.75,117.48,0.48,0,0
20250901,基础化工,302,160,1.89,1303.49,1.06,0,0
20250901,家用电器,38,49,0.78,437.82,-0.0,0,0
20250901,建筑材料,60,48,1.25,508.19,0.42,1,0
20250901,建筑装饰,93,56,1.66,346.65,1.05,2,0
20250901,房地产,56,36,1.56,280.99,0.67,1,0
20250901,有色金属,101,32,3.16,1666.18,2.91,9,3
20250901,机械设备,329,225,1.46,2069.75,0.86,3,1
20250901,汽车,134,151,0.89,1302.13,0.19,2,0
20250901,煤炭,20,12,1.67,90.67,0.79,0,0
20250901,环保,81,35,2.31,203.31,1.36,2,0
20250901,电力设备,252,177,1.42,2179.99,0.77,3,2
20250901,电子,311,165,1.88,4773.19,1.5,8,3
20250901,石油石化,22,16,1.38,113.81,0.96,0,0
20250901,社会服务,66,19,3.47,266.53,1.17,0,0
20250901,纺织服饰,68,34,2.0,173.23,0.97,0,0
20250901,综合,14,4,3.5,78.12,1.53,0,0
20250901,美容护理,11,9,1.22,44.29,0.9,0,0
20250901,计算机,176,177,0.99,2847.03,0.5,3,0
20250901,轻工制造,61,39,1.56,136.07,0.76,0,0
20250901,通信,80,58,1.38,2100.12,1.34,1,0
20250901,钢铁,32,20,1.6,187.04,0.43,0,0
20250901,银行,10,30,0.33,495.03,-0.75,0,0
20250901,非银金融,15,61,0.25,967.81,-0.72,0,0
20250901,食品饮料,90,66,1.36,573.23,0.54,1,1
20250902,交通运输,42,135,0.31,594.83,-1.07,0,0
20250902,传媒,28,169,0.17,1102.16,-2.15,0,0
20250902,公用事业,61,75,0.81,400.14,0.03,1,1
20250902,农林牧渔,25,70,0.36,209.78,-0.62,0,0
20250902,医药生物,81,416,0.19,1929.52,-1.47,1,1
20250902,商贸零售,25,53,0.47,301.26,-0.68,1,1
20250902,国防军工,0,11,0.0,86.61,-3.06,0,0
20250902,基础化工,96,365,0.26,1365.38,-1.42,1,0
20250902,家用电器,26,62,0.42,466.33,-0.47,0,0
20250902,建筑材料,16,88,0.18,460.05,-1.92,0,0
20250902,建筑装饰,35,112,0.31,337.15,-0.9,0,0
20250902,房地产,27,68,0.4,300.3,-0.7,0,0
20250902,有色金属,36,96,0.38,1646.36,-1.0,2,1
20250902,机械设备,193,361,0.53,2537.13,-0.56,2,0
20250902,汽车,123,162,0.76,1485.97,0.48,5,2
20250902,煤炭,10,21,0.48,77.21,-0.34,0,0
20250902,环保,29,89,0.33,240.17,-0.88,0,0
20250902,电力设备,106,329,0.32,2455.48,-1.35,2,0
20250902,电子,36,444,0.08,4876.21,-4.15,0,0
20250902,石油石化,13,25,0.52,154.62,-0.21,0,0
20250902,社会服务,19,65,0.29,256.54,-1.2,0,0
20250902,纺织服饰,42,63,0.67,184.62,0.1,0,0
20250902,综合,9,9,1.0,78.17,0.45,0,0
20250902,美容护理,6,14,0.43,46.17,-0.55,0,0
20250902,计算机,31,327,0.09,2868.23,-3.53,0,0
20250902,轻工制造,33,64,0.52,139.67,-0.72,0,0
20250902,通信,9,131,0.07,2260.36,-4.57,0,0
20250902,钢铁,14,39,0.36,166.35,-0.7,0,0
20250902,银行,41,1,41.0,494.18,1.69,0,0
20250902,非银金融,10,68,0.15,1045.84,-1.51,0,0
20250902,食品饮料,36,121,0.3,553.65,-0.78,0,0
20250903,交通运输,11,167,0.07,588.62,-3.03,0,0
20250903,传媒,37,160,0.23,931.08,-1.24,2,0
20250903,公用事业,10,132,0.08,388.36,-1.81,0,0
20250903,农林牧渔,2,92,0.02,173.54,-2.66,0,0
20250903,医药生物,108,394,0.27,1606.61,-0.83,2,1
20250903,商贸零售,10,73,0.14,249.53,-2.15,0,0
20250903,国防军工,0,11,0.0,97.91,-6.27,0,0
20250903,基础化工,68,402,0.17,1097.9,-1.8,0,0
20250903,家用电器,13,78,0.17,353.24,-1.64,0,0
20250903,建筑材料,11,99,0.11,323.45,-2.32,0,0
20250903,建筑装饰,23,128,0.18,270.34,-1.63,0,0
20250903,房地产,12,81,0.15,270.18,-1.49,0,0
20250903,有色金属,19,116,0.16,1388.31,-2.11,1,0
20250903,机械设备,96,462,0.21,2069.56,-2.17,2,0
20250903,汽车,46,243,0.19,1307.33,-2.3,0,0
20250903,煤炭,1,32,0.03,64.12,-1.84,0,0
20250903,环保,13,108,0.12,201.01,-1.79,0,0
20250903,电力设备,115,324,0.35,2436.5,-1.11,2,0
20250903,电子,98,382,0.26,3610.65,-1.48,0,0
20250903,石油石化,3,35,0.09,102.82,-2.25,0,0
20250903,社会服务,13,73,0.18,229.25,-1.65,0,0
20250903,纺织服饰,23,82,0.28,173.91,-1.08,0,0
20250903,综合,2,17,0.12,71.36,-1.88,0,0
20250903,美容护理,3,17,0.18,41.92,-2.07,0,0
20250903,计算机,25,332,0.08,2147.19,-2.97,0,0
20250903,轻工制造,19,83,0.23,127.7,-1.25,0,0
20250903,通信,26,114,0.23,1734.18,-2.49,1,1
20250903,钢铁,5,53,0.09,130.82,-2.01,0,0
20250903,银行,3,38,0.08,347.13,-1.31,0,0
20250903,非银金融,0,78,0.0,958.25,-3.46,0,0
20250903,食品饮料,7,151,0.05,461.09,-2.39,0,0
20250904,交通运输,88,88,1.0,545.86,-0.58,0,0
20250904,传媒,74,118,0.63,887.05,-0.5,0,0
20250904,公用事业,89,47,1.89,374.4,0.37,0,0
20250904,农林牧渔,72,20,3.6,196.45,1.06,0,0
20250904,医药生物,194,305,0.64,1712.05,-0.97,0,0
20250904,商贸零售,69,9,7.67,341.58,2.75,1,0
20250904,国防军工,3,8,0.38,95.58,-1.57,0,0
20250904,基础化工,228,224,1.02,1240.76,-0.35,0,0
20250904,家用电器,43,46,0.93,338.76,-0.26,0,0
20250904,建筑材料,49,58,0.84,362.48,-0.48,0,0
20250904,建筑装饰,90,59,1.53,278.68,-0.09,0,0
20250904,房地产,49,36,1.36,243.03,0.03,0,0
20250904,有色金属,27,105,0.26,1472.38,-2.08,0,0
20250904,机械设备,180,373,0.48,2041.2,-1.39,0,0
20250904,汽车,95,192,0.49,1231.77,-1.24,0,0
20250904,煤炭,21,9,2.33,76.98,0.34,0,0
20250904,环保,78,42,1.86,222.59,0.39,0,0
20250904,电力设备,211,224,0.94,2962.49,-0.12,1,0
20250904,电子,53,426,0.12,4118.33,-3.54,1,0
20250904,石油石化,14,22,0.64,132.58,-0.71,0,0
20250904,社会服务,67,17,3.94,286.16,1.39,1,0
20250904,纺织服饰,74,27,2.74,172.94,0.88,0,0
20250904,综合,10,9,1.11,57.36,-0.76,0,0
20250904,美容护理,18,2,9.0,51.64,3.37,0,0
20250904,计算机,85,271,0.31,2091.78,-1.63,0,0
20250904,轻工制造,73,26,2.81,152.08,1.13,0,0
20250904,通信,20,119,0.17,2061.63,-3.28,1,0
20250904,钢铁,20,33,0.61,134.92,-0.4,0,0
20250904,银行,24,14,1.71,489.54,0.39,0,0
20250904,非银金融,46,31,1.48,924.24,0.3,1,1
20250904,食品饮料,132,27,4.89,518.6,2.15,0,0
20250905,交通运输,136,39,3.49,436.7,1.1,0,0
20250905,传媒,181,13,13.92,883.71,2.04,1,0
20250905,公用事业,118,19,6.21,335.45,1.19,1,1
20250905,农林牧渔,72,19,3.79,156.38,0.56,0,0
20250905,医药生物,452,46,9.83,1505.69,1.6,1,0
20250905,商贸零售,50,31,1.61,323.61,0.32,0,0
20250905,国防军工,10,1,10.0,88.53,1.37,0,0
20250905,基础化工,453,12,37.75,1262.31,3.03,4,2
20250905,家用电器,83,5,16.6,294.02,1.7,0,0
20250905,建筑材料,101,5,20.2,352.76,3.03,0,0
20250905,建筑装饰,129,17,7.59,241.6,1.78,1,0
20250905,房地产,82,11,7.45,230.14,1.08,0,0
20250905,有色金属,135,0,135.0,1315.49,3.93,4,1
20250905,机械设备,538,23,23.39,2028.58,3.33,7,1
20250905,汽车,277,10,27.7,1146.85,2.83,2,1
20250905,煤炭,32,1,32.0,70.09,1.29,0,0
20250905,环保,102,15,6.8,192.94,1.59,1,0
20250905,电力设备,439,3,146.33,3262.84,5.3,16,6
20250905,电子,478,3,159.33,3609.07,3.79,9,4
20250905,石油石化,35,3,11.67,80.39,1.33,0,0
20250905,社会服务,67,18,3.72,308.36,1.65,0,0
20250905,纺织服饰,84,21,4.0,177.78,1.34,0,0
20250905,综合,18,1,18.0,72.48,2.34,0,0
20250905,美容护理,12,8,1.5,42.42,0.59,0,0
20250905,计算机,343,15,22.87,1688.86,2.22,0,0
20250905,轻工制造,86,13,6.62,137.38,1.64,0,0
20250905,通信,132,7,18.86,1674.8,3.03,0,0
20250905,钢铁,48,4,12.0,117.58,1.21,0,0
20250905,银行,2,37,0.05,324.84,-0.88,0,0
20250905,非银金融,69,8,8.62,694.53,0.78,0,0
20250905,食品饮料,92,63,1.46,425.05,0.25,0,0
20250908,交通运输,149,29,5.14,554.31,1.6,4,3
20250908,传媒,169,24,7.04,929.56,1.43,3,2
20250908,公用事业,123,15,8.2,412.35,1.36,0,0
20250908,农林牧渔,90,6,15.0,240.11,2.25,1,0
20250908,医药生物,395,104,3.8,1640.78,1.5,1,0
20250908,商贸零售,38,40,0.95,256.15,-0.24,0,0
20250908,国防军工,2,8,0.25,69.51,-0.9,0,0
20250908,基础化工,393,73,5.38,1519.65,2.03,5,1
20250908,家用电器,68,21,3.24,329.06,1.32,1,1
20250908,建筑材料,82,26,3.15,370.53,1.35,1,0
20250908,建筑装饰,111,33,3.36,267.55,1.11,0,0
20250908,房地产,73,17,4.29,266.59,1.34,0,0
20250908,有色金属,87,47,1.85,1366.36,1.16,1,0
20250908,机械设备,436,122,3.57,2311.31,1.82,4,0
20250908,汽车,225,59,3.81,1258.73,1.95,4,2
20250908,煤炭,26,5,5.2,72.99,1.04,0,0
20250908,环保,95,24,3.96,210.66,1.75,1,0
20250908,电力设备,294,139,2.12,3447.64,2.87,1,0
20250908,电子,301,172,1.75,3473.12,0.55,0,0
20250908,石油石化,32,7,4.57,93.6,1.14,0,0
20250908,社会服务,41,42,0.98,288.49,0.25,0,0
20250908,纺织服饰,75,29,2.59,175.1,0.94,0,0
20250908,综合,13,6,2.17,68.77,0.39,0,0
20250908,美容护理,14,6,2.33,48.57,0.79,0,0
20250908,计算机,251,100,2.51,1624.66,0.94,0,0
20250908,轻工制造,77,24,3.21,145.53,1.26,0,0
20250908,通信,83,55,1.51,1594.02,0.18,0,0
20250908,钢铁,49,7,7.0,127.95,1.59,0,0
20250908,银行,11,28,0.39,351.02,-0.23,0,0
20250908,非银金融,18,56,0.32,609.88,-0.36,0,0
20250908,食品饮料,135,23,5.87,504.26,1.1,0,0
20250909,交通运输,29,144,0.2,467.36,-1.05,0,0
20250909,传媒,60,132,0.45,930.36,-0.32,2,0
20250909,公用事业,32,98,0.33,326.31,-0.47,0,0
20250909,农林牧渔,15,79,0.19,198.44,-0.79,0,0
20250909,医药生物,58,440,0.13,1467.65,-1.74,0,0
20250909,商贸零售,40,42,0.95,252.09,0.41,0,0
20250909,国防军工,4,7,0.57,59.71,0.28,0,0
20250909,基础化工,109,349,0.31,1440.85,-0.77,1,0
20250909,家用电器,15,71,0.21,373.28,-1.41,1,0
20250909,建筑材料,27,83,0.33,318.8,-1.15,0,0
20250909,建筑装饰,40,107,0.37,225.21,-0.28,0,0
20250909,房地产,78,18,4.33,316.65,1.65,2,1
20250909,有色金属,61,71,0.86,1477.98,0.29,2,0
20250909,机械设备,110,449,0.24,1804.94,-1.35,0,0
20250909,汽车,104,184,0.57,1212.85,-0.34,3,0
20250909,煤炭,14,17,0.82,62.38,-0.06,0,0
20250909,环保,34,81,0.42,206.75,-0.64,0,0
20250909,电力设备,101,339,0.3,2703.87,-1.09,1,0
20250909,电子,43,438,0.1,2867.22,-2.39,0,0
20250909,石油石化,3,36,0.08,70.01,-0.92,0,0
20250909,社会服务,14,69,0.2,224.52,-1.13,0,0
20250909,纺织服饰,41,62,0.66,194.5,-0.16,0,0
20250909,综合,6,12,0.5,60.02,-0.13,0,0
20250909,美容护理,3,17,0.18,37.86,-1.83,0,0
20250909,计算机,53,304,0.17,1480.07,-1.89,1,0
20250909,轻工制造,44,56,0.79,154.64,0.16,0,0
20250909,通信,16,122,0.13,1182.96,-2.02,0,0
20250909,钢铁,28,29,0.97,134.82,0.1,0,0
20250909,银行,37,2,18.5,269.38,0.94,0,0
20250909,非银金融,24,52,0.46,593.45,-0.29,0,0
20250909,食品饮料,56,97,0.58,403.77,-0.31,0,0
20250910,交通运输,90,74,1.22,376.16,0.21,0,0
20250910,传媒,143,51,2.8,1036.63,1.37,4,1
20250910,公用事业,55,76,0.72,258.82,0.09,1,0
20250910,农林牧渔,58,31,1.87,169.4,0.55,1,0
20250910,医药生物,183,296,0.62,1157.44,-0.14,1,0
20250910,商贸零售,60,21,2.86,276.66,1.18,0,0
20250910,国防军工,1,10,0.1,49.57,-1.11,0,0
20250910,基础化工,147,306,0.48,1159.53,-0.43,0,0
20250910,家用电器,30,55,0.55,278.62,-0.19,1,0
20250910,建筑材料,47,59,0.8,292.28,0.14,0,0
20250910,建筑装饰,72,70,1.03,218.99,0.25,0,0
20250910,房地产,61,29,2.1,258.12,0.98,1,0
20250910,有色金属,38,94,0.4,1147.72,-0.72,0,0
20250910,机械设备,236,316,0.75,1645.17,0.11,0,0
20250910,汽车,98,190,0.52,1119.62,-0.33,1,0
20250910,煤炭,5,27,0.19,53.71,-0.74,0,0
20250910,环保,56,58,0.97,163.24,0.11,0,0
20250910,电力设备,132,300,0.44,2393.4,-0.7,2,1
20250910,电子,242,228,1.06,2951.39,0.44,5,2
20250910,石油石化,29,7,4.14,113.0,2.16,0,0
20250910,社会服务,66,18,3.67,238.93,1.45,2,0
20250910,纺织服饰,55,48,1.15,164.07,0.14,0,0
20250910,综合,12,5,2.4,58.97,0.55,0,0
20250910,美容护理,10,10,1.0,35.22,-0.11,0,0
20250910,计算机,218,134,1.63,1415.71,0.58,1,0
20250910,轻工制造,46,50,0.92,151.23,1.78,0,0
20250910,通信,103,34,3.03,1580.14,1.66,2,1
20250910,钢铁,12,36,0.33,113.16,-0.49,0,0
20250910,银行,25,12,2.08,265.46,0.32,0,0
20250910,非银金融,24,52,0.46,467.43,-0.18,0,0
20250910,食品饮料,86,70,1.23,427.9,0.27,0,0
20250911,交通运输,140,36,3.89,436.22,0.94,0,0
