产品名称,单位净值,近1周,近1月,近3月,近6月,近1年
立心-私募学院菁英353号,1.4398,-2.03%,+1.63%,+5.22%,+3.06%,+15.26%
波克宏观配置1号,1.4599,+0.55%,+3.31%,+14.84%,+27.43%,+47.72%
太衍光年中证2000指数增强2号,1.2119,-2.75%,+2.94%,+18.37%,+20.90%,-
翔云50二号A类,2.0749,-1.80%,+2.11%,+4.91%,+10.01%,-
创世纪顾锝灵活多策略1号,1.0319,-1.32%,-1.52%,-0.23%,+1.75%,-
瀚鑫纸鸢量化优选,2.711,-0.84%,+0.89%,+5.36%,+12.72%,+53.77%
碳硅1号,0.9852,-2.31%,-0.80%,-0.32%,+9.47%,+33.12%
顽岩量化选股1号,1.9982,-0.13%,+6.74%,+22.04%,+33.03%,+107.82%
正仁股票择时一期,1.1809,-0.82%,+0.84%,+6.32%,+8.70%,+33.55%
格林基金鲲鹏6号,9.5201,+0.79%,+6.35%,+19.05%,+43.31%,+120.54%
赢仕安盈二号,1.1725,-1.76%,-0.96%,+8.91%,+9.12%,+27.46%
具力芒种1号,1.1851,-1.63%,-0.33%,+4.46%,+6.31%,+19.73%
时间序列红利增强1号,1.4323,-0.31%,+0.70%,+6.72%,+14.46%,+35.34%
积沐领航者,2.0117,-2.76%,+3.87%,+14.78%,+19.80%,+56.51%
旌安思源1号B类,1.2247,-1.13%,-1.23%,+0.03%,-3.67%,+3.58%
涌泉君安三号,1.4203,+1.14%,+4.74%,+10.29%,+10.27%,+9.32%
铭跃行远均衡一号,1.046,-1.23%,-1.60%,+8.65%,+12.39%,+17.19%
正仁双创择时一号,1.4955,-,+4.03%,+14.39%,-,-
特夫郁金香全量化,1.0403,+1.87%,+3.21%,+5.60%,+2.84%,+7.09%
海鹏扬帆,1.158,-1.36%,+0.09%,+6.93%,+9.87%,+12.43%
