产品名称,近一周收益,近一月收益,今年以来收益
顽岩量化选股1号,-5.89%,-2.07%,7.64%
正仁股票择时一期,-0.47%,-1.24%,4.15%
正仁双创择时一号,-2.37%,-1.71%,4.15%
瀚鑫纸鸢量化优选,-3.81%,-3.56%,-0.31%
积沐领航者,-5.42%,-3.72%,5.61%
太衍光年中证2000指数增强,-5.28%,-5.02%,6.95%
时间序列红利增强,-2.52%,-0.69%,3.55%
赢仕安盈二号,-2.57%,-6.04%,0.96%
具力芒种1号,-3.13%,-6.03%,-0.82%
旌安思源1号B类,-0.82%,-1.49%,0.22%
创世纪顾锝灵活多策略,-1.01%,-2.09%,-2.24%
立心-私募学院菁英353号,-1.77%,-0.81%,1.02%
翔云50二号A类,-2.85%,-1.03%,1.68%
特夫郁金香全量化,-1.72%,-1.30%,-0.11%
铭跃行远均衡一号,-0.38%,-2.91%,4.05%
碳硅1号,-0.92%,-4.03%,-2.74%
涌泉君安三号,-0.37%,3.03%,8.11%
海鹏扬帆,-2.89%,1.29%,5.28%
格林基金鲲鹏6号,-12.57%,-10.37%,2.11%
波克宏观配置1号,-2.32%,-0.64%,9.06%
