产品名称,最新净值(3.20),上周净值(3.13),上月末净值(2.28),去年末净值,近一周收益,近一月收益,今年以来收益,最大回撤(月)
顽岩量化选股1号,1.8558,1.9725,1.8950,1.8335,-5.89%,-2.07%,1.22%,7.48%
正仁股票择时一期,1.1713,1.1768,1.1892,1.1305,-0.47%,-1.51%,3.61%,3.42%
正仁双创择时一号,1.4107,1.4450,1.4795,1.4093,-2.37%,-4.65%,0.10%,8.34%
瀚鑫纸鸢量化优选,-,-,-,-,-,-,-,-
积沐领航者,1.8603,1.9289,1.9872,1.8188,-3.56%,-6.37%,2.29%,14.67%
太衍光年中证2000指数增强2号,1.1206,1.1613,1.2096,1.0784,-3.50%,-7.35%,3.91%,13.90%
时间序列红利增强1号,-,-,-,-,-,-,-,-
赢仕安盈二号,1.1458,1.1400,1.2115,1.1338,0.51%,-5.44%,1.05%,7.87%
具力芒种1号,1.1315,1.1676,1.2042,1.1722,-3.12%,-6.03%,-3.49%,6.17%
旌安思源1号B类,1.2182,1.2142,1.2291,1.2203,0.33%,-0.88%,-0.17%,5.18%
创世纪顾锝灵活多策略1号,1.0064,1.0220,1.0382,1.0483,-1.53%,-3.06%,-4.00%,5.49%
立心-私募学院菁英353号,1.4183,1.4148,1.4404,1.3976,0.25%,-1.53%,1.49%,4.92%
翔云50二号A类,2.0031,2.0080,2.0400,2.0011,-0.24%,-1.80%,0.01%,6.68%
特夫郁金香全量化,1.0267,1.0247,1.0300,1.0188,0.19%,-0.32%,0.77%,5.14%
铭跃行远均衡一号,1.0350,1.0390,1.0659,1.0000,-0.38%,-2.91%,3.50%,2.91%
碳硅1号,0.9695,0.9719,1.0125,1.0000,-0.25%,-4.25%,-3.02%,10.15%
涌泉君安三号,1.4190,1.4151,1.3735,1.2960,0.28%,3.31%,9.49%,9.76%
海鹏扬帆,1.1760,1.2110,1.1611,1.1710,-2.89%,1.29%,0.43%,10.40%
格林基金鲲鹏6号,8.2645,9.4535,9.2160,8.1810,-12.57%,-10.37%,1.02%,18.38%
波克宏观配置1号,1.4109,1.4260,1.4352,1.3663,-1.06%,-1.69%,3.26%,7.51%
