nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date,our_name,full_name,reg_code
2.2495,2.4374,2.54441351,-0.0133339182,2026-03-13,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.2799,2.4678,2.578799,-0.018469089,2026-03-06,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.3228,2.5107,2.62732327,0.045082336,2026-02-27,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.2226,2.4105,2.51398687,0.0179536503,2026-02-13,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.1834,2.3713,2.46964768,-0.0138211382,2026-02-06,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.214,2.4019,2.50425939,-0.0317501968,2026-01-30,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.2866,2.4745,2.58637739,0.0456374611,2026-01-23,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.1868,2.3747,2.47349343,0.0222513089,2026-01-16,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.1392,2.3271,2.41965298,0.0734644721,2026-01-09,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.9928,2.1807,2.25405968,-0.0030018011,2025-12-31,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.9988,2.1867,2.26084629,0.0455615421,2025-12-26,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.9117,2.0996,2.16232732,-0.0030763124,2025-12-19,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.0154,2.1058,2.16899984,0.0132220602,2025-12-12,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.9891,2.0795,2.14069544,0.002873853,2025-12-05,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.9834,2.0738,2.13456102,0.0406086044,2025-11-28,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.906,1.9964,2.05126213,-0.0576019778,2025-11-21,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.0225,2.1129,2.17664095,-0.0032526736,2025-11-14,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.0291,2.1195,2.18374396,0.011767639,2025-11-07,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.0055,2.0959,2.15834533,0.0071310199,2025-10-31,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.9913,2.0817,2.1430631,0.0381627652,2025-10-24,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.9181,2.0085,2.06428431,-0.0396535323,2025-10-17,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.9973,2.0877,2.14952038,-0.0114333795,2025-10-10,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
2.0204,2.1108,2.17438091,0.0178337531,2025-09-30,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.985,2.0754,2.13628296,-0.0030636332,2025-09-26,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.9911,2.0815,2.14284786,0.0122521607,2025-09-19,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.967,2.0574,2.11691113,0.0380495013,2025-09-12,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.8949,1.9853,2.03931616,-0.0105994152,2025-09-05,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.9152,2.0056,2.06116329,0.0149443561,2025-08-29,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.887,1.9774,2.03081408,0.0461828464,2025-08-22,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.8037,1.8941,1.94116553,0.0401360937,2025-08-15,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.7341,1.8245,1.8662611,0.0180825456,2025-08-08,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.7033,1.7937,1.83311374,0.0006462225,2025-08-01,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.7022,1.7926,1.8319299,0.0047812998,2025-07-31,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.6941,1.7845,1.82321258,0.0235635309,2025-07-25,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.6551,1.7455,1.78124027,0.0157726771,2025-07-18,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.6294,1.7198,1.75358159,0.0240713971,2025-07-11,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.5911,1.6815,1.71236263,0.0015737127,2025-07-04,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.5886,1.679,1.7096721,0.0095322827,2025-06-30,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.5736,1.664,1.6935289,0.0496264674,2025-06-27,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.4992,1.5896,1.61345865,-0.0145918233,2025-06-20,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.5214,1.6118,1.63735058,0.003098833,2025-06-13,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.5167,1.6071,1.63229238,0.0217596335,2025-06-06,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.4844,1.5748,1.59753069,0.0074657255,2025-05-30,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.4734,1.5638,1.58569235,-0.006205315,2025-05-23,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.4826,1.573,1.59559351,0.0130509054,2025-05-16,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.4635,1.5539,1.57503784,0.0314328001,2025-05-09,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.4189,1.5093,1.52703874,0.0063120567,2025-04-30,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.41,1.5004,1.51746044,0.0135863705,2025-04-25,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.3911,1.4815,1.49712001,0.0043318172,2025-04-18,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.3851,1.4755,1.49066274,-0.0446268451,2025-04-11,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.4498,1.5402,1.56029372,-6.89703e-05,2025-04-03,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
1.4499,1.5403,1.56040134,-0.0061009049,2025-03-31,顽岩量化选股1号,顽岩中证500指数增强1号,SSA143
