advisor,code,data_source,latest_cum_nav,latest_date,month_return,name,source_type,stat_end_cum_nav,stat_end_date,stat_end_used_date,status,strategy,strategy_detail,week_return,ytd_return
-,SATW62,api,1.9024,2026-04-10,0.021422818791946296,顽岩量化选股1号,,1.9024,2026-04-10,2026-04-10,正常,量选类,量化选股,0.062199888330541686,0.10341627515805363
-,SARD76,api,1.343,2026-04-14,0.010589214129037128,正仁股票择时一期,,1.3361,2026-04-10,2026-04-10,正常,量选类,股票择时,0.00929143375132191,0.05179878768794777
-,SXG834,api,1.6286,2026-04-14,0.06187021362353895,正仁双创择时一号,,1.5807,2026-04-10,2026-04-10,正常,风格类,双创择时,0.062012899758129514,0.0783872288170282
-,SZC020,fallback,2.597,2026-03-20,0.0,瀚鑫纸鸢量化优选,,2.597,2026-04-10,2026-03-20,正常,风格类,微盘择时,0.0,-0.003071017274472121
-,SAJJ91,api,1.9826,2026-04-14,0.04220017072129756,积沐领航者,,1.9535,2026-04-10,2026-04-10,正常,风格类,1000指增,0.055432492301042746,0.09323409256253856
-,SBCA75,api,1.1987,2026-04-14,0.046014717616809975,太衍光年中证2000指数增强2号,,1.1798,2026-04-10,2026-04-10,正常,风格类,2000指增T0,0.0625,0.11375436609081468
-,SSV122,fallback,1.4031,2026-03-20,0.0,时间序列红利增强1号,,1.4031,2026-04-10,2026-03-20,正常,风格类,红利指增,0.0,0.035498154981549845
-,SLQ349,api,1.7453,2026-04-14,0.02917207983937642,赢仕安盈二号,,1.7428,2026-04-10,2026-04-10,正常,风格类,转债集中,0.020793065073507755,0.04296828246558948
-,STE836,api,1.5305,2026-04-10,0.011900826446280988,具力芒种1号,,1.5305,2026-04-10,2026-04-10,正常,风格类,转债分散,0.017484377077516378,0.02019730702572997
-,AEU46B,api,1.2192,2026-04-14,-0.0005763214226904845,旌安思源1号B类,,1.2139,2026-04-10,2026-04-10,正常,绝对收益,短线择时,0.0007419620774937741,0.0026430990336168136
-,SBDC67,api,1.0285,2026-04-14,0.021922767497988715,创世纪顾锝灵活多策略1号,,1.0162,2026-04-10,2026-04-10,正常,绝对收益,趋势策略,0.019666867348986594,-0.02532131210435451
-,SCJ476,api,4.0601,2026-04-14,2.4672472922038224e-05,立心-私募学院菁英353号,,4.0532,2026-04-10,2026-04-10,正常,绝对收益,主线择时,0.003217662491955986,0.005282869118777844
-,VB166A,api,2.0599,2026-04-14,0.02136409227683056,翔云50二号A类,,2.0366,2026-04-10,2026-04-10,正常,绝对收益,大盘择时,0.023262824699793905,0.032549178665585154
-,SQX078,api,2.2041,2026-04-14,0.00812150133064149,特夫郁金香全量化,,2.1971,2026-04-10,2026-04-10,正常,绝对收益,量化打板,0.009975176978946454,0.007335748017055721
-,SVZ009,api,1.257,2026-04-10,-0.02934362934362933,铭跃行远均衡一号,,1.257,2026-04-10,2026-04-10,正常,商品类,量化时序CTA,-0.013343799058084915,0.003993610223642197
-,SXJ836,api,1.505,2026-04-14,-0.004949188333113419,碳硅1号,,1.5079,2026-04-10,2026-04-10,正常,商品类,化工主观,-0.00867793044507259,-0.01682206428897437
-,SZM385,api,1.4432,2026-04-10,0.01705426356589146,涌泉君安三号,,1.4432,2026-04-10,2026-04-10,正常,商品类,黑色主观,0.020217729393467998,0.10260524104209656
-,SSR379,api,2.212,2026-04-10,-0.004948268106162668,海鹏扬帆,,2.212,2026-04-10,2026-04-10,正常,商品类,农产品主观,-0.0013544018058688767,0.016544117647058876
-,SVZ638,api,8.6365,2026-04-14,0.05101051713274862,格林基金鲲鹏6号,,8.6742,2026-04-10,2026-04-10,正常,多策略,黄金大类,0.028053333333333486,0.07168272794662722
-,SARZ77,api,1.4504,2026-04-10,0.008062274117319967,波克宏观配置1号,,1.4504,2026-04-10,2026-04-10,正常,多策略,宏观大类,0.018610857504038236,0.08709338929695676
-,SGN799,api,1.3831,2026-04-10,0.037973733583489766,玉数纯阿尔法一号,,1.3831,2026-04-10,2026-04-10,正常,风格类,300指增T0,0.04669290146813987,0.09379201265322257
-,SNY231,api,1.7721,2026-04-10,0.02362523105360448,玉数顺利一号,,1.7721,2026-04-10,2026-04-10,正常,风格类,500指增T0,0.03335471456061567,0.09952224359372108
-,SZB966,api,1.6349,2026-04-10,0.03044245556535996,玉数涵瑞专享十七号,,1.6349,2026-04-10,2026-04-10,正常,风格类,1000指增T0,0.04439759805800447,0.10406537007023231
-,SACB34,api,2.0867,2026-04-10,0.044969703039711595,龙旗科技创新精选1号,,2.0867,2026-04-10,2026-04-10,正常,风格类,双创指增,0.07990477669099016,0.1177951574887508
-,SJD168,api,1.5752,2026-04-10,0.015799316437737687,玉数涵瑞六号,,1.5752,2026-04-10,2026-04-10,正常,绝对收益,300中性T0,0.011039794608472375,0.07112743098055208
-,SAST37,api,1.08180728,2026-04-08,-0.0021148602527442106,国联证券陆联1号FOF,,1.08180728,2026-04-10,2026-04-08,正常,FOF组合类,低波私募FOF,0.0023230612433986497,0.01252233105406897
-,c59639ceac9aca1f,api,1.182335,2026-04-15,0.02185951313889345,大方向之中波思源365,combi,1.176754,2026-04-10,2026-04-10,正常,FOF组合类,中波公募FOF,0.02040278349845015,0.03388549850375955
-,SBHP32,api,1.321,2026-04-14,0.08435053455678099,正仁择时量选听涛二号,,1.2881,2026-04-10,2026-04-10,正常,风格类,灵活方向择时,0.08737126456187738,0.3288971422676157
