产品名称,价格类型,去年末净值,2月27日净值,3月20日净值,3月27日净值,近一周,近一月,今年以来
顽岩量化选股1号,团队,1.7241,2.0008,1.8558,1.8625,0.0036103028343572596,-0.06912235105957609,0.08027376602285252
正仁股票择时一期,团队,1.2703,1.1999,1.1739,1.1737,-0.0001703722633954463,-0.02183515292941074,-0.07604502873337005
正仁双创择时一号,团队,1.4658,,1.4542,1.4192,-0.024068216201347803,,-0.031791513166871344
瀚鑫纸鸢量化优选,平台,2.605,2.734,2.597,2.641,0.016942626107046665,-0.034016093635698574,0.013819577735124877
积沐领航者,团队,1.7869,2.0496,1.8872,1.8896,0.0012717253073335488,-0.07806401249024197,0.05747383737198497
太衍光年中证2000指数增强,团队,1.0593,1.2436,1.1329,1.1404,0.006620178303468949,-0.08298488259890635,0.07655999244784306
时间序列红利增强,团队,1.3417,1.4217,1.3882,1.38,-0.005906929837199426,-0.02933108250685801,0.028545874636654922
赢仕安盈二号,团队,1.2997,1.2,1.13,1.153,0.020353982300885143,-0.03916666666666657,-0.11287220127721787
具力芒种1号,团队,1.1409,1.2047,1.1315,1.1532,0.019178082191780854,-0.042749232173985297,0.010780962398106775
旌安思源1号B类,团队,1.2107,1.2296,1.2134,1.2174,0.003296522169111693,-0.009921925829538103,0.005533988601635453
创世纪顾锝灵活多策略,团队,1.0426,1.0376,1.0192,1.0115,-0.007554945054945139,-0.025154202004626036,-0.029829272971417575
立心-私募学院菁英353号,团队,1.3954,1.461,1.4097,1.4215,0.008370575299709193,-0.027036276522929614,0.01870431417514684
翔云50二号A类,团队,5.1332,5.4594,5.2165,5.26,0.00833892456628016,-0.03652416016412052,0.024701940310137838
特夫郁金香全量化,团队,1.1414,1.0434,1.0176,1.0188,0.001179245283018826,-0.02357676825761945,-0.10741195023655159
铭跃行远均衡一号,团队,1.12,1.059,1.035,1.037,0.0019323671497584183,-0.020774315391879128,-0.07410714285714304
碳硅1号,团队,0.9948,1.0229,0.9675,0.9735,0.006201550387596955,-0.04829406589109386,-0.021411338962605497
涌泉君安三号,团队,1.3089,1.3981,1.4151,1.419,0.0027559889760440104,0.014948859166011186,0.08411643364657362
海鹏扬帆,团队,1.117,1.174,1.176,1.164,-0.010204081632653073,-0.008517887563884163,0.042076991942703534
格林基金鲲鹏6号,团队,8.094,9.4502,8.2645,7.8308,-0.05247746385141272,-0.17136145266766845,-0.0325179145045712
波克宏观配置1号,团队,1.3342,1.456,1.426,1.4109,-0.010589060308555331,-0.030975274725274615,0.057487633038525
