产品名称,价格类型,去年末复权,2月27日复权,3月20日复权,3月27日复权,近一周,近一月,今年以来
顽岩量化选股1号,团队,1.7241,2.0008,1.8558,1.8625,0.0036103028343572596,-0.06912235105957609,0.08027376602285252
正仁股票择时一期,团队,1.2703,1.3523,1.3263,1.3261,-0.00015079544597751404,-0.01937439917178141,0.04392663150436915
正仁双创择时一号,团队,1.4658,,1.5303,1.4953,-0.02287133241847994,,0.020125528721517405
瀚鑫纸鸢量化优选,平台,2.605,2.734,2.597,2.641,0.016942626107046665,-0.034016093635698574,0.013819577735124877
积沐领航者,团队,1.7869,2.0496,1.8872,1.8896,0.0012717253073335488,-0.07806401249024197,0.05747383737198497
太衍光年中证2000指数增强,团队,1.0593,1.2436,1.1329,1.1404,0.006620178303468949,-0.08298488259890635,0.07655999244784306
时间序列红利增强,团队,1.3417,1.4217,1.3882,1.38,-0.005906929837199426,-0.02933108250685801,0.028545874636654922
赢仕安盈二号,团队,1.671,1.7648,1.6948,1.7178,0.013570922822751852,-0.026631912964641846,0.02800718132854585
具力芒种1号,团队,1.5002,1.564,1.4908,1.5125,0.014555943117789072,-0.03292838874680315,0.008198906812425077
旌安思源1号B类,团队,1.2107,1.2296,1.2134,1.2174,0.003296522169111693,-0.009921925829538103,0.005533988601635453
创世纪顾锝灵活多策略,团队,1.0426,1.0376,1.0192,1.0115,-0.007554945054945139,-0.025154202004626036,-0.029829272971417575
立心-私募学院菁英353号,团队,4.0319,4.0975,4.0462,4.058,0.002916316543917663,-0.009640024405125125,0.0064733748356853305
翔云50二号A类,团队,5.1332,5.4594,5.2165,5.26,0.00833892456628016,-0.03652416016412052,0.024701940310137838
特夫郁金香全量化,团队,2.1811,2.2071,2.1813,2.1825,0.0005501306560309338,-0.01114584749218428,0.0006418779514925088
铭跃行远均衡一号,团队,1.252,1.317,1.293,1.295,0.0015467904098993568,-0.016704631738800324,0.034345047923322714
碳硅1号,团队,1.5337,1.5618,1.5064,1.5124,0.003983005841741827,-0.031630170316301776,-0.013887983308339402
涌泉君安三号,团队,1.3089,1.3981,1.4151,1.419,0.0027559889760440104,0.014948859166011186,0.08411643364657362
海鹏扬帆,团队,2.176,2.233,2.235,2.223,-0.005369127516778538,-0.004478280340349361,0.02159926470588225
格林基金鲲鹏6号,团队,8.094,9.4502,8.2645,7.8308,-0.05247746385141272,-0.17136145266766845,-0.0325179145045712
波克宏观配置1号,团队,1.3342,1.4839,1.4539,1.4388,-0.010385858724809016,-0.03039288361749437,0.0783990406235946
