fund_short_name,fund_name,register_number,price_type
九章幻方中证500量化多策略1号,九章幻方中证500量化多策略1号私募基金,SR6089,1
致远中证500指数加强,致远中证500指数加强私募基金,SR0088,1
信弘星盈1号,信弘星盈1号私募证券投资基金,SM3377,2
灵均投资商品期货专项1期,灵均投资商品期货专项1期私募证券投资基金,SM9474,1
靖奇金牛思锐,靖奇金牛思锐私募基金,SM9333,2
黑翼CTA-T1,黑翼CTA-T1私募基金,SM9635,1
龙旗红旭,龙旗红旭私募投资基金,SM4569,2
致远CTA精选2期,致远CTA精选2期私募证券投资基金,SM0417,1
宏锡量化2号,宏锡量化2号私募证券投资基金,SJ0437,1
上海宽德卓越,上海宽德卓越私募证券投资基金,SJ5143,2
平凡悟鑫,平凡悟鑫证券投资基金,SJ2870,1
明得浩伦CTA一号,明得浩伦CTA一号私募证券投资基金,SE6459,1
双隆-隆盛6号,双隆-隆盛6号私募证券投资基金,SE7503,1
远澜云杉,远澜云杉期货基金,S83994,1
双隆-隆元1号,双隆-隆元1号私募证券投资基金,S28439,1
进化论复合策略一号基金,进化论复合策略一号证券投资基金,S28619,1
因诺启航1号,因诺启航1号私募证券投资基金,S25540,1
上海宽德共赢,上海宽德共赢私募证券投资基金,S26541,2
龙旗紫微量化对冲基金,龙旗紫微量化对冲基金,S21883,2
珏朔朴道量化CTA稳健一号,珏朔朴道量化CTA稳健一号私募基金,SR1420,1
均成CTA1号,均成CTA1号私募投资基金,SS0221,1
泓湖稳健宏观对冲,泓湖稳健宏观对冲私募证券投资基金,S28048,1
因诺期权2号,因诺期权2号私募证券投资基金,S34941,1
龙旗巨星一号,龙旗巨星一号私募投资基金,SH7639,2
众壹资产宏观宝,众壹资产宏观宝私募证券投资基金,SS2790,1
国源不争0号,国源不争0号私募证券投资基金,SR9931,1
平方和信享,平方和信享私募证券投资基金,SS4433,2
鸣石春天沪深300指数增强1号,鸣石春天沪深300指数增强1号私募投资基金,SS3397,2
因诺天丰1号,因诺天丰1号私募证券投资基金,SS8359,2
天演赛能基金,天演赛能证券投资基金,SJ6013,1
久期量和指数1号,久期量和指数1号私募证券投资基金,SJ8129,1
致远22号,致远22号私募投资基金,SS9047,2
鸣石春天指数增强6号,鸣石春天指数增强 6 号私募证券投资基金,SS9515,1
达一号量化,达一号量化私募投资基金,ST2106,1
远澜翠柏1号,远澜翠柏1号私募证券投资基金,SS9088,1
九坤日享中证500指数增强1号,九坤日享中证500指数增强1号私募基金,ST9804,1
远惟风雪2号,远惟风雪2号私募证券投资基金,SL3681,1
明汯中性1号,明汯中性1号私募证券投资基金,ST7452,2
思源1号,思源1号私募证券投资基金,ST6924,1
正瀛权智1号,正瀛权智1号私募基金,ST8076,2
平凡战泓,平凡战泓私募证券投资基金,SW7097,1
仁桥泽源1期,仁桥泽源1期私募证券投资基金,SW5334,1
白鹭FoF演武场一号,白鹭FoF演武场一号私募投资基金,SX0748,1
旭诺CTA一号,旭诺CTA一号私募基金,SW8015,1
靖奇睿科三号,靖奇睿科三号私募基金,SW9335,1
靖奇睿科五号,靖奇睿科五号私募基金,SW9337,2
黛眉杉树,黛眉杉树私募证券投资基金,SW9623,2
弈倍虎鲸,弈倍虎鲸私募投资基金,SY0096,2
固禾翡翠一号,固禾翡翠一号私募投资基金,SY0256,1
时代复兴东兆长泰CTA一号,时代复兴东兆长泰CTA一号私募基金,SY2762,1
金澹量化市场中性1号,金澹量化市场中性1号私募证券投资基金,SY4286,2
辛巴达母基金,辛巴达母基金私募证券投资基金,SX9709,1
英仕曼宏量1号,英仕曼宏量1号私募基金,SY4405,1
量桥投资聚川二号,量桥投资聚川二号私募投资基金,SY6560,2
龙旗御风,龙旗御风私募投资基金,SCA340,2
涵德盈冲量化CTA1号,涵德盈冲量化CTA1号私募证券投资基金,SY1781,1
平方和量化精选1号,平方和量化精选1号私募基金,SY7087,2
星辰之喜岳2号增强,星辰之喜岳2号增强私募证券投资基金,SY2984,1
丹羿-锐进1号,丹羿-锐进1号私募证券投资基金,SX8958,2
翔云50,翔云50私募证券投资基金,SY6829,2
悬铃A号,悬铃A号私募基金,SCH558,1
无隅磐石一号,无隅磐石一号私募投资基金,SCJ566,1
九鞅禾瑞八号,九鞅禾瑞八号私募证券投资基金,SCK972,1
涵德明德中证500指数增强1号,涵德明德中证500指数增强1号私募证券投资基金,SY1794,1
致远激进一号,致远激进一号私募证券投资基金,SY3702,2
联海宏观套利1号,联海宏观套利1号私募证券投资基金,SCJ958,1
甬远稳健增长二期,甬远稳健增长私募证券投资基金二期,SCN675,2
京华祥瑞2号,京华祥瑞2号私募投资基金,SY2586,1
立心-私募学院菁英353号,立心-私募学院菁英353号私募基金,SCJ476,2
朴时CTA二号,朴时CTA二号私募证券投资基金,SCS411,1
茂源巴舍里耶2期,茂源巴舍里耶2期私募证券投资基金,SCV226,2
九坤日享中证1000指数增强1号,九坤日享中证1000指数增强1号私募基金,SCP381,1
无隅鲲鹏一号,无隅鲲鹏一号私募投资基金,SCS762,2
旌安1号,旌安1号私募投资基金,SCU345,1
海浦超平面中证500指数增强1号,海浦超平面中证500指数增强1号私募基金,SCY312,1
众壹资产量合兴成一号,众壹资产量合兴成一号私募证券投资基金,SCV067,2
衍盛指数增强1号,衍盛指数增强1号私募投资基金,SCY352,2
千象卓越2号中证500指数增强,千象卓越2号中证500指数增强私募证券投资基金,SEA491,1
开思港股通中国优势,开思港股通中国优势私募基金,SED129,1
盛冠达中证500指数增强1号,盛冠达中证500指数增强1号私募基金,SEC354,1
安值福慧量化1号,安值福慧量化1号私募证券基金,SCP765,1
社润悟林一号,社润悟林一号私募基金,SED926,1
元涞潜龙一号,元涞潜龙一号私募基金,SEC547,1
金澹中证500量化精选1号,金澹中证500量化精选1号私募证券基金,SEF332,1
量道CTA精选1号,量道CTA精选1号私募证券投资基金,SEE186,1
平凡股道,平凡股道私募投资基金,SEE276,1
会世元丰CTA1号,会世元丰CTA1号私募投资基金,SEC905,2
白鹭500指数增强南强二号,白鹭500指数增强南强二号私募证券投资基金,SEH303,1
鲲鹏8号进取型,鲲鹏8号进取型私募证券投资基金,SEG776,2
启林同盈1号,启林同盈1号私募证券投资基金,SEB580,2
塞帕思致远指数增强,塞帕思致远指数增强私募投资基金,SEF174,1
峰云汇哥伦布,峰云汇哥伦布私募投资基金,SEF459,1
鸣石傲华九号,鸣石傲华九号私募证券投资基金,SEK173,2
明汯精选CTA,明汯精选CTA私募证券投资基金,SEM087,1
橡木橡果,橡木橡果私募证券投资基金,SEL802,1
黑翼中证500指数增强1号,黑翼中证500指数增强1号私募投资基金,SEM323,1
博弈淘股吧5号,博弈淘股吧5号私募证券投资基金,SEN677,1
灵均中证500指数增强2号,灵均中证500指数增强2号私募证券投资基金,SEH231,1
赫富500指数增强一号,赫富500指数增强一号私募基金,SEP463,2
双隆-隆富2号,双隆-隆富2号私募基金,ST1031,1
鲁民投至中一号,鲁民投至中一号私募证券投资基金,SER388,2
珺容翔宇CTA1号,珺容翔宇CTA1号私募基金,SES552,1
敦和探索1号,敦和探索1号私募基金,SEQ189,1
悬铃C号,悬铃C号私募基金,SEK201,2
鲁民投稳健一号,鲁民投稳健一号私募证券投资基金,SES589,1
安值量化1号,安值量化1号私募证券投资基金,SET659,2
赫富对冲三号,赫富对冲三号私募基金,SEU010,2
赢富一号,赢富一号私募投资基金,SES540,2
茂源资本经典CTA-2号,茂源资本经典CTA-2号私募投资基金,SEU506,1
白鹭量化CTA一号,浙江白鹭量化CTA一号私募证券投资基金,SER942,2
景资锐联多元化旗舰一号,景资锐联多元化旗舰一号私募基金,SER537,1
雸昇启明星二号,雸昇启明星二号私募证券投资基金,SEW204,2
香橙资本诺亚方舟1号,香橙资本诺亚方舟1号私募证券投资基金,SEZ066,2
赫富灵活对冲一号,赫富灵活对冲一号私募证券投资基金,SGA075,2
常行2号,常行2号私募证券投资基金,SGA156,2
赫富1000指数增强一号,赫富1000指数增强一号私募证券投资基金,SEZ753,2
玄元元增1号,玄元元增1号私募证券投资基金,SGB162,1
芷瀚量化CTA激进一号,芷瀚量化CTA激进一号私募基金,SEU998,1
致邃投资-致盈3号,致邃投资-致盈3号私募证券投资基金,SGF835,2
启元通盛1号,启元通盛1号私募证券投资基金,SGF866,1
雁丰管理期货1号,雁丰管理期货1号私募投资基金,SEU258,1
蒙玺祖冲之1号量化,蒙玺祖冲之1号量化私募证券投资基金,SGB123,2
交睿宏珀1号,交睿宏珀1号私募证券投资基金,SGG170,1
雸昇启明星四号,雸昇启明星四号私募证券投资基金,SGF745,2
盛冠达CTA基本面量化1号,盛冠达CTA基本面量化1号私募证券投资基金,SGJ566,1
橡木闻潮二号,橡木闻潮二号私募证券投资基金,SGD755,1
佳期北斗星一期,佳期北斗星私募证券投资基金一期,SGK394,1
安值福慧量化5号,安值福慧量化5号私募证券投资基金,SGJ083,2
世纪前沿指数增强1号,世纪前沿指数增强1号私募证券投资基金,SGK119,2
嗣盈迪辐转债1号,嗣盈迪辐转债1号私募证券投资基金,SGK019,2
悬铃A号2期,悬铃A号2期私募证券投资基金,SGH302,2
悬铃C号2期,悬铃C号2期私募证券投资基金,SGH303,2
白鹭300指数增强二号,浙江白鹭300指数增强二号私募证券投资基金,SGH902,1
天算指数增强1号,天算指数增强1号私募证券投资基金,SGM344,1
鸣石锐驰八号,鸣石锐驰八号私募证券投资基金,SGM311,2
首信钧誉量化对冲基金2号,首信钧誉量化对冲基金2号私募证券投资基金,SGN428,1
守正用奇指增1号,守正用奇指增1号私募证券投资基金,SGN571,1
蒙玺分形2号,蒙玺分形2号私募证券投资基金,SGP287,2
致邃投资-雪香对冲量化1号,致邃投资-雪香对冲量化1号私募证券投资基金,SGA723,2
朋锦永宁,朋锦永宁私募证券投资基金,SGN254,1
世纪前沿指数增强2号,世纪前沿指数增强2号私募证券投资基金,SGP682,2
垒昂蜜獾量化中性1号,垒昂蜜獾量化中性1号私募证券投资基金,SXX932,1
宏量鼎诚,宏量鼎诚私募证券投资基金,SGQ716,2
平凡信诺,平凡信诺私募证券投资基金,SCP706,1
致远私享十号,致远私享十号私募证券投资基金,SGL366,2
弈倍景杉量化对冲,弈倍景杉量化对冲私募证券投资基金,SGS660,2
宽德飞虹43号,宽德飞虹43号私募证券投资基金,SGT399,1
钧誉厚德量化对冲3号,钧誉厚德量化对冲3号私募证券投资基金,SGR774,2
千朔指数增强二号,千朔指数增强二号私募证券投资基金,SGR991,1
众量资产致知3号,众量资产致知3号证券投资私募基金,SGT848,2
因诺中证500指数增强1号,因诺中证500指数增强1号私募证券投资基金,SGR247,2
赫富混合投资四号,赫富混合投资四号私募证券投资基金,SGT793,2
上海宽德华富3号,上海宽德华富3号私募证券投资基金,SGY248,1
明汯红橡金麟专享1号,明汯红橡金麟专享1号私募证券投资基金,SGW531,1
宏量量子智投,宏量量子智投私募证券投资基金,SGX892,2
启林愿景8号,启林愿景8号私募证券投资基金,SGY379,1
华钧悟得1期,华钧悟得1期私募证券投资基金,SGZ180,2
启林愿景1号,启林愿景1号私募证券投资基金,SGZ775,2
平方和智增1号,平方和智增1号私募证券投资基金,SJA839,2
会世元丰CTA2号,会世元丰CTA2号私募证券投资基金,SGY945,1
纽达投资可转债一号,纽达投资可转债一号私募证券投资基金,SGW516,2
平凡战谱中证500指数增强,平凡战谱中证500指数增强私募证券投资基金,SGX806,1
蒙玺纯享CTA三期,蒙玺纯享CTA三期私募证券投资基金,SJA462,1
念空瑞景1号,念空瑞景1号私募证券投资基金,SGZ812,2
因诺中证1000指数增强1号,因诺中证1000指数增强1号私募证券投资基金,SGY044,2
无隅磐石三号,无隅磐石三号私募证券投资基金,SGY228,1
群博多策略精选,群博多策略精选私募证券投资基金,SJC910,1
玉数涵瑞六号,玉数涵瑞六号私募证券投资基金,SJD168,2
双隆-进取6号,双隆-进取6号私募证券投资基金,SGJ513,1
世纪前沿量化对冲9号,世纪前沿量化对冲9号私募证券投资基金,SJD518,2
平凡信全,平凡信全私募证券投资基金,SJE514,1
澜成可转债量化精选,澜成可转债量化精选私募证券投资基金,SJC879,1
SAP智龙中证1000指数增强漓江一号,SAP智龙中证1000指数增强漓江一号私募证券投资基金,SGY648,1
鸣石金选五号,鸣石金选五号私募证券投资基金,SJE620,1
宽德金选中证500指数增强6号,宽德金选中证500指数增强6号私募证券投资基金,SJF555,1
稳博中睿6号,稳博中睿6号私募证券投资基金,SJB143,1
鸣石春天28号,鸣石春天28号私募证券投资基金,SJC016,2
艾方CTA一号,艾方CTA一号私募证券投资基金,SJK594,1
国优期权多策略1号,国优期权多策略1号私募证券投资基金,SGQ662,2
文谛量化套利六号,文谛量化套利六号私募证券投资基金,SJJ977,1
华量绰瑞汇海1号,华量绰瑞汇海1号私募证券投资基金,SJJ119,1
垒昂金鹿量化对冲3号,垒昂金鹿量化对冲3号私募证券投资基金,SJK771,1
雷菱,雷菱私募证券投资基金,SJH238,1
进化论达尔文中证500指数增强一号,进化论达尔文中证500指数增强一号私募证券投资基金,SJL601,1
聚宽进取一号,聚宽进取一号私募证券投资基金,SJJ060,1
衍复中性三号,衍复中性三号私募证券投资基金,SJH864,2
衍复指增三号,衍复指增三号私募证券投资基金,SJH866,2
衍复鲲鹏三号,衍复鲲鹏三号私募证券投资基金,SJM688,2
三亚知行通达汇智1号,三亚知行通达汇智1号私募证券投资基金,SGX190,2
嗣盈迪辐转债2号,嗣盈迪辐转债2号私募证券投资基金,SJM644,2
因诺聚配沪深300指数增强,因诺聚配沪深300指数增强私募证券投资基金,SJR645,2
尊和安盈1号,尊和安盈1号私募证券投资基金,SJR885,1
锐天标准300指数增强1号,锐天标准300指数增强1号私募证券投资基金,SJS701,1
平凡浩睿,平凡浩睿私募证券投资基金,SJS890,1
天演中证500指数增强3号,天演中证500指数增强3号私募证券投资基金,SJU836,1
喜世润黄金1号,喜世润黄金1号私募证券投资基金,SGG396,1
凯纳景泰基本面指数增强2号,凯纳景泰基本面指数增强2号私募证券投资基金,SJT004,1
世纪前沿量化对冲20号,世纪前沿量化对冲20号私募证券投资基金,SJV813,2
佳岳-实投1号,佳岳-实投1号私募证券投资基金,SJQ197,1
