fund_short_name,fund_name,register_number,price_type
长城证券金满六月2号,长城证券金满六月2号集合资产管理计划,SP4391,2
中粮信托-通达1号,中粮信托-通达1号集合资金信托计划,SR7167,2
丰润2号,丰润2号资产管理计划,SR6636,2
长城证券金盈四季1号,长城证券金盈四季1号集合资产管理计划,SP4414,2
国投安信金沣1号定增,国投安信金沣1号定增资产管理计划,SR5524,2
弘业智仁二期,弘业智仁二期资产管理计划,SR7330,2
弘业智仁一期,弘业智仁一期资产管理计划,SR7327,2
国联定增宝5号,国联定增宝5号集合资产管理计划,SQ5345,2
华润信托恒盛涌峰,华润信托恒盛涌峰集合资金信托计划,SR7386,2
聚利8号,聚利8号证券投资单一资金信托,SR7469,2
云南信托.聚鑫文鼎1号,云南信托.聚鑫文鼎1号集合资金信托计划,SR7755,2
兴业信托·兴享进取和聚1号,兴业信托·兴享进取和聚1号证券投资集合资金信托计划,SR7176,2
兴业信托·兴享进取重阳1号,兴业信托·兴享进取重阳1号证券投资集合资金信托计划,SR7379,2
渤海信托-世旗13号单一资金信托,渤海信托·世旗13号单一资金信托,SR8100,2
兴业信托.兴享进取理成1号,兴业信托.兴享进取理成1号证券投资集合资金信托计划,SR6970,2
华润信托-恒盛朱雀,华润信托·恒盛朱雀集合资金信托计划,SR7030,2
云信永盈7号,云信永盈7号证券投资集合资金信托计划,SR7484,2
长城云景二号,长城云景二号集合资产管理计划,SP4390,2
国投安信期货-韬韫2号,国投安信期货-韬韫2号资产管理计划,SR6104,2
云信-瑞阳2016-16号,云信-瑞阳2016-16号集合资金信托计划,SR5414,2
