fund_short_name,fund_name,register_number,price_type
九章幻方中证500量化多策略1号,九章幻方中证500量化多策略1号私募基金,SR6089,1
致远中证500指数加强,致远中证500指数加强私募基金,SR0088,1
信弘星盈1号,信弘星盈1号私募证券投资基金,SM3377,2
灵均投资商品期货专项1期,灵均投资商品期货专项1期私募证券投资基金,SM9474,1
靖奇金牛思锐,靖奇金牛思锐私募基金,SM9333,2
黑翼CTA-T1,黑翼CTA-T1私募基金,SM9635,1
龙旗红旭,龙旗红旭私募投资基金,SM4569,2
致远CTA精选2期,致远CTA精选2期私募证券投资基金,SM0417,1
宏锡量化2号,宏锡量化2号私募证券投资基金,SJ0437,1
上海宽德卓越,上海宽德卓越私募证券投资基金,SJ5143,2
平凡悟鑫,平凡悟鑫证券投资基金,SJ2870,1
明得浩伦CTA一号,明得浩伦CTA一号私募证券投资基金,SE6459,1
双隆-隆盛6号,双隆-隆盛6号私募证券投资基金,SE7503,1
远澜云杉,远澜云杉期货基金,S83994,1
双隆-隆元1号,双隆-隆元1号私募证券投资基金,S28439,1
进化论复合策略一号基金,进化论复合策略一号证券投资基金,S28619,1
因诺启航1号,因诺启航1号私募证券投资基金,S25540,1
上海宽德共赢,上海宽德共赢私募证券投资基金,S26541,2
龙旗紫微量化对冲基金,龙旗紫微量化对冲基金,S21883,2
珏朔朴道量化CTA稳健一号,珏朔朴道量化CTA稳健一号私募基金,SR1420,1
均成CTA1号,均成CTA1号私募投资基金,SS0221,1
泓湖稳健宏观对冲,泓湖稳健宏观对冲私募证券投资基金,S28048,1
因诺期权2号,因诺期权2号私募证券投资基金,S34941,1
龙旗巨星一号,龙旗巨星一号私募投资基金,SH7639,2
众壹资产宏观宝,众壹资产宏观宝私募证券投资基金,SS2790,1
国源不争0号,国源不争0号私募证券投资基金,SR9931,1
平方和信享,平方和信享私募证券投资基金,SS4433,2
鸣石春天沪深300指数增强1号,鸣石春天沪深300指数增强1号私募投资基金,SS3397,2
因诺天丰1号,因诺天丰1号私募证券投资基金,SS8359,2
天演赛能基金,天演赛能证券投资基金,SJ6013,1
久期量和指数1号,久期量和指数1号私募证券投资基金,SJ8129,1
致远22号,致远22号私募投资基金,SS9047,2
鸣石春天指数增强6号,鸣石春天指数增强 6 号私募证券投资基金,SS9515,1
达一号量化,达一号量化私募投资基金,ST2106,1
远澜翠柏1号,远澜翠柏1号私募证券投资基金,SS9088,1
九坤日享中证500指数增强1号,九坤日享中证500指数增强1号私募基金,ST9804,1
远惟风雪2号,远惟风雪2号私募证券投资基金,SL3681,1
明汯中性1号,明汯中性1号私募证券投资基金,ST7452,2
思源1号,思源1号私募证券投资基金,ST6924,1
正瀛权智1号,正瀛权智1号私募基金,ST8076,2
平凡战泓,平凡战泓私募证券投资基金,SW7097,1
仁桥泽源1期,仁桥泽源1期私募证券投资基金,SW5334,1
白鹭FoF演武场一号,白鹭FoF演武场一号私募投资基金,SX0748,1
旭诺CTA一号,旭诺CTA一号私募基金,SW8015,1
靖奇睿科三号,靖奇睿科三号私募基金,SW9335,1
靖奇睿科五号,靖奇睿科五号私募基金,SW9337,2
黛眉杉树,黛眉杉树私募证券投资基金,SW9623,2
弈倍虎鲸,弈倍虎鲸私募投资基金,SY0096,2
固禾翡翠一号,固禾翡翠一号私募投资基金,SY0256,1
时代复兴东兆长泰CTA一号,时代复兴东兆长泰CTA一号私募基金,SY2762,1
