fund_short_name,fund_name,register_number,price_type
金澹量化市场中性1号,金澹量化市场中性1号私募证券投资基金,SY4286,2
辛巴达母基金,辛巴达母基金私募证券投资基金,SX9709,1
英仕曼宏量1号,英仕曼宏量1号私募基金,SY4405,1
量桥投资聚川二号,量桥投资聚川二号私募投资基金,SY6560,2
龙旗御风,龙旗御风私募投资基金,SCA340,2
涵德盈冲量化CTA1号,涵德盈冲量化CTA1号私募证券投资基金,SY1781,1
平方和量化精选1号,平方和量化精选1号私募基金,SY7087,2
星辰之喜岳2号增强,星辰之喜岳2号增强私募证券投资基金,SY2984,1
丹羿-锐进1号,丹羿-锐进1号私募证券投资基金,SX8958,2
翔云50,翔云50私募证券投资基金,SY6829,2
悬铃A号,悬铃A号私募基金,SCH558,1
无隅磐石一号,无隅磐石一号私募投资基金,SCJ566,1
九鞅禾瑞八号,九鞅禾瑞八号私募证券投资基金,SCK972,1
涵德明德中证500指数增强1号,涵德明德中证500指数增强1号私募证券投资基金,SY1794,1
致远激进一号,致远激进一号私募证券投资基金,SY3702,2
联海宏观套利1号,联海宏观套利1号私募证券投资基金,SCJ958,1
甬远稳健增长二期,甬远稳健增长私募证券投资基金二期,SCN675,2
京华祥瑞2号,京华祥瑞2号私募投资基金,SY2586,1
立心-私募学院菁英353号,立心-私募学院菁英353号私募基金,SCJ476,2
朴时CTA二号,朴时CTA二号私募证券投资基金,SCS411,1
茂源巴舍里耶2期,茂源巴舍里耶2期私募证券投资基金,SCV226,2
九坤日享中证1000指数增强1号,九坤日享中证1000指数增强1号私募基金,SCP381,1
无隅鲲鹏一号,无隅鲲鹏一号私募投资基金,SCS762,2
旌安1号,旌安1号私募投资基金,SCU345,1
海浦超平面中证500指数增强1号,海浦超平面中证500指数增强1号私募基金,SCY312,1
众壹资产量合兴成一号,众壹资产量合兴成一号私募证券投资基金,SCV067,2
衍盛指数增强1号,衍盛指数增强1号私募投资基金,SCY352,2
千象卓越2号中证500指数增强,千象卓越2号中证500指数增强私募证券投资基金,SEA491,1
开思港股通中国优势,开思港股通中国优势私募基金,SED129,1
盛冠达中证500指数增强1号,盛冠达中证500指数增强1号私募基金,SEC354,1
安值福慧量化1号,安值福慧量化1号私募证券基金,SCP765,1
社润悟林一号,社润悟林一号私募基金,SED926,1
元涞潜龙一号,元涞潜龙一号私募基金,SEC547,1
金澹中证500量化精选1号,金澹中证500量化精选1号私募证券基金,SEF332,1
量道CTA精选1号,量道CTA精选1号私募证券投资基金,SEE186,1
平凡股道,平凡股道私募投资基金,SEE276,1
会世元丰CTA1号,会世元丰CTA1号私募投资基金,SEC905,2
白鹭500指数增强南强二号,白鹭500指数增强南强二号私募证券投资基金,SEH303,1
