target,found_name,register_number,price_type
翔云,翔云50,SY6829,2
立心,立心-私募学院菁英353号,SCJ476,2
鲲鹏,无隅鲲鹏一号,SCS762,2
鲲鹏,鲲鹏8号进取型,SEG776,2
鲲鹏,衍复鲲鹏三号,SJM688,2
立心,立心学院菁英7号,SLD230,2
赢仕安盈,赢仕安盈二号,SLQ349,2
正仁股票择时,正仁股票择时二期,SLZ218,2
鲲鹏,白鹭精选量化鲲鹏十号,SQB109,1
特夫,特夫郁金香全量化,SQX078,2
顽岩,顽岩中证500指数增强1号,SSA143,1
时间序列红利,时间序列红利增强1号,SSV122,1
海鹏扬帆,海鹏扬帆,SSR379,2
顽岩,顽岩东方路,STA785,1
具力芒种,具力芒种1号,STE836,2
鲲鹏,无隅鲲鹏科创一号,STK222,2
鲲鹏,无隅鲲鹏300一号,STN719,2
鲲鹏,无隅鲲鹏800一号,STQ720,2
特夫,特夫郁金香量化混合1号,STN967,2
特夫,特夫郁金香量化混合1号B类,TN967B,2
鲲鹏,无隅鲲鹏量化多头二号,STU300,2
翔云,翔云50二号,SVB166,2
具力芒种,具力芒种6号,SVA617,2
顽岩,顽岩中证2000指数增强1号,SVT259,2
鲲鹏,格林基金鲲鹏7号,SJG396,2
鲲鹏,格林基金鲲鹏1号,SEE179,2
鲲鹏,格林基金鲲鹏6号,SVZ638,2
铭跃行远,铭跃行远均衡一号,SVZ009,2
顽岩,顽岩量化对冲10号,SXC412,2
正仁双创,正仁双创择时一号,SXG834,2
碳硅,碳硅1号,SXJ836,2
翔云,翔云50二号A类,VB166A,2
涌泉君安,涌泉君安三号,SZM385,2
波克,波克稳健多策略1号,SZR642,1
波克,波克平衡多策略1号,SZR639,1
波克,波克远见优选,SZN654,1
波克,波克天工量化对冲1号,SB0679,2
波克,波克锐进多策略1号,SB4549,1
波克,波克天工量化指增1号,SB9154,2
顾锝,创世纪顾锝新锐1号,SACQ68,2
