基金代码,基金名称,基金公司,基金类型,投资类型,股票仓位(%),3个月收益(%),6个月收益(%),9个月收益(%),重点管理人
022226.OF,鹏华双债加利D,鹏华基金,债券型,债券型,0.0,2.361769352290688,3.3495494058537467,14.539508573448835,是
022577.OF,鹏华信用增利D,鹏华基金,债券型,增利型,0.0,1.4244759003762875,3.1526195899772347,7.665240133143136,是
019602.OF,鹏华精新添利A,鹏华基金,债券型,债券型,0.0,0.0,-0.7142227316815242,7.217672824223942,是
019603.OF,鹏华精新添利C,鹏华基金,债券型,债券型,0.0,0.0,-0.6967104682952696,7.217672824223942,是
017414.OF,易方达安盈回报C,易方达基金,混合型,混合型,0.0,0.0,0.0,7.139588100686511,是
022261.OF,鹏华丰利D,鹏华基金,债券型,债券型,0.0,1.5915119363395291,0.0,4.315260873265814,是
017820.OF,鹏华丰利C,鹏华基金,债券型,债券型,0.0,1.4911965504850855,0.0,4.0044186688759975,是
015257.OF,鹏华畅享C,鹏华基金,债券型,债券型,0.0,0.0,1.0096497498213175,3.772718927850205,是
022263.OF,鹏华丰诚B,鹏华基金,债券型,债券型,0.0,1.13073544528548,1.7966324898880837,3.0863021527909984,是
019287.OF,鹏华丰诚D,鹏华基金,债券型,债券型,0.0,1.1301989150090286,0.0,3.078057321905825,是
015802.OF,鹏华稳健恒利A,鹏华基金,债券型,债券型,0.0,0.4790981681540796,1.9346230820547206,2.737489194121623,是
015803.OF,鹏华稳健恒利C,鹏华基金,债券型,债券型,0.0,0.4076988717170771,1.79755839661635,2.5070177136772953,是
022984.OF,鹏华纯债B,鹏华基金,债券型,债券型,0.0,0.0,1.10873370939506,2.4842271293375573,是
022280.OF,鹏华纯债A,鹏华基金,债券型,债券型,0.0,0.641025641025661,1.095627102354646,2.454465764098579,是
022989.OF,鹏华丰收A,鹏华基金,债券型,收益型,0.0,0.0,0.0,1.862745098039209,是
020739.OF,鹏华稳益180天持有A,鹏华基金,债券型,债券型,0.0,0.0,1.4835112916942395,1.7527238275698576,是
020317.OF,鹏华丰达C,鹏华基金,债券型,债券型,0.0,0.8021895054737493,0.0,1.6270218839200767,是
020740.OF,鹏华稳益180天持有C,鹏华基金,债券型,债券型,0.0,0.0,1.3837550943038845,1.5955931237534582,是
018080.OF,鹏华稳健添利A,鹏华基金,债券型,债券型,0.0,0.4179918218991219,0.7108356875968225,1.5250344510794545,是
021068.OF,鹏华双季乐180天持有A,鹏华基金,债券型,债券型,0.0,0.0,1.2679950424254072,1.4323911382734922,是
018081.OF,鹏华稳健添利C,鹏华基金,债券型,债券型,0.0,0.37463450292396505,0.0,1.3656916120697637,是
023069.OF,鹏华添泽120天滚动持有C,鹏华基金,债券型,债券型,0.0,0.0,1.2344459806438834,1.3645802432512344,是
022991.OF,鹏华丰收D,鹏华基金,债券型,收益型,0.0,0.0,0.0,1.274509803921564,是
017989.OF,易方达安益90天持有A,易方达基金,债券型,债券型,0.0,0.0,0.0,1.261057782796926,是
013808.OF,易方达稳悦120天滚动持有短债A,易方达基金,债券型,债券型,0.0,0.0,0.0,1.2401855817273377,是
014446.OF,鹏华稳瑞中短债A,鹏华基金,债券型,债券型,0.0,0.0,1.0648948757622678,1.2215132178669208,是
021069.OF,鹏华双季乐180天持有C,鹏华基金,债券型,债券型,0.0,0.0,1.1300517142309952,1.1978917105893494,是
017990.OF,易方达安益90天持有C,易方达基金,债券型,债券型,0.0,0.0,0.0,1.1145744781335676,是
020318.OF,鹏华丰宁C,鹏华基金,债券型,债券型,0.0,0.0,1.1902476483010238,1.0835171157349777,是
016609.OF,鹏华丰启,鹏华基金,债券型,债券型,0.0,0.7836102719033233,1.1848341232227444,1.0507383566830564,是
015530.OF,鹏华稳福中短债A,鹏华基金,债券型,债券型,0.0,0.0,0.8280254777070173,1.0210593490746822,是
013536.OF,鹏华稳华90天滚动持有A,鹏华基金,债券型,债券型,0.0,0.0,0.7793818085200632,1.0209517045454364,是
020448.OF,鹏华双季红180天持有C,鹏华基金,债券型,债券型,0.0,0.627928772258679,0.0,0.9401146939926663,是
022236.OF,鹏华稳瑞中短债E,鹏华基金,债券型,债券型,0.0,0.0,0.8897485493229995,0.9287925696594312,是
022131.OF,鹏华普利E,鹏华基金,债券型,债券型,0.0,0.0,1.0330578512396604,0.9238329238329124,是
022163.OF,鹏华稳利短债D,鹏华基金,债券型,债券型,0.0,0.5109560774294808,0.768397202246085,0.9075663411265644,是
013537.OF,鹏华稳华90天滚动持有C,鹏华基金,债券型,债券型,0.0,0.0,0.6873158975274407,0.8764085136826916,是
015531.OF,鹏华稳福中短债C,鹏华基金,债券型,债券型,0.0,0.0,0.6797097455681245,0.7815373299007167,是
019302.OF,鹏华产业债C,鹏华基金,债券型,债券型,0.0,0.6713313161875734,0.0,0.6618133686300265,是
018087.OF,鹏华双债增利C,鹏华基金,债券型,债券型,0.0,0.14184397163119478,0.047236655644766756,0.6175771971496324,是
015653.OF,鹏华永平6个月定开,鹏华基金,债券型,债券型,0.0,0.5649717514124353,0.8732813080639223,0.5929219937002239,是
019539.OF,鹏华丰玉C,鹏华基金,债券型,债券型,0.0,0.4130679684566374,0.8771102518155383,0.5641218503196654,是
019204.OF,鹏华丰康C,鹏华基金,债券型,债券型,0.0,0.7987531657899893,1.0546874999999956,0.5636540330417938,是
013538.OF,鹏华永宁3个月定开,鹏华基金,债券型,债券型,0.0,0.6792729943088105,1.022381873445699,0.5500550055005604,是
022761.OF,鹏华绿色,鹏华基金,债券型,债券型,0.0,0.45450054342455193,0.0,0.5339661821417874,是
016331.OF,鹏华创兴增利D,鹏华基金,债券型,债券型,0.0,0.0,0.5331862474719395,0.5331862474719395,是
014315.OF,鹏华双季享180天持有A,鹏华基金,债券型,债券型,0.0,0.0,0.9627611262488678,0.5245071441490445,是
