基金代码,基金名称,基金公司,固收+类型,股票仓位(%),债券贡献(%),加的贡献(%),90天规模变化(%),易方达/鹏华
027063.OF,鹏华创新驱动C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
026598.OF,易方达如意盈泽6个月持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
026599.OF,易方达如意盈泽6个月持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
026066.OF,易方达成长驱动A,易方达基金,纯债/其他,0.0,0,0,0.0,是
026067.OF,易方达成长驱动C,易方达基金,纯债/其他,0.0,0,0,0.0,是
026198.OF,易方达悦恒稳健C,易方达基金,纯债/其他,0.0,0,0,0.0,是
026197.OF,易方达悦恒稳健A,易方达基金,纯债/其他,0.0,0,0,0.0,是
026648.OF,易方达港股通消费A,易方达基金,纯债/其他,0.0,0,0,0.0,是
026649.OF,易方达港股通消费C,易方达基金,纯债/其他,0.0,0,0,0.0,是
026437.OF,鹏华添鑫90天持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
026436.OF,鹏华添鑫90天持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
026541.OF,鹏华成长进取C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
026540.OF,鹏华成长进取A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
026196.OF,易方达港股通医药C,易方达基金,纯债/其他,0.0,0,0,0.0,是
026195.OF,易方达港股通医药A,易方达基金,纯债/其他,0.0,0,0,0.0,是
025920.OF,易方达平衡精选,易方达基金,纯债/其他,0.0,0,0,0.0,是
026251.OF,易方达消费机遇A,易方达基金,纯债/其他,0.0,0,0,0.0,是
026252.OF,易方达消费机遇C,易方达基金,纯债/其他,0.0,0,0,0.0,是
025922.OF,易方达如意盈享6个月持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
025921.OF,易方达如意盈享6个月持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
026373.OF,鹏华中债0-3年政策性金融债I,鹏华基金,纯债/其他,0.0,0,0,0.0,是
026133.OF,鹏华睿和90天持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
026134.OF,鹏华睿和90天持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025950.OF,鹏华易选稳健3个月持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025951.OF,鹏华易选稳健3个月持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025731.OF,鹏华睿享180天持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025730.OF,鹏华睿享180天持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025684.OF,易方达优势进取A,易方达基金,纯债/其他,0.0,0,0,0.0,是
025685.OF,易方达优势进取C,易方达基金,纯债/其他,0.0,0,0,0.0,是
026080.OF,鹏华创兴增利E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025823.OF,易方达如意盈安6个月持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
025918.OF,易方达科技先锋A,易方达基金,纯债/其他,0.0,0,0,0.0,是
025822.OF,易方达如意盈安6个月持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
025919.OF,易方达科技先锋C,易方达基金,纯债/其他,0.0,0,0,0.0,是
025947.OF,鹏华1-3年国开债I,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025946.OF,鹏华中债-0-3年AA+优选信用债指数I,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025988.OF,鹏华创新未来A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025776.OF,鹏华启航量化选股,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025824.OF,易方达产业优选A,易方达基金,纯债/其他,0.0,0,0,0.0,是
025825.OF,易方达产业优选C,易方达基金,纯债/其他,0.0,0,0,0.0,是
025630.OF,鹏华安泰中短债C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025635.OF,鹏华易选平衡3个月持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025629.OF,鹏华安泰中短债A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025634.OF,鹏华易选平衡3个月持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025631.OF,鹏华睿丰A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025915.OF,鹏华产业债D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025632.OF,鹏华睿丰C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025886.OF,鹏华新兴产业C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025649.OF,易方达港股通科技C,易方达基金,纯债/其他,0.0,0,0,0.0,是
025341.OF,鹏华制造升级C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025340.OF,鹏华制造升级A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025648.OF,易方达港股通科技A,易方达基金,纯债/其他,0.0,0,0,0.0,是
025701.OF,易方达科技创新C,易方达基金,纯债/其他,0.0,0,0,0.0,是
019664.OF,易方达养老目标日期2060五年持有,易方达基金,纯债/其他,0.0,0,0,0.0,是
025375.OF,鹏华稳健添利F,鹏华基金,纯债/其他,0.0,0,0,0.0,是
025057.OF,易方达价值回报,易方达基金,纯债/其他,0.0,0,0,0.0,是
024285.OF,易方达安如30天持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
024919.OF,易方达港股通红利C,易方达基金,纯债/其他,0.0,0,0,0.0,是
024284.OF,易方达安如30天持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
024987.OF,鹏华稳健添利D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
551500.SH,科创债ETF易方达,易方达基金,纯债/其他,0.0,0,0,0.0,是
551030.SH,科创债ETF鹏华,鹏华基金,纯债/其他,0.0,0,0,0.0,是
160641.SZ,鹏华丰锐LOF,鹏华基金,纯债/其他,0.0,0,0,0.0,是
024468.OF,鹏华共赢未来C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
024467.OF,鹏华共赢未来A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
024450.OF,易方达成长进取A,易方达基金,纯债/其他,0.0,0,0,0.0,是
024451.OF,易方达成长进取C,易方达基金,纯债/其他,0.0,0,0,0.0,是
024428.OF,鹏华畅享D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
024312.OF,易方达汇享保守养老目标一年持有Y,易方达基金,纯债/其他,0.0,0,0,0.0,是
023636.OF,易方达安旭90天持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
023637.OF,易方达安旭90天持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
023772.OF,鹏华稳健添利E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
023771.OF,鹏华弘泰E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022772.OF,易方达稳裕120天滚动持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
022773.OF,易方达稳裕120天滚动持有C,易方达基金,纯债/其他,0.0,0,0,0.0,是
023302.OF,鹏华添和30天持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
023301.OF,鹏华添和30天持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
023006.OF,易方达汇享保守养老目标一年持有A,易方达基金,纯债/其他,0.0,0,0,0.0,是
023068.OF,鹏华添泽120天滚动持有A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
511110.SH,公司债ETF易方达,易方达基金,纯债/其他,0.0,0,0,0.0,是
023069.OF,鹏华添泽120天滚动持有C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022991.OF,鹏华丰收D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022970.OF,鹏华安泽D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022989.OF,鹏华丰收A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022990.OF,鹏华丰收C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022761.OF,鹏华绿色,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022984.OF,鹏华纯债B,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022972.OF,鹏华弘信D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022974.OF,鹏华弘实D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022743.OF,鹏华增瑞(LOF)C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022577.OF,鹏华信用增利D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022574.OF,鹏华丰达D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
021720.OF,鹏华中债0-3年政策性金融债A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
021721.OF,鹏华中债0-3年政策性金融债C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022510.OF,鹏华丰盛稳固收益A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022511.OF,鹏华丰盛稳固收益D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022477.OF,鹏华丰顺C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022193.OF,鹏华安诚D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022194.OF,鹏华安诚E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022190.OF,鹏华金城灵活配置C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022189.OF,鹏华金城灵活配置A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022359.OF,易方达7-10年国开行D,易方达基金,纯债/其他,0.0,0,0,0.0,是
022371.OF,鹏华弘泰D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022373.OF,鹏华金享C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022370.OF,鹏华安益增强C,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022369.OF,鹏华安益增强A,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022282.OF,鹏华弘华E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022267.OF,鹏华中债-0-3年AA+优选信用债指数D,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022284.OF,鹏华弘信E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
022283.OF,鹏华安泽E,鹏华基金,纯债/其他,0.0,0,0,0.0,是
