date,heavy_pe,light_pe,pe_gap
2025-04-17,22.45,10.99,11.46
2025-04-21,22.07,10.77,11.3
2025-04-22,21.57,11.14,10.42
2025-04-23,21.74,11.34,10.4
2025-04-24,21.79,11.62,10.17
2025-04-25,21.96,11.62,10.34
2025-04-28,22.02,11.62,10.4
2025-04-29,22.14,11.67,10.47
2025-04-30,22.14,11.63,10.52
2025-05-01,22.12,11.74,10.38
2025-05-02,22.28,12.03,10.25
2025-05-05,22.11,11.98,10.13
2025-05-06,22.12,11.84,10.29
2025-05-07,22.16,11.88,10.28
2025-05-08,22.19,12.12,10.07
2025-05-09,22.29,12.13,10.16
2025-05-12,22.21,12.6,9.61
2025-05-13,22.06,12.82,9.24
2025-05-14,21.87,12.97,8.9
2025-05-15,22.52,13.03,9.49
2025-05-16,22.64,13.06,9.58
2025-05-19,22.68,12.96,9.72
2025-05-20,22.78,12.89,9.89
2025-05-21,22.41,12.56,9.85
2025-05-22,22.1,12.61,9.49
2025-05-23,22.08,12.6,9.48
2025-05-27,22.28,12.9,9.38
2025-05-28,21.99,12.79,9.2
2025-05-29,22.24,12.81,9.43
2025-05-30,22.56,12.77,9.79
2025-06-02,22.53,12.77,9.75
2025-06-03,22.59,12.86,9.72
2025-06-04,22.51,12.79,9.73
2025-06-05,22.55,12.86,9.69
2025-06-06,22.66,13.03,9.63
2025-06-09,22.75,13.03,9.72
2025-06-10,22.75,13.07,9.68
2025-06-11,22.8,13.09,9.71
2025-06-12,23.0,13.09,9.91
2025-06-13,23.46,12.88,10.57
2025-06-16,23.14,13.08,10.06
2025-06-17,23.23,13.02,10.21
2025-06-18,22.99,13.25,9.74
2025-06-20,23.1,13.33,9.77
2025-06-23,23.12,13.49,9.63
2025-06-24,22.8,13.68,9.12
2025-06-25,22.75,13.82,8.93
2025-06-26,22.93,14.06,8.87
2025-06-27,23.02,14.06,8.96
2025-06-30,22.06,13.98,8.09
2025-07-01,22.29,14.04,8.24
2025-07-02,22.2,14.19,8.01
2025-07-03,22.34,14.33,8.01
2025-07-07,22.43,14.19,8.24
2025-07-08,22.29,13.84,8.45
2025-07-09,22.45,13.83,8.62
2025-07-10,22.64,14.0,8.64
2025-07-11,22.64,13.93,8.71
2025-07-14,22.8,14.06,8.75
2025-07-15,22.66,13.85,8.8
2025-07-16,22.75,13.82,8.93
2025-07-17,22.76,13.95,8.81
2025-07-18,22.71,13.95,8.75
2025-07-21,22.72,13.94,8.78
2025-07-22,22.65,13.92,8.73
2025-07-23,22.86,14.15,8.71
2025-07-24,22.79,14.18,8.61
2025-07-25,22.85,14.27,8.57
2025-07-28,22.73,14.22,8.51
2025-07-29,22.9,14.25,8.65
2025-07-30,22.85,14.3,8.55
2025-07-31,22.87,14.11,8.76
2025-08-01,22.87,13.76,9.11
2025-08-04,22.96,13.97,8.99
2025-08-05,22.94,13.87,9.07
2025-08-06,22.97,13.9,9.07
2025-08-07,23.03,13.78,9.25
2025-08-08,22.93,13.95,8.99
2025-08-11,22.92,13.97,8.95
2025-08-12,22.91,14.31,8.6
2025-08-13,23.12,14.29,8.84
2025-08-14,23.01,14.39,8.61
2025-08-15,23.05,14.11,8.93
2025-08-18,23.07,14.2,8.87
2025-08-19,23.19,14.13,9.06
2025-08-20,23.38,14.16,9.22
2025-08-21,23.39,14.12,9.26
2025-08-22,23.43,14.5,8.93
2025-08-25,23.31,14.45,8.86
2025-08-26,23.48,14.63,8.84
2025-08-27,23.47,14.67,8.8
2025-08-28,23.38,14.72,8.65
2025-08-29,23.35,14.72,8.63
2025-09-02,23.32,14.57,8.75
2025-09-03,23.14,14.53,8.6
2025-09-04,23.17,14.77,8.4
2025-09-05,23.13,14.48,8.65
2025-09-08,22.93,14.47,8.46
2025-09-09,22.84,14.79,8.05
2025-09-10,23.13,14.89,8.24
2025-09-11,23.36,15.13,8.22
2025-09-12,23.27,15.11,8.16
2025-09-15,23.35,15.17,8.18
2025-09-16,23.28,15.15,8.13
2025-09-17,23.3,15.32,7.98
2025-09-18,23.26,15.49,7.77
2025-09-19,23.27,15.53,7.74
