date,ppi_yoy,ppi_mom,core_cpi_yoy,core_cpi_mom,m1_yoy,m2_yoy,m1_m2_scissors,profit_cycle_score,ppi_yoy_change,core_cpi_change,scissors_change,profit_cycle_stage,demand_recovery_score
19511231,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,筑底,33
19521231,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0,0.0,-9.8,0.0,筑底,33
19531231,0.0,0.0,5.1,0.0,0.0,0.0,0.0,1,0.0,2.3999999999999995,0.0,筑底,33
19541231,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0,0.0,-3.6999999999999997,0.0,筑底,33
19551231,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,-1.0999999999999999,0.0,筑底,0
19561231,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0,0.0,-0.4,0.0,筑底,0
19571231,0.0,0.0,2.6,0.0,0.0,0.0,0.0,1,0.0,2.7,0.0,筑底,33
19581231,0.0,0.0,-1.1,0.0,0.0,0.0,0.0,0,0.0,-3.7,0.0,筑底,0
19591231,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1,0.0,1.4000000000000001,0.0,筑底,0
19601231,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1,0.0,2.2,0.0,筑底,33
19611231,0.0,0.0,16.1,0.0,0.0,0.0,0.0,1,0.0,13.600000000000001,0.0,筑底,33
19621231,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0,0.0,-12.3,0.0,筑底,33
19631231,0.0,0.0,-5.9,0.0,0.0,0.0,0.0,0,0.0,-9.7,0.0,筑底,0
19641231,0.0,0.0,-3.7,0.0,0.0,0.0,0.0,1,0.0,2.2,0.0,筑底,0
19651231,0.0,0.0,-1.2,0.0,0.0,0.0,0.0,1,0.0,2.5,0.0,筑底,0
19661231,0.0,0.0,-1.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,筑底,0
19671231,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,1,0.0,0.6,0.0,筑底,0
19681231,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1,0.0,0.7,0.0,筑底,0
19691231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.9,0.0,筑底,0
19701231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.0,0.0,筑底,0
19711231,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0,0.0,-0.1,0.0,筑底,0
19721231,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1,0.0,0.30000000000000004,0.0,筑底,0
19731231,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,-0.1,0.0,筑底,0
19741231,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1,0.0,0.6,0.0,筑底,0
19751231,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0,0.0,-0.29999999999999993,0.0,筑底,0
19761231,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,-0.10000000000000003,0.0,筑底,0
19771231,0.0,0.0,2.7,0.0,0.0,0.0,0.0,1,0.0,2.4000000000000004,0.0,筑底,33
19780131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,筑底,0
19780228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,筑底,0
19780331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,筑底,0
19780430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,筑底,0
19780531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,筑底,0
