date,heavy_pe,light_pe,pe_gap
2025-05-08,22.19,12.22,9.97
2025-05-09,22.29,12.24,10.05
2025-05-12,22.21,12.75,9.45
2025-05-13,22.06,13.01,9.05
2025-05-14,21.87,13.17,8.71
2025-05-15,22.52,13.22,9.3
2025-05-16,22.64,13.26,9.38
2025-05-19,22.68,13.17,9.52
2025-05-20,22.78,13.06,9.72
2025-05-21,22.41,12.69,9.72
2025-05-22,22.1,12.76,9.34
2025-05-23,22.08,12.75,9.33
2025-05-27,22.28,13.08,9.2
2025-05-28,21.99,12.95,9.04
2025-05-29,22.24,12.97,9.27
2025-05-30,22.56,12.92,9.64
2025-06-02,22.53,12.92,9.61
2025-06-03,22.59,13.02,9.57
2025-06-04,22.51,12.94,9.57
2025-06-05,22.55,13.08,9.47
2025-06-06,22.66,13.24,9.42
2025-06-09,22.75,13.23,9.52
2025-06-10,22.75,13.25,9.49
2025-06-11,22.8,13.28,9.51
2025-06-12,23.0,13.28,9.72
2025-06-13,23.46,13.06,10.39
2025-06-16,23.14,13.24,9.9
2025-06-17,23.23,13.17,10.06
2025-06-18,22.99,13.41,9.58
2025-06-20,23.1,13.5,9.6
2025-06-23,23.12,13.66,9.46
2025-06-24,22.8,13.87,8.93
2025-06-25,22.75,14.01,8.74
2025-06-26,22.93,14.26,8.67
2025-06-27,23.02,14.29,8.73
2025-06-30,22.06,13.94,8.13
2025-07-01,22.29,14.01,8.27
2025-07-02,22.2,14.19,8.01
2025-07-03,22.34,14.31,8.03
2025-07-07,22.43,14.18,8.25
2025-07-08,22.29,13.86,8.42
2025-07-09,22.45,13.85,8.6
2025-07-10,22.64,14.0,8.64
2025-07-11,22.64,13.92,8.71
2025-07-14,22.8,14.06,8.74
2025-07-15,22.66,13.82,8.83
2025-07-16,22.75,13.79,8.95
2025-07-17,22.76,13.9,8.86
2025-07-18,22.71,13.88,8.83
2025-07-21,22.72,13.86,8.85
2025-07-22,22.65,13.84,8.81
2025-07-23,22.86,14.06,8.8
2025-07-24,22.79,14.1,8.69
2025-07-25,22.85,14.19,8.65
2025-07-28,22.73,14.12,8.61
2025-07-29,22.9,14.19,8.71
2025-07-30,22.85,14.22,8.64
2025-07-31,22.87,14.01,8.86
2025-08-01,22.87,13.66,9.21
2025-08-04,22.96,13.86,9.1
2025-08-05,22.94,13.77,9.17
2025-08-06,22.97,13.81,9.16
2025-08-07,23.03,13.72,9.31
2025-08-08,22.93,13.91,9.02
2025-08-11,22.92,13.94,8.98
2025-08-12,22.91,14.33,8.58
2025-08-13,23.12,14.34,8.79
2025-08-14,23.01,14.42,8.58
2025-08-15,23.05,14.11,8.94
2025-08-18,23.07,14.2,8.87
2025-08-19,23.19,14.13,9.06
2025-08-20,23.38,14.15,9.23
2025-08-21,23.39,14.11,9.28
2025-08-22,23.43,14.52,8.9
2025-08-25,23.31,14.49,8.82
2025-08-26,23.48,14.67,8.8
2025-08-27,23.47,14.7,8.77
2025-08-28,23.38,14.75,8.63
2025-08-29,23.35,14.75,8.6
2025-09-02,23.32,14.57,8.76
2025-09-03,23.14,14.52,8.62
2025-09-04,23.17,14.76,8.41
2025-09-05,23.13,14.53,8.6
2025-09-08,22.93,14.55,8.38
2025-09-09,22.84,14.89,7.95
2025-09-10,23.13,14.98,8.15
2025-09-11,23.36,15.22,8.13
2025-09-12,23.27,15.17,8.1
2025-09-15,23.35,15.22,8.13
2025-09-16,23.28,15.19,8.09
2025-09-17,23.3,15.37,7.93
2025-09-18,23.26,15.57,7.69
2025-09-19,23.27,15.61,7.66
2025-09-22,23.42,15.61,7.81
2025-09-23,23.61,15.6,8.01
2025-09-24,23.79,15.4,8.38
2025-09-25,23.76,15.47,8.29
2025-09-26,24.07,15.59,8.47
2025-09-29,23.99,15.66,8.33
2025-09-30,23.51,14.3,9.21
2025-10-01,23.58,14.1,9.48
2025-10-02,23.49,13.99,9.5
2025-10-03,23.73,14.15,9.59
2025-10-06,24.06,14.18,9.88
2025-10-07,24.14,14.06,10.08
2025-10-08,24.25,13.93,10.32
2025-10-09,23.96,13.97,9.99
2025-10-10,23.76,13.63,10.12
2025-10-13,23.81,13.9,9.91
2025-10-14,23.97,13.91,10.06
2025-10-15,23.82,14.32,9.5
2025-10-16,23.57,14.02,9.55
2025-10-17,23.6,13.95,9.65
2025-10-20,23.85,14.2,9.65
2025-10-21,24.0,14.04,9.96
2025-10-22,24.1,13.88,10.21
2025-10-23,24.17,14.02,10.15
2025-10-24,24.23,14.43,9.81
2025-10-27,24.3,14.57,9.73
2025-10-28,24.02,14.55,9.47
2025-10-29,23.8,14.43,9.37
2025-10-30,23.88,14.53,9.34
2025-10-31,23.88,14.52,9.36
2025-11-03,23.71,14.49,9.22
2025-11-04,23.67,14.53,9.14
2025-11-05,23.48,14.5,8.99
2025-11-06,23.47,14.47,8.99
2025-11-07,23.61,14.43,9.18
2025-11-10,23.63,14.59,9.04
2025-11-11,23.81,14.74,9.07
2025-11-12,23.71,15.06,8.65
2025-11-13,23.47,14.62,8.85
2025-11-14,23.55,14.45,9.1
2025-11-17,23.68,14.12,9.56
2025-11-18,23.66,14.15,9.5
2025-11-19,23.48,14.32,9.16
2025-11-20,23.41,14.05,9.36
2025-11-21,23.28,14.08,9.2
2025-11-24,23.27,14.36,8.91
2025-11-25,23.3,14.56,8.73
2025-11-26,23.41,14.77,8.64
2025-11-28,23.6,14.94,8.66
2025-12-01,22.92,14.78,8.14
2025-12-02,22.95,14.82,8.13
2025-12-03,23.03,15.17,7.85
2025-12-04,23.03,15.22,7.81
2025-12-05,22.91,15.36,7.55
2025-12-08,22.87,15.44,7.43
2025-12-09,22.86,15.53,7.33
2025-12-10,23.05,15.68,7.37
2025-12-11,23.2,15.87,7.33
2025-12-12,23.29,15.72,7.57
2025-12-15,23.52,15.73,7.8
2025-12-16,23.26,15.58,7.68
2025-12-17,23.23,15.46,7.77
2025-12-18,23.23,15.4,7.83
2025-12-19,23.26,15.72,7.54
2025-12-22,23.61,15.89,7.72
2025-12-23,23.61,15.9,7.71
2025-12-24,23.73,16.06,7.68
