trade_date,etf_share_chg
2025-02-18,0.0
2025-02-19,-215300.0
2025-02-20,-237910.0
2025-02-21,-439200.0
2025-02-24,-267279.99999999977
2025-02-25,-151330.0
2025-02-26,-230440.0
2025-02-27,5320.0
2025-02-28,93489.99999999977
2025-03-03,107640.0
2025-03-04,-162080.0
2025-03-05,-103469.99999999977
2025-03-06,-138770.00000000023
2025-03-07,6670.0
2025-03-10,-254689.99999999977
2025-03-11,72790.0
2025-03-12,37490.0
2025-03-13,74740.0
2025-03-14,156429.99999999977
2025-03-17,-103129.99999999977
2025-03-18,-3270.0
2025-03-19,57860.0
2025-03-20,48910.0
2025-03-21,104180.0
2025-03-24,26060.0
2025-03-25,66370.0
2025-03-26,20860.0
2025-03-27,-61140.0
2025-03-28,-17420.0
2025-03-31,81769.99869999895
2025-04-01,22720.00130000105
2025-04-02,49650.0
2025-04-03,58070.0
2025-04-07,814999.9999999998
2025-04-08,1884229.9999999995
2025-04-09,-61090.0
2025-04-10,-3100.0
2025-04-11,-172070.0
2025-04-14,-253130.0
2025-04-15,95540.0
2025-04-16,264980.0
2025-04-17,152220.0
2025-04-18,100100.0
2025-04-21,1110.0
2025-04-22,-155200.0
2025-04-23,27590.0
2025-04-24,-54230.0
2025-04-25,-13030.0
2025-04-28,-94950.0
2025-04-29,-15910.0
2025-04-30,-63530.0
2025-05-06,-40500.0
2025-05-07,-43700.0
2025-05-08,138470.0
2025-05-09,-88140.0
2025-05-12,77750.0
2025-05-13,-206350.0
2025-05-14,5280.0
2025-05-15,-81550.0
2025-05-16,-69010.0
2025-05-19,-14549.999999999534
2025-05-20,-27400.0
2025-05-21,-2420.0
2025-05-22,-61370.0
2025-05-23,11810.0
2025-05-26,39340.0
2025-05-27,72720.0
2025-05-28,24790.0
2025-05-29,139290.0
2025-05-30,-103470.0
2025-06-03,12000.0
2025-06-04,-22540.0
2025-06-05,-98750.0
2025-06-06,-57730.0
2025-06-09,75080.0
2025-06-10,-63180.0
2025-06-11,68070.0
2025-06-12,-41960.0
2025-06-13,-63680.0
2025-06-16,111280.0
2025-06-17,107690.0
2025-06-18,13740.0
2025-06-19,-2130.0
2025-06-20,42590.0
2025-06-23,29620.0
2025-06-24,37930.0
2025-06-25,-121360.0
2025-06-26,-128560.0
2025-06-27,-74440.0
2025-06-30,-272270.00130000105
2025-07-01,-92419.99869999895
2025-07-02,-5170.0
2025-07-03,4970.0
2025-07-04,-58800.0
2025-07-07,-22420.0
2025-07-08,47430.0
2025-07-09,22620.0
2025-07-10,55970.0
2025-07-11,113160.0
2025-07-14,-31070.0
2025-07-15,9000.0
2025-07-16,-70140.0
2025-07-17,-87450.0
2025-07-18,-83800.0
2025-07-21,17070.0
2025-07-22,-53050.0
2025-07-23,-45820.0
2025-07-24,41430.0
2025-07-25,-142080.0
2025-07-28,-5870.0
2025-07-29,-188430.0
2025-07-30,-57020.0
2025-07-31,-122040.0
2025-08-01,-122320.0
2025-08-04,-90840.0
2025-08-05,-14260.0
2025-08-06,96180.0
2025-08-07,-127390.0
2025-08-08,-57200.0
2025-08-11,62160.0
2025-08-12,-232300.0
2025-08-13,13330.0
2025-08-14,-405230.0
2025-08-15,105290.0
2025-08-18,-77060.0
2025-08-19,-1500.0
2025-08-20,-234350.0
2025-08-21,-89640.0
2025-08-22,-175890.0
2025-08-25,-162900.0
2025-08-26,-30230.0
2025-08-27,-228090.0
2025-08-28,-423300.0
2025-08-29,-89440.0
2025-09-01,-187030.0
2025-09-02,-114690.0
2025-09-03,-109860.0
2025-09-04,46520.0
2025-09-05,45000.0
2025-09-08,-294000.0
2025-09-09,-107610.0
2025-09-10,-113060.0
2025-09-11,49720.0
2025-09-12,-62440.0
2025-09-15,-73710.0
2025-09-16,-105440.0
2025-09-17,-35490.0
2025-09-18,-119110.0
2025-09-19,-13050.0
2025-09-22,-144370.0
2025-09-23,-52260.0
2025-09-24,-110190.0
2025-09-25,4010.0
2025-09-26,45840.0
2025-09-29,203310.0
2025-09-30,-48420.0
2025-10-09,30380.0
