ts_code,trade_date,fd_share,share_chg,industry
512800.SH,2026-02-06,1608447.99,,银行
512800.SH,2026-02-09,1589607.99,-18840.0,银行
512800.SH,2026-02-10,1574367.99,-15240.0,银行
512800.SH,2026-02-11,1549347.99,-25020.0,银行
512800.SH,2026-02-12,1537047.99,-12300.0,银行
512800.SH,2026-02-13,1535787.99,-1260.0,银行
512800.SH,2026-02-24,1524387.99,-11400.0,银行
512800.SH,2026-02-25,1506027.99,-18360.0,银行
512800.SH,2026-02-26,1485987.99,-20040.0,银行
512800.SH,2026-02-27,1480767.99,-5220.0,银行
512070.SH,2026-02-06,2221647.97,,非银金融
512070.SH,2026-02-09,2222447.97,800.0,非银金融
512070.SH,2026-02-10,2220447.97,-2000.0,非银金融
512070.SH,2026-02-11,2215247.97,-5200.0,非银金融
512070.SH,2026-02-12,2174647.97,-40600.0,非银金融
512070.SH,2026-02-13,2176447.97,1800.0,非银金融
512070.SH,2026-02-24,2170347.97,-6100.0,非银金融
512070.SH,2026-02-25,2207447.97,37100.0,非银金融
512070.SH,2026-02-26,2182747.97,-24700.0,非银金融
512070.SH,2026-02-27,2180547.97,-2200.0,非银金融
512660.SH,2026-02-06,662108.0,,国防军工
512660.SH,2026-02-09,662508.0,400.0,国防军工
512660.SH,2026-02-10,673908.0,11400.0,国防军工
512660.SH,2026-02-11,678408.0,4500.0,国防军工
512660.SH,2026-02-12,677208.0,-1200.0,国防军工
512660.SH,2026-02-13,692008.0,14800.0,国防军工
512660.SH,2026-02-24,705408.0,13400.0,国防军工
512660.SH,2026-02-25,713208.0,7800.0,国防军工
512660.SH,2026-02-26,712608.0,-600.0,国防军工
512660.SH,2026-02-27,714908.0,2300.0,国防军工
512010.SH,2026-02-06,4745769.49,,医药生物
512010.SH,2026-02-09,4754969.49,9200.0,医药生物
512010.SH,2026-02-10,4703269.49,-51700.0,医药生物
512010.SH,2026-02-11,4679369.49,-23900.0,医药生物
512010.SH,2026-02-12,4656269.49,-23100.0,医药生物
512010.SH,2026-02-13,4641969.49,-14300.0,医药生物
512010.SH,2026-02-24,4627569.49,-14400.0,医药生物
512010.SH,2026-02-25,4634269.49,6700.0,医药生物
512010.SH,2026-02-26,4634569.49,300.0,医药生物
512010.SH,2026-02-27,4631669.49,-2900.0,医药生物
515180.SH,2026-02-06,803063.7,,食品饮料
515180.SH,2026-02-09,804163.7,1100.0,食品饮料
515180.SH,2026-02-10,804163.7,0.0,食品饮料
515180.SH,2026-02-11,802463.7,-1700.0,食品饮料
515180.SH,2026-02-12,800263.7,-2200.0,食品饮料
515180.SH,2026-02-13,803563.7,3300.0,食品饮料
515180.SH,2026-02-24,799063.7,-4500.0,食品饮料
515180.SH,2026-02-25,796163.7,-2900.0,食品饮料
515180.SH,2026-02-26,791663.7,-4500.0,食品饮料
515180.SH,2026-02-27,790063.7,-1600.0,食品饮料
512400.SH,2026-02-06,1637353.9,,有色金属
512400.SH,2026-02-09,1647953.9,10600.0,有色金属
512400.SH,2026-02-10,1657103.9,9150.0,有色金属
512400.SH,2026-02-11,1646053.9,-11050.0,有色金属
512400.SH,2026-02-12,1649353.9,3300.0,有色金属
512400.SH,2026-02-13,1666003.9,16650.0,有色金属
512400.SH,2026-02-24,1668003.9,2000.0,有色金属
512400.SH,2026-02-25,1669103.9,1100.0,有色金属
512400.SH,2026-02-26,1677453.9,8350.0,有色金属
512400.SH,2026-02-27,1675703.9,-1750.0,有色金属
159870.SZ,2026-02-06,3759910.7019,,电子
159870.SZ,2026-02-09,3807110.7019,47200.0,电子
159870.SZ,2026-02-10,3867060.7019,59950.0,电子
159870.SZ,2026-02-11,3903110.7019,36050.0,电子
159870.SZ,2026-02-12,3916660.7019,13550.0,电子
159870.SZ,2026-02-13,3909010.7019,-7650.0,电子
159870.SZ,2026-02-24,3917660.7019,8650.0,电子
159870.SZ,2026-02-25,3910910.7019,-6750.0,电子
159870.SZ,2026-02-26,3777960.7019,-132950.0,电子
159870.SZ,2026-02-27,3740960.7019,-37000.0,电子
512580.SH,2026-02-06,97107.17,,计算机
512580.SH,2026-02-09,96927.17,-180.0,计算机
512580.SH,2026-02-10,97107.17,180.0,计算机
512580.SH,2026-02-11,97047.17,-60.0,计算机
512580.SH,2026-02-12,97047.17,0.0,计算机
512580.SH,2026-02-13,96987.17,-60.0,计算机
512580.SH,2026-02-24,96987.17,0.0,计算机
512580.SH,2026-02-25,96987.17,0.0,计算机
512580.SH,2026-02-26,96867.17,-120.0,计算机
512580.SH,2026-02-27,96867.17,0.0,计算机
516160.SH,2026-02-06,226814.2,,电力设备
516160.SH,2026-02-09,226314.2,-500.0,电力设备
516160.SH,2026-02-10,226064.2,-250.0,电力设备
516160.SH,2026-02-11,225564.2,-500.0,电力设备
516160.SH,2026-02-12,223414.2,-2150.0,电力设备
516160.SH,2026-02-13,222664.2,-750.0,电力设备
