trade_date,north_net
2025-02-18,2157.7395
2025-02-19,2074.4342
2025-02-20,2016.6521
2025-02-21,2424.0771
2025-02-24,2426.5833
2025-02-25,2252.0816
2025-02-26,2249.2493
2025-02-27,2420.6116
2025-02-28,2691.9706
2025-03-03,2166.1618
2025-03-04,1910.3313
2025-03-05,1866.1961
2025-03-06,2198.621
2025-03-07,2126.3693
2025-03-10,1896.1523000000002
2025-03-11,1960.6713
2025-03-12,1917.585
2025-03-13,1887.7839999999999
2025-03-14,2386.4754000000003
2025-03-17,2016.9116000000001
2025-03-18,1841.1580999999999
2025-03-19,1794.874
2025-03-20,1607.2004000000002
2025-03-21,2098.9455
2025-03-24,1826.2911
2025-03-25,1622.7344
2025-03-26,1486.2289
2025-03-27,1578.5704
2025-03-28,1481.5946
2025-03-31,1781.3226000000002
2025-04-01,1559.7989000000002
2025-04-02,1331.1563
2025-04-03,1621.9779999999998
2025-04-07,2291.85
2025-04-08,2692.6881
2025-04-09,2715.8585
2025-04-10,2210.1602
2025-04-11,1878.7254
2025-04-14,1636.4696
2025-04-15,1340.0269
2025-04-16,1578.8353
2025-04-17,1177.8687
2025-04-22,1348.9672
2025-04-23,1518.4235
2025-04-24,1386.6425
2025-04-25,1422.4997
2025-04-28,1382.2166
2025-04-29,1362.7349
2025-04-30,1506.7502
2025-05-06,1741.1101
2025-05-07,1894.0516
2025-05-08,1438.8341
2025-05-09,1341.3617000000002
2025-05-12,1495.0436
2025-05-13,1494.2584
2025-05-14,1596.4917
2025-05-15,1377.1937
2025-05-16,1337.9182
2025-05-19,1225.173
2025-05-20,1296.2961
2025-05-21,1287.8347999999999
2025-05-22,1202.7218
2025-05-23,1362.2189
2025-05-26,1224.2160000000001
2025-05-27,1110.6303
2025-05-28,1039.7273
2025-05-29,1378.4938
2025-05-30,1526.2151999999999
2025-06-03,1575.4544
2025-06-04,1364.6392999999998
2025-06-05,1421.6879999999999
2025-06-06,1249.8564999999999
2025-06-09,1412.9582
2025-06-10,1579.5410000000002
2025-06-11,1432.0753
2025-06-12,1499.3501999999999
2025-06-13,2137.0973
2025-06-16,1446.4344
2025-06-17,1369.2786999999998
2025-06-18,1280.5845
2025-06-19,1322.2883
2025-06-20,1438.3907000000002
2025-06-23,1377.3572
2025-06-24,1605.6052
2025-06-25,1716.3371
2025-06-26,1578.4779
2025-06-27,1578.7326
2025-06-30,1318.0179
2025-07-02,1454.4745
2025-07-03,1463.8910999999998
2025-07-04,1591.201
2025-07-07,1367.6436999999999
2025-07-08,1676.6582
2025-07-09,1818.9089999999999
2025-07-10,2022.6382
2025-07-11,2455.0412
2025-07-14,1912.0325
2025-07-15,2016.5748999999998
2025-07-16,1834.9760999999999
2025-07-17,1846.8957999999998
2025-07-18,1946.207
2025-07-21,2086.9538000000002
2025-07-22,2414.9724
2025-07-23,2376.2478
2025-07-24,2407.1581
2025-07-25,2282.1367999999998
2025-07-28,2266.7111999999997
2025-07-29,2334.3147
2025-07-30,2391.4434
2025-07-31,2566.9966
2025-08-01,2176.1226
2025-08-04,1946.9117
2025-08-05,1990.9593
2025-08-06,2006.8634
2025-08-07,2210.1539000000002
2025-08-08,2008.9644
2025-08-11,2269.9999
2025-08-12,2365.3395
2025-08-13,2771.9202
2025-08-14,2852.8435
2025-08-15,3104.3615999999997
2025-08-18,3694.8698999999997
2025-08-19,3488.4211999999998
2025-08-20,3170.8974
2025-08-21,3097.7192999999997
2025-08-22,3249.3567
2025-08-25,4045.4418
2025-08-26,3634.6119
2025-08-27,3988.3094
2025-08-28,3938.0868
2025-08-29,3775.5965
2025-09-01,3423.136
2025-09-02,3670.8516999999997
2025-09-03,3325.6166
2025-09-04,3808.716
2025-09-05,3160.4839
2025-09-08,3290.4347
2025-09-09,2817.5156
2025-09-10,2636.1461
2025-09-11,3152.6727
2025-09-12,3112.8278000000005
2025-09-15,2873.0584000000003
2025-09-16,2876.2176
2025-09-17,2877.2554999999998
2025-09-18,3717.9111
2025-09-19,3263.9422999999997
2025-09-22,2708.8264
2025-09-23,3245.6314
2025-09-24,2861.3342
2025-09-25,2984.252
2025-09-26,2789.12
2025-09-29,2946.1778999999997
2025-09-30,2762.5418
2025-10-09,3601.6490000000003
2025-10-10,3344.7843
2025-10-13,3261.6158
2025-10-14,3475.0202000000004
2025-10-15,2964.7174
2025-10-16,2605.625
2025-10-17,2571.7689
2025-10-20,2347.3129
2025-10-21,2468.658
2025-10-22,2137.9213
2025-10-23,1999.0632
2025-10-24,2219.8085
2025-10-27,2779.8442
2025-10-28,2371.3317
2025-10-30,2920.7357
2025-10-31,2842.5768
2025-11-03,2677.4242
2025-11-04,2409.1034
2025-11-05,2286.8185
2025-11-06,2442.0556
2025-11-07,2358.5575
2025-11-10,2436.3678
2025-11-11,2233.6759
2025-11-12,2260.6544
2025-11-13,2254.2119000000002
2025-11-14,2098.2212
2025-11-17,2130.0071
2025-11-18,2181.7294
2025-11-19,1912.8627
2025-11-20,1920.5478
2025-11-21,2334.0234
2025-11-24,2363.0764
2025-11-25,2153.063
2025-11-26,2007.0746
2025-11-27,1925.4372
2025-11-28,1863.5323999999998
2025-12-01,2297.6270999999997
2025-12-02,1797.6017000000002
2025-12-03,1873.0892999999999
2025-12-04,1742.035
2025-12-05,1926.8496
2025-12-08,2225.6882
2025-12-09,2196.0003
2025-12-10,2044.1398000000002
2025-12-11,2060.8712
2025-12-12,3096.8369000000002
2025-12-15,2122.0558
2025-12-16,2076.3543
2025-12-17,2127.6032999999998
2025-12-18,1833.9770999999998
2025-12-19,1989.4054
2025-12-22,1821.6113
2025-12-23,1804.3794
2025-12-24,1671.7785000000001
2025-12-29,2251.7832
2025-12-30,2380.1843
2025-12-31,2223.1437
2026-01-05,2959.0475
2026-01-06,3185.9098
2026-01-07,3268.5892
2026-01-08,3247.5645
2026-01-09,3696.4312
2026-01-12,3989.8019
2026-01-13,4209.3557
2026-01-14,4636.3279999999995
2026-01-15,3554.7799
2026-01-16,3665.725
2026-01-19,3237.7009000000003
2026-01-20,3437.6812
2026-01-21,3212.1538
2026-01-22,3310.7714
2026-01-23,3724.6181
2026-01-26,4041.1643
2026-01-27,3776.0909
2026-01-28,3757.6581
2026-01-29,3972.2418
2026-01-30,3908.3369000000002
2026-02-02,3583.1041999999998
2026-02-03,3417.3515
2026-02-04,3229.0444
2026-02-05,2889.3804999999998
2026-02-06,2877.1692
2026-02-09,2730.0544
2026-02-10,2585.6327
2026-02-11,2527.261
2026-02-12,2896.5856
2026-02-13,2696.4137
2026-02-24,3171.613
2026-02-25,3195.3739
2026-02-26,3168.4977000000003
2026-02-27,3415.4283
