ts_code,name,pct_change,amount,trade_date
801010.SI,农林牧渔,0.34,2859568.0,20260109
801030.SI,基础化工,0.49,14004849.0,20260109
801040.SI,钢铁,0.69,1745535.0,20260109
801050.SI,有色金属,2.78,18175498.0,20260109
801080.SI,电子,0.91,49662790.0,20260109
801110.SI,家用电器,1.29,4374945.0,20260109
801120.SI,食品饮料,0.52,2984223.0,20260109
801130.SI,纺织服饰,1.29,1790947.0,20260109
801140.SI,轻工制造,0.74,3384122.0,20260109
801150.SI,医药生物,1.58,15079992.0,20260109
801160.SI,公用事业,0.37,3341799.0,20260109
801170.SI,交通运输,0.03,2559847.0,20260109
801180.SI,房地产,0.72,3407212.0,20260109
801200.SI,商贸零售,2.35,4796495.0,20260109
801210.SI,社会服务,1.26,2186932.0,20260109
801230.SI,综合,3.6,585172.0,20260109
801710.SI,建筑材料,0.01,2280682.0,20260109
801720.SI,建筑装饰,0.84,4464783.0,20260109
801730.SI,电力设备,0.69,31820094.0,20260109
801740.SI,国防军工,3.29,29596024.0,20260109
801750.SI,计算机,2.9,26551835.0,20260109
801760.SI,传媒,5.31,12489267.0,20260109
801770.SI,通信,0.8,19287650.0,20260109
801780.SI,银行,-0.44,2627929.0,20260109
801790.SI,非银金融,-0.2,8272261.0,20260109
801880.SI,汽车,1.03,13120565.0,20260109
801890.SI,机械设备,1.83,24252453.0,20260109
801950.SI,煤炭,0.8,1352985.0,20260109
801960.SI,石油石化,0.8,2335192.0,20260109
801970.SI,环保,1.03,2249385.0,20260109
801980.SI,美容护理,1.39,463528.0,20260109
801010.SI,农林牧渔,0.13,3068975.0,20260112
801030.SI,基础化工,0.3,15145323.0,20260112
801040.SI,钢铁,2.15,2311609.0,20260112
801050.SI,有色金属,1.35,20588851.0,20260112
801080.SI,电子,1.46,56346808.0,20260112
801110.SI,家用电器,0.58,5208397.0,20260112
801120.SI,食品饮料,0.74,3827111.0,20260112
801130.SI,纺织服饰,1.79,2154601.0,20260112
801140.SI,轻工制造,1.61,4017450.0,20260112
801150.SI,医药生物,0.81,16687779.0,20260112
801160.SI,公用事业,1.13,4243778.0,20260112
801170.SI,交通运输,1.01,3394287.0,20260112
801180.SI,房地产,-0.29,3404558.0,20260112
801200.SI,商贸零售,2.36,5968573.0,20260112
801210.SI,社会服务,3.21,2778141.0,20260112
801230.SI,综合,0.92,721470.0,20260112
801710.SI,建筑材料,0.95,2593143.0,20260112
801720.SI,建筑装饰,1.16,4932972.0,20260112
801730.SI,电力设备,0.51,35999020.0,20260112
801740.SI,国防军工,5.66,28777077.0,20260112
801750.SI,计算机,7.26,38895386.0,20260112
801760.SI,传媒,7.8,16656890.0,20260112
801770.SI,通信,2.74,21167159.0,20260112
801780.SI,银行,0.3,2956941.0,20260112
801790.SI,非银金融,0.53,10714971.0,20260112
801880.SI,汽车,0.61,14621436.0,20260112
801890.SI,机械设备,2.09,26159327.0,20260112
801950.SI,煤炭,-0.47,1308230.0,20260112
801960.SI,石油石化,-1.0,1877609.0,20260112
801970.SI,环保,0.49,2737538.0,20260112
801980.SI,美容护理,1.38,584673.0,20260112
801010.SI,农林牧渔,-1.28,3174040.0,20260113
801030.SI,基础化工,-0.47,14417704.0,20260113
801040.SI,钢铁,-1.5,2069315.0,20260113
801050.SI,有色金属,0.91,20563332.0,20260113
801080.SI,电子,-3.3,50131713.0,20260113
801110.SI,家用电器,-1.5,6022502.0,20260113
801120.SI,食品饮料,-0.91,3600071.0,20260113
801130.SI,纺织服饰,-0.7,2222534.0,20260113
801140.SI,轻工制造,-1.35,3540191.0,20260113
801150.SI,医药生物,1.21,22455245.0,20260113
801160.SI,公用事业,-0.18,4781319.0,20260113
801170.SI,交通运输,-0.46,3297108.0,20260113
801180.SI,房地产,-1.67,3071145.0,20260113
801200.SI,商贸零售,-1.5,6059672.0,20260113
801210.SI,社会服务,-0.71,3106592.0,20260113
801230.SI,综合,0.06,624448.0,20260113
801710.SI,建筑材料,-1.87,2087385.0,20260113
801720.SI,建筑装饰,-0.37,5111836.0,20260113
801730.SI,电力设备,-0.87,36981881.0,20260113
801740.SI,国防军工,-5.5,26011947.0,20260113
801750.SI,计算机,-1.92,40805553.0,20260113
801760.SI,传媒,0.67,23221586.0,20260113
801770.SI,通信,-2.88,21842847.0,20260113
801780.SI,银行,0.65,3613654.0,20260113
801790.SI,非银金融,-0.13,9644338.0,20260113
801880.SI,汽车,-1.31,14481114.0,20260113
801890.SI,机械设备,-1.78,25294137.0,20260113
801950.SI,煤炭,-0.55,1186058.0,20260113
801960.SI,石油石化,1.62,2295392.0,20260113
801970.SI,环保,-1.02,2656283.0,20260113
801980.SI,美容护理,-0.11,638707.0,20260113
801010.SI,农林牧渔,0.17,3218764.0,20260114
801030.SI,基础化工,0.18,14925668.0,20260114
801040.SI,钢铁,-0.44,2311467.0,20260114
801050.SI,有色金属,0.42,22299918.0,20260114
801080.SI,电子,1.36,53992366.0,20260114
801110.SI,家用电器,0.41,5801368.0,20260114
801120.SI,食品饮料,-0.73,3891417.0,20260114
801130.SI,纺织服饰,-0.01,2257115.0,20260114
801140.SI,轻工制造,0.17,3695796.0,20260114
801150.SI,医药生物,-0.14,23756258.0,20260114
801160.SI,公用事业,-0.48,5672142.0,20260114
801170.SI,交通运输,-0.76,3942185.0,20260114
801180.SI,房地产,-1.18,3227995.0,20260114
801200.SI,商贸零售,0.54,6235069.0,20260114
801210.SI,社会服务,1.23,3657139.0,20260114
801230.SI,综合,2.9,759726.0,20260114
801710.SI,建筑材料,0.08,2359007.0,20260114
801720.SI,建筑装饰,-0.02,5705394.0,20260114
801730.SI,电力设备,-0.14,39175667.0,20260114
801740.SI,国防军工,-0.67,26864823.0,20260114
801750.SI,计算机,3.42,47294741.0,20260114
801760.SI,传媒,1.55,22909304.0,20260114
801770.SI,通信,1.91,23534511.0,20260114
801780.SI,银行,-1.88,4268285.0,20260114
801790.SI,非银金融,-0.84,12728181.0,20260114
801880.SI,汽车,-0.4,15037281.0,20260114
801890.SI,机械设备,0.37,26881569.0,20260114
801950.SI,煤炭,-0.61,1255449.0,20260114
801960.SI,石油石化,0.62,2769281.0,20260114
801970.SI,环保,0.56,2882959.0,20260114
801980.SI,美容护理,0.4,688267.0,20260114
801010.SI,农林牧渔,-0.7,2315613.0,20260115
801030.SI,基础化工,1.4,12673233.0,20260115
801040.SI,钢铁,-0.66,1655520.0,20260115
801050.SI,有色金属,1.37,20608443.0,20260115
801080.SI,电子,1.67,46069235.0,20260115
801110.SI,家用电器,-0.5,4035880.0,20260115
801120.SI,食品饮料,-0.55,2903203.0,20260115
801130.SI,纺织服饰,-1.41,1554930.0,20260115
801140.SI,轻工制造,-0.82,2933288.0,20260115
801150.SI,医药生物,-1.18,15235764.0,20260115
801160.SI,公用事业,-0.11,3717987.0,20260115
801170.SI,交通运输,0.08,2818472.0,20260115
801180.SI,房地产,0.42,2532455.0,20260115
801200.SI,商贸零售,-1.65,4386552.0,20260115
801210.SI,社会服务,-0.43,2806224.0,20260115
801230.SI,综合,-3.35,567544.0,20260115
801710.SI,建筑材料,0.56,2302144.0,20260115
801720.SI,建筑装饰,-0.76,3879106.0,20260115
801730.SI,电力设备,0.54,28637803.0,20260115
801740.SI,国防军工,-2.8,16103566.0,20260115
801750.SI,计算机,-2.4,29864569.0,20260115
801760.SI,传媒,-2.7,15451026.0,20260115
801770.SI,通信,0.4,19272692.0,20260115
801780.SI,银行,-0.7,2951996.0,20260115
801790.SI,非银金融,-1.07,8084432.0,20260115
801880.SI,汽车,-0.07,11091551.0,20260115
801890.SI,机械设备,0.03,20210785.0,20260115
801950.SI,煤炭,-0.37,918634.0,20260115
801960.SI,石油石化,0.33,1855216.0,20260115
801970.SI,环保,0.1,2222796.0,20260115
801980.SI,美容护理,-0.79,540326.0,20260115
801010.SI,农林牧渔,-1.62,2236810.0,20260116
801030.SI,基础化工,-0.49,12200770.0,20260116
801040.SI,钢铁,-1.43,1705092.0,20260116
801050.SI,有色金属,-1.04,20244256.0,20260116
801080.SI,电子,2.64,60030294.0,20260116
801110.SI,家用电器,0.68,4611836.0,20260116
801120.SI,食品饮料,-0.66,3100479.0,20260116
801130.SI,纺织服饰,-0.18,1417588.0,20260116
801140.SI,轻工制造,-0.7,2834908.0,20260116
801150.SI,医药生物,-1.36,13547513.0,20260116
801160.SI,公用事业,-0.3,5963991.0,20260116
801170.SI,交通运输,-0.8,2865369.0,20260116
801180.SI,房地产,-0.83,2581744.0,20260116
801200.SI,商贸零售,-1.17,3744590.0,20260116
801210.SI,社会服务,-1.71,2611776.0,20260116
801230.SI,综合,-1.45,499093.0,20260116
801710.SI,建筑材料,-0.38,2261199.0,20260116
801720.SI,建筑装饰,0.27,5314889.0,20260116
801730.SI,电力设备,0.76,33438731.0,20260116
801740.SI,国防军工,-1.38,15532170.0,20260116
801750.SI,计算机,-2.23,26152900.0,20260116
801760.SI,传媒,-4.84,10682607.0,20260116
801770.SI,通信,-0.66,18070708.0,20260116
801780.SI,银行,-1.41,3819916.0,20260116
801790.SI,非银金融,-1.13,6961668.0,20260116
801880.SI,汽车,1.69,13367829.0,20260116
801890.SI,机械设备,1.23,20821271.0,20260116
801950.SI,煤炭,-1.15,1169774.0,20260116
801960.SI,石油石化,-1.8,1807183.0,20260116
801970.SI,环保,0.16,2278183.0,20260116
801980.SI,美容护理,-1.08,494506.0,20260116
801010.SI,农林牧渔,0.95,2272498.0,20260119
801030.SI,基础化工,2.7,13092326.0,20260119
801040.SI,钢铁,0.93,1864356.0,20260119
801050.SI,有色金属,0.51,17055089.0,20260119
801080.SI,电子,-0.49,49586234.0,20260119
801110.SI,家用电器,0.83,4355528.0,20260119
801120.SI,食品饮料,0.1,3176024.0,20260119
801130.SI,纺织服饰,1.11,1450375.0,20260119
801140.SI,轻工制造,1.42,2623794.0,20260119
801150.SI,医药生物,-0.52,11178487.0,20260119
801160.SI,公用事业,1.48,4946565.0,20260119
801170.SI,交通运输,1.29,2897178.0,20260119
801180.SI,房地产,1.09,2795983.0,20260119
801200.SI,商贸零售,1.41,3572448.0,20260119
801210.SI,社会服务,1.63,2555253.0,20260119
801230.SI,综合,1.09,495717.0,20260119
801710.SI,建筑材料,1.61,2058912.0,20260119
801720.SI,建筑装饰,0.0,4647691.0,20260119
801730.SI,电力设备,1.84,35727022.0,20260119
801740.SI,国防军工,1.48,14619314.0,20260119
801750.SI,计算机,-1.55,20828196.0,20260119
801760.SI,传媒,-0.26,8230018.0,20260119
801770.SI,通信,-0.96,14028239.0,20260119
801780.SI,银行,-0.6,2838141.0,20260119
801790.SI,非银金融,-0.19,5259028.0,20260119
801880.SI,汽车,1.7,13246200.0,20260119
801890.SI,机械设备,0.96,19824575.0,20260119
801950.SI,煤炭,0.76,1082968.0,20260119
801960.SI,石油石化,2.08,1555473.0,20260119
801970.SI,环保,1.04,2239835.0,20260119
801980.SI,美容护理,0.84,562411.0,20260119
801010.SI,农林牧渔,-0.61,2672099.0,20260120
801030.SI,基础化工,1.15,14852149.0,20260120
801040.SI,钢铁,0.47,1820407.0,20260120
