date,index_name,daily_buy_amt,daily_sell_amt,daily_net_amt,cum_position,cost_price,close_price,pnl_pct,abnormal_bars
20230703,沪深300,0.0,0.0,0.0,0.0,0,3.961,0,0
20230704,沪深300,0.0,0.0,0.0,0.0,0,3.973,0,0
20230705,沪深300,0.0,0.0,0.0,0.0,0,3.943,0,0
20230706,沪深300,0.0,0.0,0.0,0.0,0,3.9155,0,0
20230707,沪深300,0.0,0.0,0.0,0.0,0,3.903,0,0
20230710,沪深300,2.0581,1.2228,0.8353,0.83,3.9321,3.9195,-0.32,7
20230711,沪深300,2.2844,4.1271,-1.8428,0.0,0,3.945,0,8
20230712,沪深300,0.3313,0.7754,-0.4441,0.0,0,3.926,0,4
20230713,沪深300,5.3659,2.9858,2.3801,0.93,3.9539,3.989,0.89,11
20230714,沪深300,0.0822,0.2686,-0.1864,0.74,3.9543,3.988,0.85,4
20230717,沪深300,2.0614,1.7597,0.3017,1.04,3.9548,3.961,0.16,6
20230718,沪深300,0.0,0.309,-0.309,0.73,3.9548,3.9535,-0.03,1
20230719,沪深300,4.9025,0.6728,4.2297,4.97,3.9507,3.9515,0.02,8
20230720,沪深300,5.849,10.3112,-4.4622,0.47,3.9513,3.9225,-0.73,14
20230721,沪深300,5.3919,3.5917,1.8002,2.26,3.9472,3.925,-0.56,12
20230724,沪深300,0.3129,0.7138,-0.4009,1.85,3.9467,3.907,-1.01,3
20230725,沪深300,22.7594,2.1927,20.5667,22.68,3.962,4.0195,1.45,16
20230726,沪深300,1.6702,1.2792,0.3911,23.03,3.9634,4.012,1.23,8
20230727,沪深300,2.7017,1.638,1.0637,24.05,3.9662,4.0065,1.02,8
20230728,沪深300,41.3672,6.0446,35.3227,60.16,4.0148,4.103,2.2,12
20230731,沪深300,33.3563,20.3849,12.9714,73.33,4.046,4.121,1.85,17
20230801,沪深300,16.9102,8.2724,8.6378,81.61,4.053,4.102,1.21,15
20230802,沪深300,4.1335,4.5942,-0.4607,80.61,4.054,4.0755,0.53,11
20230803,沪深300,2.6586,1.4811,1.1775,82.45,4.0547,4.109,1.34,7
20230804,沪深300,20.0655,10.6394,9.426,92.26,4.0656,4.1305,1.6,15
20230807,沪深300,12.2754,10.2156,2.0598,93.63,4.0674,4.099,0.78,12
20230808,沪深300,3.9308,3.6809,0.2499,93.6,4.0679,4.087,0.47,10
20230809,沪深300,7.0528,4.2607,2.7921,96.15,4.0683,4.0765,0.2,11
20230810,沪深300,0.0,1.4932,-1.4932,94.79,4.0683,4.0825,0.35,2
20230811,沪深300,4.2348,14.566,-10.3312,82.34,4.0672,3.988,-1.95,9
