trade_date,ts_code,close,pct_chg
20250120,000922.CSI,5328.874,-0.2165
20250121,000922.CSI,5295.8678,-0.6194
20250122,000922.CSI,5242.8423,-1.0013
20250123,000922.CSI,5296.1683,1.0171
20250124,000922.CSI,5330.3763,0.6459
20250127,000922.CSI,5397.8404,1.2657
20250205,000922.CSI,5291.4642,-1.9707
20250206,000922.CSI,5295.7993,0.0819
20250207,000922.CSI,5331.4266,0.6727
20250210,000922.CSI,5325.3482,-0.114
20250211,000922.CSI,5345.533,0.379
20250212,000922.CSI,5346.7393,0.0226
20250213,000922.CSI,5348.7055,0.0368
20250214,000922.CSI,5359.117,0.1947
20250217,000922.CSI,5336.5732,-0.4207
20250218,000922.CSI,5318.6352,-0.3361
20250219,000922.CSI,5303.698,-0.2808
20250220,000922.CSI,5291.0318,-0.2388
20250221,000922.CSI,5257.0009,-0.6432
20250224,000922.CSI,5261.4535,0.0847
20250225,000922.CSI,5226.6236,-0.662
20250226,000922.CSI,5292.164,1.254
20250227,000922.CSI,5350.6692,1.1055
20250228,000922.CSI,5311.6501,-0.7292
20250303,000922.CSI,5305.0725,-0.1238
20250304,000922.CSI,5305.5876,0.0097
20250305,000922.CSI,5330.7352,0.474
20250306,000922.CSI,5329.4738,-0.0237
20250307,000922.CSI,5336.689,0.1354
20250310,000922.CSI,5352.3357,0.2932
20250311,000922.CSI,5386.4321,0.637
20250312,000922.CSI,5364.7665,-0.4022
20250313,000922.CSI,5402.2814,0.6993
20250314,000922.CSI,5443.3782,0.7607
20250317,000922.CSI,5463.4737,0.3692
20250318,000922.CSI,5454.0976,-0.1716
20250319,000922.CSI,5462.3245,0.1508
20250320,000922.CSI,5447.2799,-0.2754
20250321,000922.CSI,5424.09,-0.4257
20250324,000922.CSI,5454.4541,0.5598
20250325,000922.CSI,5489.0255,0.6338
20250326,000922.CSI,5481.3787,-0.1393
20250327,000922.CSI,5476.233,-0.0939
20250328,000922.CSI,5436.4717,-0.7261
20250331,000922.CSI,5407.9902,-0.5239
20250401,000922.CSI,5460.5135,0.9712
20250402,000922.CSI,5480.3406,0.3631
20250403,000922.CSI,5487.7522,0.1352
20250407,000922.CSI,5121.6285,-6.6717
20250408,000922.CSI,5252.4983,2.5552
20250409,000922.CSI,5268.1457,0.2979
20250410,000922.CSI,5317.9582,0.9455
20250411,000922.CSI,5294.0132,-0.4503
20250414,000922.CSI,5341.428,0.8956
20250415,000922.CSI,5367.0496,0.4797
20250416,000922.CSI,5391.4484,0.4546
20250417,000922.CSI,5380.304,-0.2067
20250418,000922.CSI,5382.3435,0.0379
20250421,000922.CSI,5375.0356,-0.1358
20250422,000922.CSI,5395.8835,0.3879
20250423,000922.CSI,5371.8464,-0.4455
20250424,000922.CSI,5400.7061,0.5372
20250425,000922.CSI,5392.2779,-0.1561
20250428,000922.CSI,5391.3773,-0.0167
20250429,000922.CSI,5377.2308,-0.2624
20250430,000922.CSI,5341.7697,-0.6595
20250506,000922.CSI,5355.2618,0.2526
20250507,000922.CSI,5391.5036,0.6768
20250508,000922.CSI,5394.128,0.0487
20250509,000922.CSI,5421.8433,0.5138
20250512,000922.CSI,5440.6068,0.3461
20250513,000922.CSI,5478.6417,0.6991
20250514,000922.CSI,5509.5627,0.5644
20250515,000922.CSI,5486.9433,-0.4105
20250516,000922.CSI,5456.4608,-0.5555
20250519,000922.CSI,5470.9617,0.2658
20250520,000922.CSI,5486.8581,0.2906
20250521,000922.CSI,5528.7956,0.7643
20250522,000922.CSI,5519.0537,-0.1762
20250523,000922.CSI,5464.7734,-0.9835
20250526,000922.CSI,5427.8603,-0.6755
20250527,000922.CSI,5413.7524,-0.2599
20250528,000922.CSI,5431.0191,0.3189
20250529,000922.CSI,5440.6604,0.1775
20250530,000922.CSI,5445.7952,0.0944
20250603,000922.CSI,5465.689,0.3653
20250604,000922.CSI,5480.8722,0.2778
20250605,000922.CSI,5449.4941,-0.5725
20250606,000922.CSI,5448.3034,-0.0218
20250609,000922.CSI,5458.8793,0.1941
20250610,000922.CSI,5454.5726,-0.0789
20250611,000922.CSI,5471.4803,0.31
20250612,000922.CSI,5471.5999,0.0022
20250613,000922.CSI,5416.3064,-1.0106
20250616,000922.CSI,5428.601,0.227
20250617,000922.CSI,5426.0202,-0.0475
20250618,000922.CSI,5419.9498,-0.1119
20250619,000922.CSI,5384.7423,-0.6496
20250620,000922.CSI,5393.71,0.1665
20250623,000922.CSI,5407.4346,0.2545
20250624,000922.CSI,5424.751,0.3202
20250625,000922.CSI,5443.2012,0.3401
20250626,000922.CSI,5444.7023,0.0276
20250627,000922.CSI,5416.1974,-0.5235
20250630,000922.CSI,5410.2588,-0.1096
20250701,000922.CSI,5454.3266,0.8145
20250702,000922.CSI,5493.4691,0.7176
20250703,000922.CSI,5493.1321,-0.0061
20250704,000922.CSI,5520.9383,0.5062
20250707,000922.CSI,5545.0804,0.4373
20250708,000922.CSI,5542.3522,-0.0492
20250709,000922.CSI,5560.319,0.3242
20250710,000922.CSI,5594.9169,0.6222
20250711,000922.CSI,5553.971,-0.7318
20250714,000922.CSI,5581.2078,0.4904
20250715,000922.CSI,5516.3349,-1.1623
20250716,000922.CSI,5492.5995,-0.4303
20250717,000922.CSI,5487.8946,-0.0857
20250718,000922.CSI,5506.7441,0.3435
20250721,000922.CSI,5575.8675,1.2552
20250722,000922.CSI,5667.6115,1.6454
20250723,000922.CSI,5647.0878,-0.3621
20250724,000922.CSI,5670.7501,0.419
20250725,000922.CSI,5633.8343,-0.651
20250728,000922.CSI,5572.5303,-1.0881
20250729,000922.CSI,5570.4572,-0.0372
20250730,000922.CSI,5581.4768,0.1978
20250731,000922.CSI,5484.7119,-1.7337
20250801,000922.CSI,5484.5934,-0.0022
20250804,000922.CSI,5510.342,0.4695
20250805,000922.CSI,5567.8825,1.0442
20250806,000922.CSI,5603.2021,0.6343
20250807,000922.CSI,5612.6762,0.1691
20250808,000922.CSI,5615.6102,0.0523
20250811,000922.CSI,5591.6955,-0.4259
20250812,000922.CSI,5623.0435,0.5606
20250813,000922.CSI,5593.7015,-0.5218
20250814,000922.CSI,5540.1311,-0.9577
20250815,000922.CSI,5553.4158,0.2398
20250818,000922.CSI,5542.7569,-0.1919
20250819,000922.CSI,5537.4535,-0.0957
20250820,000922.CSI,5579.2691,0.7551
20250821,000922.CSI,5609.1951,0.5364
20250822,000922.CSI,5599.4007,-0.1746
