trade_date,avg_pct_chg,avg_pct_chg_old,count_300,count_688
20250102,-2.344325,-3.59355,945,578
20250103,-4.080062,-1.78655,945,578
20250106,-0.702293,-0.20935,944,579
20250107,2.91442,1.7804,946,580
20250108,-0.213104,-0.51215,946,579
20250109,0.458166,-0.1355,946,579
20250110,-2.675741,-1.44335,946,580
20250113,0.640163,0.26495,946,580
20250114,5.467706,3.90705,945,579
20250115,-0.610029,-1.1208,944,580
20250116,0.405279,-0.7583,944,579
20250117,0.247971,0.88515,944,578
20250120,0.957164,1.02845,944,578
20250121,0.30144,0.59645,945,578
20250122,-0.888865,-0.31775,945,580
20250123,-0.116251,-0.6571,945,579
20250124,1.923649,1.13305,943,578
20250127,-1.636004,-2.3799,942,579
20250205,1.975524,1.4304,942,580
20250206,3.11471,2.8458,943,581
20250207,1.401639,1.6386,943,581
20250210,2.34524,1.1008,943,583
20250211,-0.607681,-1.3088,944,582
20250212,1.437361,1.72275,944,582
20250213,-1.397279,-1.5109,944,583
20250214,0.975742,1.16365,944,583
20250217,1.384639,0.98125,945,584
20250218,-2.863234,-2.2489,945,584
20250219,3.1188,2.17455,945,584
20250220,1.375974,-0.1032,945,584
20250221,1.834442,4.24215,945,584
20250224,0.178245,-0.0935,945,583
20250225,-0.102915,-0.4366,945,583
20250226,1.524207,1.70085,945,583
20250227,-0.363802,-0.2817,945,581
20250228,-4.362903,-4.01645,945,581
20250303,0.643454,-0.16025,945,580
20250304,1.840713,0.7152,945,579
20250305,0.387849,0.15235,944,579
20250306,2.481212,2.7542,943,578
20250307,-0.81465,-1.2798,943,578
20250310,0.504749,-0.2341,943,578
20250311,0.241455,-0.10565,943,579
20250312,0.319301,-0.65445,943,579
20250313,-1.733965,-1.6291,942,581
20250314,2.007318,2.262,942,581
20250317,0.576395,-0.4854,940,581
20250318,0.661515,0.6103,941,582
20250319,-0.765173,-0.7326,941,582
20250320,-0.276216,-1.0659,942,582
20250321,-2.189162,-2.1137,942,582
20250324,-2.011159,0.1526,938,584
20250325,-0.6068,-0.8453,941,585
20250326,1.093935,-0.258,941,585
20250327,-0.235537,0.68085,942,584
20250328,-1.39009,-0.92665,943,583
20250331,-0.799404,-0.9043,943,583
20250401,1.134208,0.03795,942,583
20250402,0.324182,-0.01405,942,583
20250403,-1.219157,-1.1604,942,583
20250407,-16.323698,-10.8621,941,582
20250408,3.189286,1.7771,940,583
20250409,3.451775,2.64315,940,583
20250410,3.068625,1.678,939,584
20250411,1.576895,1.71315,938,584
20250414,1.58075,0.29705,938,585
20250415,-0.058905,-0.4566,937,585
20250416,-1.791425,-0.19735,937,585
20250417,0.45968,0.1572,937,585
20250418,-0.234083,-0.2679,938,585
20250421,2.225721,1.3289,937,585
20250422,-0.164711,-0.56515,940,585
20250423,1.052911,0.3618,939,585
20250424,-1.263147,-0.80205,938,585
20250425,-0.037451,0.3552,939,584
20250428,-1.162348,-0.41345,940,584
20250429,1.153058,-0.0134,932,583
20250430,1.524344,0.8422,934,580
20250506,3.220333,1.68165,938,584
20250507,0.626474,0.4328,939,584
20250508,1.423841,0.64315,939,584
20250509,-1.636393,-1.4158,939,584
20250512,1.743693,1.56,939,584
20250513,-0.399867,-0.136,940,585
20250514,-0.155279,0.7088,940,585
20250515,-1.299845,-1.58905,940,585
20250516,0.597637,-0.3794,940,586
20250519,0.707601,-0.1631,939,586
20250520,1.176609,0.50795,938,586
20250521,-0.693331,0.30345,938,586
20250522,-1.221004,-0.71975,935,586
20250523,-1.04178,-1.09965,935,586
20250526,1.016158,-0.3159,935,585
20250527,0.007407,-0.81495,936,585
20250528,-0.421137,-0.2743,936,585
20250529,2.453559,1.49095,936,585
20250530,-1.40304,-0.9512,934,585
20250603,1.059181,0.47835,936,585
20250604,0.949642,0.7792,938,585
20250605,0.897488,1.10685,938,585
20250606,-0.030294,-0.46315,939,585
20250609,1.71655,0.8368,936,585
20250610,-1.036802,-1.3198,938,586
20250611,0.68081,0.50335,938,587
20250612,0.417091,-0.02265,938,587
20250613,-1.811863,-0.8216,937,587
20250616,1.286803,0.22495,937,587
20250617,-0.222758,-0.58145,938,587
20250618,0.148715,0.38125,938,587
20250619,-1.733044,-0.9496,938,587
20250620,-0.8719,-0.6808,938,587
20250623,2.043611,0.38135,936,587
20250624,2.222781,2.0481,937,587
20250625,1.239524,2.4197,937,587
20250626,-0.290466,-0.6112,938,587
20250627,0.529796,0.1456,939,587
20250630,1.825033,1.444,938,586
20250701,0.314922,-0.54775,938,586
20250702,-1.026521,-1.1745,939,585
20250703,0.72857,1.06815,940,585
20250704,-1.032669,-0.1889,940,585
20250707,0.419053,-0.93445,940,585
20250708,1.541178,1.8924,941,586
20250709,-0.354701,-0.363,941,587
20250710,-0.036947,-0.0466,939,587
20250711,0.67336,1.13775,940,588
20250714,0.586916,-0.33075,939,588
20250715,-0.314557,1.05865,939,588
20250716,0.696598,-0.0391,939,588
20250717,1.375926,1.2792,940,588
20250718,0.247692,0.26575,939,588
20250721,1.044751,0.45155,937,587
20250722,0.097361,0.71945,937,588
20250723,-0.523535,0.22185,937,588
20250724,1.403404,1.3377,937,588
20250725,0.628036,0.9207,939,588
20250728,0.968007,0.525,940,588
20250729,0.848592,1.65795,939,588
20250730,-0.73848,-1.36315,938,588
20250731,-0.612234,-1.33685,936,586
20250801,0.642095,-0.6515,937,586
20250804,1.768562,0.861,936,586
20250805,0.767397,0.3959,937,587
20250806,1.200043,0.6226,938,587
20250807,0.078182,-0.41455,938,587
20250808,-0.5225,-0.8831,938,587
20250811,2.055026,1.27915,939,586
20250812,-0.082382,1.5779,940,586
20250813,1.001417,2.17635,939,587
20250814,-2.104215,-0.16485,940,587
20250815,2.387676,2.0236,940,587
20250818,2.420292,2.48845,939,586
20250819,0.331711,-0.64365,939,586
20250820,0.47954,1.72655,938,586
20250821,-0.580428,-0.19,939,586
20250822,1.384164,5.97265,938,586
20250825,1.331958,3.0969,938,586
20250826,-0.018455,-1.0323,939,585
20250827,-2.369166,-0.27885,940,585
20250828,1.180409,5.5257,940,585
20250829,-0.524491,0.25985,940,583
20250901,1.269526,1.73655,940,584
20250902,-2.562078,-2.48685,940,584
20250903,-1.859678,-0.348,940,585
20250904,-1.863678,-5.1656,940,585
20250905,3.231475,4.97045,940,585
20250908,1.4434,-0.1331,939,585
20250909,-1.742813,-2.3017,938,587
20250910,0.199176,1.1775,938,587
20250911,2.240716,5.2316,939,587
20250912,-0.025643,-0.09375,939,588
20250915,-0.230849,0.84635,939,588
20250916,1.329229,0.99855,939,588
20250917,0.599254,1.43265,939,588
20250918,-1.254815,-0.4561,939,587
20250919,-0.791612,-0.7195,939,587
20250922,0.741444,1.9608,938,586
20250923,-1.339457,0.0596,939,587
20250924,2.166636,2.88695,939,587
20250925,-0.329499,1.4064,939,588
20250926,-1.455691,-2.104,939,587
20250929,1.096169,2.0472,939,586
20250930,0.901347,0.8481,939,586
20251009,0.698706,1.8297,940,586
20251010,-1.601273,-5.0843,941,586
20251013,0.000584,0.14605,941,587
20251014,-2.217468,-4.1228,940,587
20251015,1.639084,1.8804,940,587
20251016,-1.178142,-0.27805,940,587
