trade_date,ts_code,pct_change,amount
20250120,801010.SI,-0.01,1172093.0
20250121,801010.SI,-0.83,953715.0
20250122,801010.SI,-0.76,827860.0
20250123,801010.SI,0.32,1154212.0
20250124,801010.SI,0.42,926425.0
20250127,801010.SI,0.69,1093261.0
20250205,801010.SI,-0.21,1035373.0
20250206,801010.SI,0.25,1097531.0
20250207,801010.SI,0.42,1442493.0
20250210,801010.SI,0.16,1164365.0
20250211,801010.SI,-0.87,1056029.0
20250212,801010.SI,0.29,989094.0
20250213,801010.SI,1.83,1929778.0
20250214,801010.SI,-0.33,1492966.0
20250217,801010.SI,0.78,1691230.0
20250218,801010.SI,-2.05,1504104.0
20250219,801010.SI,1.11,1378851.0
20250220,801010.SI,-0.35,1254084.0
20250221,801010.SI,0.12,1500583.0
20250224,801010.SI,1.33,2600781.0
20250225,801010.SI,-2.05,1693555.0
20250226,801010.SI,0.55,1285111.0
20250227,801010.SI,0.08,1376200.0
20250228,801010.SI,-0.78,1466201.0
20250303,801010.SI,0.88,1367960.0
20250304,801010.SI,0.94,1211908.0
20250305,801010.SI,-1.08,1077374.0
20250306,801010.SI,0.32,1145321.0
20250307,801010.SI,-0.02,1156045.0
20250310,801010.SI,0.5,1286004.0
20250311,801010.SI,1.73,1706514.0
20250312,801010.SI,-0.75,1366715.0
20250313,801010.SI,-0.01,1345775.0
20250314,801010.SI,1.36,1753695.0
20250317,801010.SI,0.9,1940832.0
20250318,801010.SI,-0.66,1425740.0
20250319,801010.SI,-0.25,1167326.0
20250320,801010.SI,-0.35,1256691.0
20250321,801010.SI,-0.57,1582815.0
20250324,801010.SI,-0.66,1406992.0
20250325,801010.SI,0.75,1210508.0
20250326,801010.SI,1.64,1951366.0
20250327,801010.SI,-0.18,1350926.0
20250328,801010.SI,-0.98,1194867.0
20250331,801010.SI,-1.49,1277544.0
20250401,801010.SI,1.16,1274445.0
20250402,801010.SI,0.05,1138853.0
20250403,801010.SI,1.81,1915803.0
20250407,801010.SI,-2.14,5012308.0
20250408,801010.SI,7.81,6265985.0
20250409,801010.SI,0.58,7230475.0
20250410,801010.SI,0.52,6274560.0
20250411,801010.SI,-3.18,4357491.0
20250414,801010.SI,0.79,3702992.0
20250415,801010.SI,-0.61,3047800.0
20250416,801010.SI,-0.74,2852930.0
20250417,801010.SI,-0.05,2171872.0
20250418,801010.SI,-1.54,1915333.0
20250421,801010.SI,0.52,1627496.0
20250422,801010.SI,0.69,2087547.0
20250423,801010.SI,-1.39,2166534.0
20250424,801010.SI,0.53,2016518.0
20250425,801010.SI,-0.5,1664628.0
20250428,801010.SI,-1.2,1620702.0
20250429,801010.SI,0.57,1450871.0
20250430,801010.SI,0.08,1514920.0
20250506,801010.SI,0.8,1706384.0
20250507,801010.SI,0.71,2433685.0
20250508,801010.SI,-0.13,1839368.0
20250509,801010.SI,-0.4,1724923.0
20250512,801010.SI,-0.49,1617932.0
20250513,801010.SI,0.07,1387790.0
20250514,801010.SI,1.11,1557891.0
20250515,801010.SI,0.11,2061918.0
20250516,801010.SI,-0.74,1730120.0
20250519,801010.SI,0.83,1681848.0
20250520,801010.SI,1.35,2344134.0
20250521,801010.SI,-0.29,2004640.0
20250522,801010.SI,-0.93,1716386.0
20250523,801010.SI,-1.28,1479035.0
20250526,801010.SI,0.49,1234840.0
20250527,801010.SI,0.49,1598195.0
20250528,801010.SI,-0.78,1584332.0
20250529,801010.SI,0.39,1378945.0
20250530,801010.SI,1.2,2140162.0
20250603,801010.SI,1.8,1982741.0
20250604,801010.SI,0.76,1863785.0
20250605,801010.SI,-1.79,1841771.0
20250606,801010.SI,0.17,1667435.0
20250609,801010.SI,1.72,1815920.0
20250610,801010.SI,-0.09,2280545.0
20250611,801010.SI,2.02,2376236.0
20250612,801010.SI,-1.11,1777615.0
20250613,801010.SI,-0.88,2019633.0
20250616,801010.SI,-0.76,1537659.0
20250617,801010.SI,-0.08,1541226.0
20250618,801010.SI,-0.89,1408632.0
20250619,801010.SI,-1.15,1426938.0
20250620,801010.SI,-0.29,1192651.0
20250623,801010.SI,0.3,1228795.0
20250624,801010.SI,0.86,1270932.0
20250625,801010.SI,0.3,1345909.0
20250626,801010.SI,-0.46,1192418.0
20250627,801010.SI,-0.19,1034037.0
20250630,801010.SI,0.38,1177762.0
20250701,801010.SI,0.53,1246508.0
20250702,801010.SI,0.84,1849959.0
20250703,801010.SI,0.61,1906829.0
20250704,801010.SI,0.16,1847038.0
20250707,801010.SI,-0.35,1590511.0
20250708,801010.SI,0.34,1594458.0
20250709,801010.SI,0.65,2055557.0
20250710,801010.SI,-0.03,1948392.0
20250711,801010.SI,0.48,1934090.0
20250714,801010.SI,-0.04,1668571.0
20250715,801010.SI,-1.62,1915518.0
20250716,801010.SI,0.85,1501111.0
20250717,801010.SI,0.32,1524199.0
20250718,801010.SI,0.38,1501875.0
20250721,801010.SI,2.15,2229916.0
20250722,801010.SI,1.89,2537906.0
20250723,801010.SI,-0.38,2706073.0
20250724,801010.SI,0.13,2562807.0
20250725,801010.SI,-0.2,2389448.0
20250728,801010.SI,-0.38,1935786.0
20250729,801010.SI,-1.36,1918273.0
20250730,801010.SI,0.56,2277532.0
20250731,801010.SI,-1.66,2053777.0
20250801,801010.SI,-0.14,1549918.0
20250804,801010.SI,0.5,1405574.0
20250805,801010.SI,0.86,1563557.0
20250806,801010.SI,0.19,1519109.0
20250807,801010.SI,0.26,1757302.0
20250808,801010.SI,0.68,1813951.0
20250811,801010.SI,0.11,1915542.0
20250812,801010.SI,-0.02,1895326.0
20250813,801010.SI,-0.07,1994538.0
20250814,801010.SI,-1.03,1914745.0
20250815,801010.SI,0.89,2022899.0
20250818,801010.SI,0.85,2300313.0
20250819,801010.SI,0.64,2424982.0
20250820,801010.SI,0.77,2421776.0
20250821,801010.SI,1.5,3109743.0
20250822,801010.SI,-0.08,2387489.0
20250825,801010.SI,1.28,2824913.0
20250826,801010.SI,2.62,3601776.0
20250827,801010.SI,-1.63,3229089.0
20250828,801010.SI,-0.73,3082403.0
20250829,801010.SI,0.53,2416857.0
20250901,801010.SI,0.08,2406286.0
20250902,801010.SI,-0.63,2464774.0
20250903,801010.SI,-2.04,1953794.0
20250904,801010.SI,0.3,2284023.0
20250905,801010.SI,0.99,1789177.0
20250908,801010.SI,2.68,2595061.0
20250909,801010.SI,-0.62,2169952.0
20250910,801010.SI,0.15,1874352.0
20250911,801010.SI,2.74,3086708.0
20250912,801010.SI,-0.19,2565853.0
20250915,801010.SI,1.79,2841024.0
20250916,801010.SI,-1.29,2484775.0
20250917,801010.SI,-1.02,2100889.0
20250918,801010.SI,-2.11,2504888.0
20250919,801010.SI,-0.05,1818768.0
20250922,801010.SI,-0.94,1728269.0
20250923,801010.SI,-0.63,1812433.0
20250924,801010.SI,0.53,1500448.0
20250925,801010.SI,-1.22,1551244.0
20250926,801010.SI,0.29,1724578.0
20250929,801010.SI,0.2,1675996.0
20250930,801010.SI,-0.05,1378992.0
20251009,801010.SI,0.09,1818093.0
20251010,801010.SI,0.94,2028477.0
20251013,801010.SI,-0.09,2467146.0
20251014,801010.SI,0.18,2428592.0
20251015,801010.SI,0.01,1866525.0
20251016,801010.SI,-1.56,1687355.0
20251017,801010.SI,-0.74,1809997.0
20251020,801010.SI,-0.88,1724629.0
20251021,801010.SI,0.76,1725909.0
20251022,801010.SI,-1.19,1598676.0
20251023,801010.SI,0.1,1677382.0
20251024,801010.SI,-0.14,1685143.0
20251027,801010.SI,1.63,2073435.0
20251028,801010.SI,-0.4,1612783.0
20251029,801010.SI,0.59,1647151.0
20251030,801010.SI,-0.8,2302333.0
20251031,801010.SI,0.97,2024781.0
20251103,801010.SI,1.19,1988181.0
20251104,801010.SI,-0.99,2157174.0
20251105,801010.SI,0.68,2354915.0
20251106,801010.SI,-0.36,2306261.0
20251107,801010.SI,0.29,2456952.0
20251110,801010.SI,2.05,2835615.0
20251111,801010.SI,0.6,2712382.0
20251112,801010.SI,-0.33,2472916.0
20251113,801010.SI,0.72,2699358.0
20251114,801010.SI,-0.34,2437660.0
20251117,801010.SI,-0.57,2479151.0
20251118,801010.SI,-0.7,2218241.0
20251119,801010.SI,0.17,2314940.0
20251120,801010.SI,-0.77,2768225.0
20251121,801010.SI,-1.62,4435678.0
20251124,801010.SI,0.59,3322299.0
20251125,801010.SI,0.13,3178806.0
20251126,801010.SI,-0.65,2714888.0
20251127,801010.SI,-0.08,2329775.0
20251128,801010.SI,1.59,2491662.0
20251201,801010.SI,-0.43,2727687.0
20251202,801010.SI,-0.34,2403799.0
20251203,801010.SI,-0.83,3002244.0
20251204,801010.SI,-0.87,2466248.0
20251205,801010.SI,0.98,2391107.0
20251208,801010.SI,0.23,2549127.0
20251209,801010.SI,-1.28,2506993.0
20251210,801010.SI,0.9,2721485.0
20251211,801010.SI,-0.83,3285727.0
20251212,801010.SI,0.91,3184543.0
20251215,801010.SI,1.24,2866404.0
20251216,801010.SI,-0.53,2901723.0
20251217,801010.SI,-0.54,3032973.0
20251218,801010.SI,-0.17,2362698.0
20251219,801010.SI,0.89,2807690.0
20251222,801010.SI,0.63,2866839.0
20251223,801010.SI,-0.6,3058797.0
20251224,801010.SI,-0.85,2793721.0
20251225,801010.SI,0.59,2426816.0
20251226,801010.SI,0.49,2832591.0
20251229,801010.SI,0.71,3122275.0
20251230,801010.SI,0.53,2898628.0
20251231,801010.SI,-1.1,2579817.0
20260105,801010.SI,0.0,2513847.0
20260106,801010.SI,1.11,2644482.0
20260107,801010.SI,-0.35,2701162.0
20260108,801010.SI,-0.11,2393352.0
20260109,801010.SI,0.34,2859568.0
20260112,801010.SI,0.13,3068975.0
20260113,801010.SI,-1.28,3174040.0
20260114,801010.SI,0.17,3218764.0
20260115,801010.SI,-0.7,2315613.0
20260116,801010.SI,-1.62,2236810.0
20260119,801010.SI,0.95,2272498.0
20260120,801010.SI,-0.61,2672099.0
20260121,801010.SI,-0.72,2432472.0
20260122,801010.SI,0.23,2364823.0
20260123,801010.SI,0.57,2436722.0
20260126,801010.SI,0.85,3463701.0
20260127,801010.SI,-1.95,2798325.0
20260128,801010.SI,0.84,3567071.0
20260129,801010.SI,1.46,3952849.0
20260130,801010.SI,0.65,5419687.0
20260202,801010.SI,-3.52,4121114.0
20260203,801010.SI,0.93,2759934.0
20260204,801010.SI,1.3,3231027.0
20260205,801010.SI,-0.37,2636135.0
20260206,801010.SI,-0.21,2697804.0
20260209,801010.SI,0.42,2378273.0
20260210,801010.SI,-0.74,1937745.0
20260211,801010.SI,0.19,1771459.0
20260212,801010.SI,-1.49,1786026.0
20260213,801010.SI,-0.5,1638987.0
20260224,801010.SI,0.81,2058002.0
20250120,801030.SI,0.34,5113300.0
20250121,801030.SI,-0.37,4649954.0
20250122,801030.SI,-0.53,4233999.0
